Credits,Player Type,Player Name,Team,IsPlaying,lineupOrder
6,ALL,Swapnil Singh,RCB,X_FACTOR_SUBSTITUTE,16
7,ALL,Liam Livingstone,RCB,NOT_PLAYING,0
7.5,ALL,Wanindu Hasaranga,RR,PLAYING,7
8,ALL,Krunal Pandya,RCB,PLAYING,8
8.5,ALL,Riyan Parag,RR,PLAYING,4
6.5,ALL,Romario Shepherd,RCB,PLAYING,5
6,ALL,Manoj Bhandage,RCB,X_FACTOR_SUBSTITUTE,14
6.5,ALL,Yudhvir Singh Charak,RR,X_FACTOR_SUBSTITUTE,13
5.5,ALL,Mohit Rathee,RCB,NOT_PLAYING,0
9,WK,Sanju Samson,RR,NOT_PLAYING,0
9,WK,Philip Salt,RCB,PLAYING,2
7.5,WK,Jitesh Sharma,RCB,PLAYING,6
8,WK,Dhruv Jurel,RR,PLAYING,5
5,WK,Kunal Singh Rathore,RR,X_FACTOR_SUBSTITUTE,16
9,BAT,Virat Kohli,RCB,PLAYING,1
8,BAT,Shimron Hetmyer,RR,PLAYING,6
7.5,BAT,Nitish Rana,RR,PLAYING,3
8.5,BAT,Rajat Patidar,RCB,PLAYING,4
7.5,BAT,Devdutt Padikkal,RCB,PLAYING,3
7.5,BAT,Tim David,RCB,PLAYING,7
9,BAT,Yashasvi Jaiswal,RR,PLAYING,1
6,BAT,Shubham Dubey,RR,PLAYING,2
6.5,BAT,Jacob Bethell,RCB,X_FACTOR_SUBSTITUTE,15
5.5,BAT,Swastik Chikara,RCB,NOT_PLAYING,0
5.5,BAT,Vaibhav Suryavanshi,RR,X_FACTOR_SUBSTITUTE,12
8,BOWL,Bhuvneshwar Kumar,RCB,PLAYING,9
8.5,BOWL,Josh Hazlewood,RCB,PLAYING,10
7,BOWL,Sandeep Sharma,RR,PLAYING,10
6.5,BOWL,Lungi Ngidi,RCB,NOT_PLAYING,0
8.5,BOWL,Jofra Archer,RR,PLAYING,8
7,BOWL,Tushar Deshpande,RR,PLAYING,11
6.5,BOWL,Nuwan Thushara,RCB,NOT_PLAYING,0
7.5,BOWL,Yash Dayal,RCB,PLAYING,11
6.5,BOWL,FazalHaq Farooqi,RR,PLAYING,9
6.5,BOWL,Rasikh Salam,RCB,X_FACTOR_SUBSTITUTE,13
6.5,BOWL,Kumar Kartikeya,RR,X_FACTOR_SUBSTITUTE,14
7.5,BOWL,Maheesh Theekshana,RR,NOT_PLAYING,0
6,BOWL,Akash Madhwal,RR,X_FACTOR_SUBSTITUTE,15
5.5,BOWL,Kwena Maphaka,RR,NOT_PLAYING,0
5,BOWL,Ashok Sharma,RR,NOT_PLAYING,0
6.5,BOWL,Suyash Sharma,RCB,X_FACTOR_SUBSTITUTE,12
5,BOWL,Abhinandan Singh,RCB,NOT_PLAYING,0
