Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Team,Start Date,End Date
V Kohli,2015-2019,70,70.0,12.0,2780.0,113.0,47.93,1987.0,139.9,5.0,20.0,2.0,239.0,103.0,RCB,2015-01-01,2020-02-01
AB de Villiers,2015-2019,66,63.0,12.0,2338.0,133.0,45.84,1425.0,164.07,2.0,20.0,2.0,199.0,131.0,RCB,2015-01-01,2020-02-01
CH Gayle,2015-2017,33,33.0,2.0,918.0,117.0,29.61,646.0,142.1,1.0,5.0,3.0,71.0,73.0,RCB,2015-01-01,2020-02-01
Mandeep Singh,2015-2018,40,32.0,5.0,597.0,54.0,22.11,463.0,128.94,0.0,2.0,4.0,54.0,21.0,RCB,2015-01-01,2020-02-01
PA Patel,2018-2019,20,20.0,1.0,526.0,67.0,27.68,377.0,139.52,0.0,3.0,1.0,68.0,14.0,RCB,2015-01-01,2020-02-01
KL Rahul,2016-2016,14,12.0,3.0,397.0,68.0,44.11,271.0,146.49,0.0,4.0,1.0,37.0,16.0,RCB,2015-01-01,2020-02-01
KM Jadhav,2016-2017,17,16.0,4.0,309.0,69.0,25.75,218.0,141.74,0.0,1.0,0.0,27.0,12.0,RCB,2015-01-01,2020-02-01
MM Ali,2018-2019,16,14.0,2.0,297.0,66.0,24.75,179.0,165.92,0.0,3.0,0.0,20.0,23.0,RCB,2015-01-01,2020-02-01
SR Watson,2016-2017,24,22.0,3.0,250.0,36.0,13.15,212.0,117.92,0.0,0.0,1.0,20.0,13.0,RCB,2015-01-01,2020-02-01
SN Khan,2015-2018,25,18.0,7.0,228.0,45.0,20.72,143.0,159.44,0.0,0.0,1.0,26.0,7.0,RCB,2015-01-01,2020-02-01
MP Stoinis,2019-2019,10,10.0,6.0,211.0,46.0,52.75,156.0,135.25,0.0,0.0,2.0,14.0,10.0,RCB,2015-01-01,2020-02-01
TM Head,2016-2017,10,10.0,3.0,205.0,75.0,29.28,148.0,138.51,0.0,1.0,1.0,12.0,8.0,RCB,2015-01-01,2020-02-01
Q de Kock,2018-2018,8,8.0,0.0,201.0,53.0,25.12,162.0,124.07,0.0,1.0,0.0,20.0,8.0,RCB,2015-01-01,2020-02-01
C de Grandhomme,2018-2019,13,12.0,4.0,177.0,40.0,22.12,133.0,133.08,0.0,0.0,0.0,8.0,12.0,RCB,2015-01-01,2020-02-01
P Negi,2017-2019,21,16.0,2.0,156.0,35.0,11.14,128.0,121.87,0.0,0.0,3.0,11.0,7.0,RCB,2015-01-01,2020-02-01
STR Binny,2016-2017,22,13.0,4.0,141.0,21.0,15.66,115.0,122.6,0.0,0.0,0.0,11.0,7.0,RCB,2015-01-01,2020-02-01
KD Karthik,2015-2015,16,11.0,0.0,141.0,28.0,12.81,117.0,120.51,0.0,0.0,0.0,15.0,4.0,RCB,2015-01-01,2020-02-01
Sachin Baby,2016-2017,14,9.0,2.0,134.0,33.0,19.14,94.0,142.55,0.0,0.0,1.0,11.0,5.0,RCB,2015-01-01,2020-02-01
BB McCullum,2018-2018,6,6.0,0.0,127.0,43.0,21.16,88.0,144.31,0.0,0.0,1.0,16.0,6.0,RCB,2015-01-01,2020-02-01
D Wiese,2015-2016,15,8.0,4.0,127.0,47.0,31.75,90.0,141.11,0.0,0.0,0.0,12.0,4.0,RCB,2015-01-01,2020-02-01
Gurkeerat Singh,2019-2019,3,3.0,0.0,98.0,65.0,32.66,70.0,140.0,0.0,1.0,0.0,11.0,2.0,RCB,2015-01-01,2020-02-01
SO Hetmyer,2019-2019,5,5.0,0.0,90.0,75.0,18.0,73.0,123.28,0.0,1.0,1.0,4.0,7.0,RCB,2015-01-01,2020-02-01
Washington Sundar,2018-2019,10,8.0,3.0,66.0,35.0,13.2,41.0,160.97,0.0,0.0,1.0,5.0,4.0,RCB,2015-01-01,2020-02-01
Iqbal Abdulla,2015-2017,15,5.0,3.0,62.0,33.0,31.0,52.0,119.23,0.0,0.0,1.0,8.0,1.0,RCB,2015-01-01,2020-02-01
AD Nath,2019-2019,8,5.0,0.0,61.0,24.0,12.2,57.0,107.01,0.0,0.0,0.0,5.0,2.0,RCB,2015-01-01,2020-02-01
TG Southee,2018-2019,11,5.0,3.0,61.0,36.0,30.5,55.0,110.9,0.0,0.0,0.0,5.0,1.0,RCB,2015-01-01,2020-02-01
M Vohra,2018-2018,4,4.0,0.0,55.0,45.0,13.75,47.0,117.02,0.0,0.0,1.0,2.0,4.0,RCB,2015-01-01,2020-02-01
S Dube,2019-2019,4,4.0,1.0,40.0,24.0,13.33,33.0,121.21,0.0,0.0,0.0,1.0,3.0,RCB,2015-01-01,2020-02-01
MS Bisla,2015-2015,2,2.0,0.0,37.0,20.0,18.5,30.0,123.33,0.0,0.0,0.0,6.0,1.0,RCB,2015-01-01,2020-02-01
S Aravind,2015-2017,24,9.0,5.0,32.0,9.0,8.0,41.0,78.04,0.0,0.0,2.0,2.0,0.0,RCB,2015-01-01,2020-02-01
Mohammed Siraj,2018-2019,20,8.0,5.0,29.0,14.0,9.66,36.0,80.55,0.0,0.0,0.0,2.0,1.0,RCB,2015-01-01,2020-02-01
UT Yadav,2018-2019,25,12.0,6.0,28.0,14.0,4.66,36.0,77.77,0.0,0.0,2.0,3.0,1.0,RCB,2015-01-01,2020-02-01
A Choudhary,2017-2017,5,3.0,2.0,25.0,15.0,25.0,20.0,125.0,0.0,0.0,0.0,1.0,1.0,RCB,2015-01-01,2020-02-01
YS Chahal,2015-2019,69,12.0,7.0,20.0,4.0,4.0,47.0,42.55,0.0,0.0,1.0,0.0,0.0,RCB,2015-01-01,2020-02-01
HV Patel,2015-2017,21,8.0,3.0,19.0,9.0,3.8,12.0,158.33,0.0,0.0,2.0,0.0,2.0,RCB,2015-01-01,2020-02-01
P Ray Barman,2019-2019,1,1.0,0.0,19.0,19.0,19.0,24.0,79.16,0.0,0.0,0.0,2.0,0.0,RCB,2015-01-01,2020-02-01
Vishnu Vinod,2017-2017,3,3.0,0.0,19.0,9.0,6.33,26.0,73.07,0.0,0.0,0.0,1.0,1.0,RCB,2015-01-01,2020-02-01
CJ Anderson,2018-2018,3,3.0,0.0,17.0,15.0,5.66,22.0,77.27,0.0,0.0,1.0,0.0,1.0,RCB,2015-01-01,2020-02-01
CR Woakes,2018-2018,5,4.0,2.0,17.0,11.0,8.5,19.0,89.47,0.0,0.0,0.0,1.0,1.0,RCB,2015-01-01,2020-02-01
SA Abbott,2015-2015,2,2.0,0.0,15.0,14.0,7.5,13.0,115.38,0.0,0.0,0.0,1.0,1.0,RCB,2015-01-01,2020-02-01
RR Rossouw,2015-2015,2,2.0,0.0,14.0,14.0,7.0,10.0,140.0,0.0,0.0,1.0,1.0,1.0,RCB,2015-01-01,2020-02-01
S Badree,2017-2017,7,5.0,0.0,13.0,8.0,2.6,23.0,56.52,0.0,0.0,2.0,0.0,0.0,RCB,2015-01-01,2020-02-01
DJG Sammy,2015-2015,2,2.0,0.0,13.0,7.0,6.5,18.0,72.22,0.0,0.0,0.0,0.0,0.0,RCB,2015-01-01,2020-02-01
MA Starc,2015-2015,13,3.0,2.0,11.0,9.0,11.0,14.0,78.57,0.0,0.0,0.0,1.0,0.0,RCB,2015-01-01,2020-02-01
AN Ahmed,2015-2015,3,3.0,2.0,10.0,5.0,10.0,5.0,200.0,0.0,0.0,0.0,2.0,0.0,RCB,2015-01-01,2020-02-01
Parvez Rasool,2016-2016,4,1.0,0.0,10.0,10.0,10.0,9.0,111.11,0.0,0.0,0.0,1.0,0.0,RCB,2015-01-01,2020-02-01
H Klaasen,2019-2019,3,2.0,0.0,9.0,6.0,4.5,10.0,90.0,0.0,0.0,0.0,0.0,0.0,RCB,2015-01-01,2020-02-01
TS Mills,2017-2017,5,3.0,0.0,8.0,6.0,2.66,11.0,72.72,0.0,0.0,1.0,0.0,1.0,RCB,2015-01-01,2020-02-01
