Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Team,Start Date,End Date
YS Chahal,2014-2021,113,112.0,404.0,4.0,3063.0,139.0,4/25,22.03,7.58,17.4,2.0,0.0,RCB,2013-01-01,2025-03-01
HV Patel,2014-2023,68,66.0,229.4,2.0,1954.0,90.0,5/27,21.71,8.5,15.3,2.0,1.0,RCB,2013-01-01,2025-03-01
Mohammed Siraj,2018-2024,87,87.0,303.2,4.0,2610.0,83.0,4/21,31.44,8.6,21.9,1.0,0.0,RCB,2013-01-01,2025-03-01
PW Hasaranga,2021-2023,26,26.0,92.0,1.0,748.0,35.0,5/18,21.37,8.13,15.7,1.0,1.0,RCB,2013-01-01,2025-03-01
MA Starc,2014-2015,27,26.0,96.4,1.0,693.0,34.0,4/15,20.38,7.16,17.0,1.0,0.0,RCB,2013-01-01,2025-03-01
UT Yadav,2018-2020,27,27.0,98.0,1.0,872.0,28.0,3/23,31.14,8.89,21.0,0.0,0.0,RCB,2013-01-01,2025-03-01
SR Watson,2016-2017,24,24.0,83.2,0.0,730.0,25.0,4/29,29.2,8.76,20.0,1.0,0.0,RCB,2013-01-01,2025-03-01
S Aravind,2015-2017,24,24.0,77.4,0.0,623.0,24.0,4/27,25.95,8.02,19.4,1.0,0.0,RCB,2013-01-01,2025-03-01
JR Hazlewood,2022-2023,15,15.0,55.3,1.0,453.0,23.0,4/25,19.69,8.16,14.4,1.0,0.0,RCB,2013-01-01,2025-03-01
R Vinay Kumar,2013-2013,16,16.0,60.1,0.0,493.0,23.0,3/18,21.43,8.19,15.6,0.0,0.0,RCB,2013-01-01,2025-03-01
VR Aaron,2014-2016,24,23.0,77.4,1.0,703.0,21.0,3/16,33.47,9.05,22.1,0.0,0.0,RCB,2013-01-01,2025-03-01
P Negi,2017-2019,21,18.0,47.2,0.0,348.0,20.0,3/10,17.4,7.35,14.2,0.0,0.0,RCB,2013-01-01,2025-03-01
Washington Sundar,2018-2021,31,31.0,95.0,1.0,682.0,19.0,3/24,35.89,7.17,30.0,0.0,0.0,RCB,2013-01-01,2025-03-01
GJ Maxwell,2021-2024,52,29.0,66.2,1.0,523.0,18.0,2/22,29.05,7.88,22.1,0.0,0.0,RCB,2013-01-01,2025-03-01
NA Saini,2019-2021,28,28.0,97.4,1.0,828.0,17.0,2/24,48.7,8.47,34.4,0.0,0.0,RCB,2013-01-01,2025-03-01
KV Sharma,2023-2024,16,16.0,45.3,0.0,477.0,17.0,2/19,28.05,10.48,16.0,0.0,0.0,RCB,2013-01-01,2025-03-01
D Wiese,2015-2016,15,14.0,46.2,0.0,402.0,16.0,4/33,25.12,8.67,17.3,1.0,0.0,RCB,2013-01-01,2025-03-01
Yash Dayal,2024-2024,14,14.0,50.1,0.0,459.0,15.0,3/20,30.6,9.14,20.0,0.0,0.0,RCB,2013-01-01,2025-03-01
R Rampaul,2013-2014,12,12.0,43.4,4.0,298.0,14.0,3/31,21.28,6.82,18.7,0.0,0.0,RCB,2013-01-01,2025-03-01
Shahbaz Ahmed,2020-2023,39,27.0,62.0,0.0,567.0,14.0,3/7,40.5,9.14,26.5,0.0,0.0,RCB,2013-01-01,2025-03-01
RP Singh,2013-2013,11,11.0,39.5,0.0,335.0,13.0,3/13,25.76,8.41,18.3,0.0,0.0,RCB,2013-01-01,2025-03-01
JD Unadkat,2013-2013,13,13.0,49.0,0.0,370.0,13.0,5/25,28.46,7.55,22.6,0.0,1.0,RCB,2013-01-01,2025-03-01
V Vyshak,2023-2024,11,11.0,38.3,0.0,395.0,13.0,3/20,30.38,10.25,17.7,0.0,0.0,RCB,2013-01-01,2025-03-01
Iqbal Abdulla,2015-2017,15,15.0,49.0,1.0,418.0,12.0,3/40,34.83,8.53,24.5,0.0,0.0,RCB,2013-01-01,2025-03-01
CJ Jordan,2016-2016,9,9.0,28.0,0.0,258.0,11.0,4/11,23.45,9.21,15.2,1.0,0.0,RCB,2013-01-01,2025-03-01
CH Morris,2020-2020,9,9.0,31.4,1.0,210.0,11.0,4/26,19.09,6.63,17.2,1.0,0.0,RCB,2013-01-01,2025-03-01
MM Ali,2018-2020,19,17.0,43.1,0.0,308.0,10.0,2/18,30.8,7.13,25.9,0.0,0.0,RCB,2013-01-01,2025-03-01
C Green,2024-2024,13,13.0,35.1,0.0,303.0,10.0,2/12,30.3,8.61,21.1,0.0,0.0,RCB,2013-01-01,2025-03-01
S Badree,2017-2017,7,7.0,25.0,1.0,188.0,9.0,4/9,20.88,7.52,16.6,1.0,0.0,RCB,2013-01-01,2025-03-01
LH Ferguson,2024-2024,7,7.0,24.0,0.0,255.0,9.0,2/23,28.33,10.62,16.0,0.0,0.0,RCB,2013-01-01,2025-03-01
KA Jamieson,2021-2021,9,9.0,28.0,0.0,269.0,9.0,3/41,29.88,9.6,18.6,0.0,0.0,RCB,2013-01-01,2025-03-01
M Kartik,2013-2013,11,11.0,39.0,0.0,284.0,9.0,2/24,31.55,7.28,26.0,0.0,0.0,RCB,2013-01-01,2025-03-01
WD Parnell,2023-2023,7,7.0,25.1,0.0,236.0,9.0,3/10,26.22,9.37,16.7,0.0,0.0,RCB,2013-01-01,2025-03-01
KW Richardson,2016-2021,5,5.0,17.0,0.0,165.0,8.0,3/13,20.62,9.7,12.7,0.0,0.0,RCB,2013-01-01,2025-03-01
I Udana,2020-2020,10,10.0,29.0,0.0,282.0,8.0,2/41,35.25,9.72,21.7,0.0,0.0,RCB,2013-01-01,2025-03-01
CR Woakes,2018-2018,5,5.0,18.2,0.0,190.0,8.0,3/36,23.75,10.36,13.7,0.0,0.0,RCB,2013-01-01,2025-03-01
Akash Deep,2022-2024,8,8.0,27.2,1.0,319.0,7.0,3/45,45.57,11.67,23.4,0.0,0.0,RCB,2013-01-01,2025-03-01
MC Henriques,2013-2013,10,8.0,21.1,0.0,185.0,7.0,2/14,26.42,8.74,18.1,0.0,0.0,RCB,2013-01-01,2025-03-01
MG Bracewell,2023-2023,5,5.0,11.0,0.0,95.0,6.0,2/13,15.83,8.63,11.0,0.0,0.0,RCB,2013-01-01,2025-03-01
M Muralidaran,2013-2014,11,11.0,39.0,0.0,301.0,6.0,2/25,50.16,7.71,39.0,0.0,0.0,RCB,2013-01-01,2025-03-01
TG Southee,2018-2019,11,11.0,38.0,0.0,379.0,6.0,3/30,63.16,9.97,38.0,0.0,0.0,RCB,2013-01-01,2025-03-01
Swapnil Singh,2024-2024,7,7.0,15.0,0.0,133.0,6.0,2/28,22.16,8.86,15.0,0.0,0.0,RCB,2013-01-01,2025-03-01
STR Binny,2016-2017,22,15.0,23.0,0.0,184.0,5.0,1/9,36.8,8.0,27.6,0.0,0.0,RCB,2013-01-01,2025-03-01
A Choudhary,2017-2017,5,5.0,16.5,2.0,144.0,5.0,2/17,28.8,8.55,20.2,0.0,0.0,RCB,2013-01-01,2025-03-01
AB Dinda,2014-2015,11,11.0,36.0,0.0,332.0,5.0,1/14,66.4,9.22,43.2,0.0,0.0,RCB,2013-01-01,2025-03-01
CH Gayle,2013-2017,58,9.0,16.0,0.0,118.0,5.0,2/5,23.6,7.37,19.2,0.0,0.0,RCB,2013-01-01,2025-03-01
Z Khan,2013-2013,2,2.0,6.0,0.0,47.0,5.0,4/17,9.4,7.83,7.2,1.0,0.0,RCB,2013-01-01,2025-03-01
TS Mills,2017-2017,5,5.0,17.5,0.0,153.0,5.0,2/31,30.6,8.57,21.4,0.0,0.0,RCB,2013-01-01,2025-03-01
DW Steyn,2019-2020,5,5.0,19.4,0.0,202.0,5.0,2/29,40.4,10.27,23.6,0.0,0.0,RCB,2013-01-01,2025-03-01
RJW Topley,2023-2024,5,5.0,17.0,0.0,182.0,5.0,2/27,36.4,10.7,20.4,0.0,0.0,RCB,2013-01-01,2025-03-01
Arshdeep Singh,2019-2024,65,65.0,227.2,1.0,2052.0,76.0,5/32,27.0,9.02,17.9,2.0,1.0,PBKS,2013-01-01,2025-03-01
Sandeep Sharma,2013-2022,61,61.0,224.1,8.0,1740.0,73.0,4/20,23.83,7.76,18.4,2.0,0.0,PBKS,2013-01-01,2025-03-01
AR Patel,2014-2018,73,72.0,254.3,2.0,1888.0,69.0,4/21,27.36,7.41,22.1,1.0,0.0,PBKS,2013-01-01,2025-03-01
Mohammed Shami,2019-2021,42,42.0,160.2,1.0,1324.0,58.0,3/15,22.82,8.25,16.5,0.0,0.0,PBKS,2013-01-01,2025-03-01
K Rabada,2022-2024,30,30.0,113.0,0.0,1010.0,41.0,4/33,24.63,8.93,16.5,2.0,0.0,PBKS,2013-01-01,2025-03-01
SM Curran,2019-2024,36,36.0,121.5,0.0,1228.0,36.0,4/11,34.11,10.07,20.3,1.0,0.0,PBKS,2013-01-01,2025-03-01
MM Sharma,2016-2018,37,37.0,123.5,0.0,1139.0,33.0,3/23,34.51,9.19,22.5,0.0,0.0,PBKS,2013-01-01,2025-03-01
RD Chahar,2022-2024,36,36.0,127.2,1.0,1024.0,32.0,3/23,32.0,8.04,23.8,0.0,0.0,PBKS,2013-01-01,2025-03-01
P Awana,2013-2014,26,26.0,96.3,2.0,819.0,31.0,4/30,26.41,8.48,18.6,1.0,0.0,PBKS,2013-01-01,2025-03-01
MG Johnson,2014-2016,26,26.0,100.2,1.0,886.0,28.0,2/19,31.64,8.83,21.5,0.0,0.0,PBKS,2013-01-01,2025-03-01
AJ Tye,2018-2019,20,20.0,78.0,0.0,681.0,27.0,4/16,25.22,8.73,17.3,3.0,0.0,PBKS,2013-01-01,2025-03-01
R Ashwin,2018-2019,28,28.0,105.4,0.0,810.0,25.0,3/23,32.4,7.66,25.3,0.0,0.0,PBKS,2013-01-01,2025-03-01
Harpreet Brar,2019-2024,41,39.0,113.1,1.0,895.0,25.0,4/30,35.8,7.9,27.1,1.0,0.0,PBKS,2013-01-01,2025-03-01
HV Patel,2024-2024,14,14.0,49.0,0.0,477.0,24.0,3/15,19.87,9.73,12.2,0.0,0.0,PBKS,2013-01-01,2025-03-01
Ravi Bishnoi,2020-2021,23,23.0,87.0,1.0,606.0,24.0,3/24,25.25,6.96,21.7,0.0,0.0,PBKS,2013-01-01,2025-03-01
R Dhawan,2014-2024,33,31.0,95.2,0.0,782.0,23.0,2/14,34.0,8.2,24.8,0.0,0.0,PBKS,2013-01-01,2025-03-01
Anureet Singh,2014-2017,22,22.0,76.1,0.0,672.0,20.0,3/12,33.6,8.82,22.8,0.0,0.0,PBKS,2013-01-01,2025-03-01
NT Ellis,2021-2024,16,16.0,59.0,0.0,508.0,18.0,4/30,28.22,8.61,19.6,1.0,0.0,PBKS,2013-01-01,2025-03-01
Karanveer Singh,2014-2015,14,14.0,49.2,0.0,438.0,18.0,4/15,24.33,8.87,16.4,2.0,0.0,PBKS,2013-01-01,2025-03-01
Mujeeb Ur Rahman,2018-2020,18,18.0,68.2,0.0,563.0,17.0,3/27,33.11,8.23,24.1,0.0,0.0,PBKS,2013-01-01,2025-03-01
M Ashwin,2019-2021,22,22.0,76.3,0.0,587.0,16.0,3/21,36.68,7.67,28.6,0.0,0.0,PBKS,2013-01-01,2025-03-01
Azhar Mahmood,2013-2013,11,11.0,43.5,0.0,330.0,15.0,3/21,22.0,7.52,17.5,0.0,0.0,PBKS,2013-01-01,2025-03-01
GJ Maxwell,2014-2020,70,40.0,77.0,0.0,656.0,14.0,2/15,46.85,8.51,33.0,0.0,0.0,PBKS,2013-01-01,2025-03-01
