Player,Span,Mat,Inns,Dis,Ct,St,Ct Wk,Ct Fi,MD,D/I,Team,Start Date,End Date
AB de Villiers,2013-2021,124,123,86,85,1,18,67,3 (3ct 0st),0.699,RCB,2013-01-01,2025-03-01
V Kohli,2013-2024,175,174,86,86,0,0,86,3 (3ct 0st),0.494,RCB,2013-01-01,2025-03-01
KD Karthik,2015-2024,60,59,45,36,9,36,0,3 (3ct 0st),0.762,RCB,2013-01-01,2025-03-01
Mohammed Siraj,2018-2024,87,87,28,28,0,0,28,2 (2ct 0st),0.321,RCB,2013-01-01,2025-03-01
YS Chahal,2014-2021,113,112,24,24,0,0,24,2 (2ct 0st),0.214,RCB,2013-01-01,2025-03-01
PA Patel,2014-2019,32,32,23,20,3,20,0,3 (3ct 0st),0.718,RCB,2013-01-01,2025-03-01
Mandeep Singh,2015-2018,40,39,18,18,0,0,18,2 (2ct 0st),0.461,RCB,2013-01-01,2025-03-01
Shahbaz Ahmed,2020-2023,39,39,18,18,0,0,18,2 (2ct 0st),0.461,RCB,2013-01-01,2025-03-01
GJ Maxwell,2021-2024,52,52,17,17,0,0,17,2 (2ct 0st),0.326,RCB,2013-01-01,2025-03-01
MA Starc,2014-2015,27,26,16,16,0,0,16,2 (2ct 0st),0.615,RCB,2013-01-01,2025-03-01
F du Plessis,2022-2024,45,45,15,15,0,0,15,2 (2ct 0st),0.333,RCB,2013-01-01,2025-03-01
D Padikkal,2020-2021,29,29,15,15,0,0,15,3 (3ct 0st),0.517,RCB,2013-01-01,2025-03-01
Anuj Rawat,2022-2024,22,22,13,13,0,6,7,4 (4ct 0st),0.59,RCB,2013-01-01,2025-03-01
CH Gayle,2013-2017,58,57,12,12,0,0,12,2 (2ct 0st),0.21,RCB,2013-01-01,2025-03-01
KM Jadhav,2016-2023,19,19,12,9,3,6,3,2 (2ct 0st),0.631,RCB,2013-01-01,2025-03-01
KB Arun Karthik,2013-2013,12,12,11,9,2,9,0,2 (2ct 0st),0.916,RCB,2013-01-01,2025-03-01
HV Patel,2014-2023,68,67,11,11,0,0,11,2 (2ct 0st),0.164,RCB,2013-01-01,2025-03-01
KL Rahul,2013-2016,19,19,11,7,4,6,1,2 (2ct 0st),0.578,RCB,2013-01-01,2025-03-01
Q de Kock,2018-2018,8,8,10,7,3,7,0,3 (1ct 2st),1.25,RCB,2013-01-01,2025-03-01
DT Christian,2013-2021,11,11,9,9,0,0,9,2 (2ct 0st),0.818,RCB,2013-01-01,2025-03-01
MK Lomror,2022-2024,29,29,9,9,0,0,9,1 (1ct 0st),0.31,RCB,2013-01-01,2025-03-01
RM Patidar,2021-2024,27,27,8,8,0,0,8,2 (2ct 0st),0.296,RCB,2013-01-01,2025-03-01
R Vinay Kumar,2013-2013,16,16,8,8,0,0,8,2 (2ct 0st),0.5,RCB,2013-01-01,2025-03-01
SR Watson,2016-2017,24,24,8,8,0,0,8,1 (1ct 0st),0.333,RCB,2013-01-01,2025-03-01
CH Morris,2020-2020,9,9,7,7,0,0,7,2 (2ct 0st),0.777,RCB,2013-01-01,2025-03-01
Gurkeerat Singh,2019-2020,11,11,6,6,0,0,6,2 (2ct 0st),0.545,RCB,2013-01-01,2025-03-01
P Negi,2017-2019,21,21,6,6,0,0,6,1 (1ct 0st),0.285,RCB,2013-01-01,2025-03-01
SS Prabhudessai,2022-2024,11,11,6,6,0,0,6,1 (1ct 0st),0.545,RCB,2013-01-01,2025-03-01
NA Saini,2019-2021,28,28,6,6,0,0,6,1 (1ct 0st),0.214,RCB,2013-01-01,2025-03-01
KV Sharma,2023-2024,16,16,6,6,0,0,6,2 (2ct 0st),0.375,RCB,2013-01-01,2025-03-01
TG Southee,2018-2019,11,11,6,6,0,0,6,1 (1ct 0st),0.545,RCB,2013-01-01,2025-03-01
D Wiese,2015-2016,15,14,6,6,0,0,6,1 (1ct 0st),0.428,RCB,2013-01-01,2025-03-01
UT Yadav,2018-2020,27,27,6,6,0,0,6,2 (2ct 0st),0.222,RCB,2013-01-01,2025-03-01
S Aravind,2015-2017,24,24,5,5,0,0,5,2 (2ct 0st),0.208,RCB,2013-01-01,2025-03-01
KS Bharat,2021-2021,8,8,5,4,1,4,0,2 (2ct 0st),0.625,RCB,2013-01-01,2025-03-01
C Green,2024-2024,13,13,5,5,0,0,5,1 (1ct 0st),0.384,RCB,2013-01-01,2025-03-01
MC Henriques,2013-2013,10,10,5,5,0,0,5,2 (2ct 0st),0.5,RCB,2013-01-01,2025-03-01
Iqbal Abdulla,2015-2017,15,15,5,5,0,0,5,2 (2ct 0st),0.333,RCB,2013-01-01,2025-03-01
AF Milne,2016-2017,5,5,5,5,0,0,5,2 (2ct 0st),1.0,RCB,2013-01-01,2025-03-01
MM Ali,2018-2020,19,19,4,4,0,0,4,2 (2ct 0st),0.21,RCB,2013-01-01,2025-03-01
STR Binny,2016-2017,22,22,4,4,0,0,4,1 (1ct 0st),0.181,RCB,2013-01-01,2025-03-01
C de Grandhomme,2018-2019,13,13,4,4,0,0,4,1 (1ct 0st),0.307,RCB,2013-01-01,2025-03-01
LH Ferguson,2024-2024,7,7,4,4,0,0,4,1 (1ct 0st),0.571,RCB,2013-01-01,2025-03-01
CJ Jordan,2016-2016,9,9,4,4,0,0,4,1 (1ct 0st),0.444,RCB,2013-01-01,2025-03-01
M Kartik,2013-2013,11,11,4,4,0,0,4,1 (1ct 0st),0.363,RCB,2013-01-01,2025-03-01
WD Parnell,2023-2023,7,7,4,4,0,0,4,1 (1ct 0st),0.571,RCB,2013-01-01,2025-03-01
R Rampaul,2013-2014,12,12,4,4,0,0,4,3 (3ct 0st),0.333,RCB,2013-01-01,2025-03-01
RP Singh,2013-2013,11,11,4,4,0,0,4,1 (1ct 0st),0.363,RCB,2013-01-01,2025-03-01
V Vyshak,2023-2024,11,11,4,4,0,0,4,2 (2ct 0st),0.363,RCB,2013-01-01,2025-03-01
Washington Sundar,2018-2021,31,31,4,4,0,0,4,2 (2ct 0st),0.129,RCB,2013-01-01,2025-03-01
WP Saha,2014-2017,62,62,54,39,15,39,0,4 (3ct 1st),0.87,PBKS,2013-01-01,2025-03-01
DA Miller,2013-2019,78,78,52,52,0,0,52,4 (4ct 0st),0.666,PBKS,2013-01-01,2025-03-01
KL Rahul,2018-2021,55,55,39,38,1,34,4,2 (2ct 0st),0.709,PBKS,2013-01-01,2025-03-01
MA Agarwal,2018-2022,60,60,30,30,0,0,30,2 (2ct 0st),0.5,PBKS,2013-01-01,2025-03-01
JM Sharma,2022-2024,40,40,29,25,4,24,1,3 (3ct 0st),0.725,PBKS,2013-01-01,2025-03-01
GJ Maxwell,2014-2020,70,70,28,28,0,0,28,3 (3ct 0st),0.4,PBKS,2013-01-01,2025-03-01
AR Patel,2014-2018,73,73,25,25,0,0,25,2 (2ct 0st),0.342,PBKS,2013-01-01,2025-03-01
S Dhawan,2022-2024,30,30,17,17,0,0,17,2 (2ct 0st),0.566,PBKS,2013-01-01,2025-03-01
M Vohra,2013-2017,50,50,15,15,0,0,15,1 (1ct 0st),0.3,PBKS,2013-01-01,2025-03-01
SM Curran,2019-2024,36,36,14,14,0,0,14,2 (2ct 0st),0.388,PBKS,2013-01-01,2025-03-01
Harpreet Brar,2019-2024,41,41,14,14,0,0,14,3 (3ct 0st),0.341,PBKS,2013-01-01,2025-03-01
M Shahrukh Khan,2021-2023,33,33,14,14,0,0,14,3 (3ct 0st),0.424,PBKS,2013-01-01,2025-03-01
Mandeep Singh,2013-2021,40,40,13,13,0,0,13,3 (3ct 0st),0.325,PBKS,2013-01-01,2025-03-01
Arshdeep Singh,2019-2024,65,65,12,12,0,0,12,2 (2ct 0st),0.184,PBKS,2013-01-01,2025-03-01
GJ Bailey,2014-2015,35,35,12,12,0,0,12,1 (1ct 0st),0.342,PBKS,2013-01-01,2025-03-01
RD Chahar,2022-2024,36,36,12,12,0,0,12,2 (2ct 0st),0.333,PBKS,2013-01-01,2025-03-01
AC Gilchrist,2013-2013,13,13,12,12,0,12,0,2 (2ct 0st),0.923,PBKS,2013-01-01,2025-03-01
Gurkeerat Singh,2013-2017,25,25,12,11,1,0,11,3 (3ct 0st),0.48,PBKS,2013-01-01,2025-03-01
LS Livingstone,2022-2024,30,30,11,11,0,0,11,2 (2ct 0st),0.366,PBKS,2013-01-01,2025-03-01
N Pooran,2019-2021,33,33,11,11,0,1,10,1 (1ct 0st),0.333,PBKS,2013-01-01,2025-03-01
