Player,Batting Form,Bowling Form,Fielding Form,Credits,Player Type,Team,Bowler Type
Vansh Bedi,73.73155216284987,30.249363867684476,58.842239185750635,5.0,WK,CHE,-
Andre Siddharth,16.393129770992367,78.37786259541986,58.20610687022901,5.5,BAT,CHE,-
Ramakrishna Ghosh,50.08396946564885,53.207379134860055,51.641221374045806,5.5,ALL,CHE,-
Shaik Rasheed,69.55030338618126,31.330495204541005,53.28342141319241,5.0,BAT,CHE,-
Gurjapneet Singh,27.21374045801527,73.64991067078122,44.469709273997076,6.0,BOWL,CHE,PACE
Matheesha Pathirana,16.393129770992367,92.27099236641224,58.20610687022901,8.5,BOWL,CHE,PACE
Noor Ahmad,16.393129770992367,97.70992366412214,37.595419847328245,7.5,BOWL,CHE,SPIN
Anshul Kamboj,27.21374045801527,73.64991067078122,44.469709273997076,6.0,BOWL,CHE,PACE
Nathan Ellis,16.393129770992367,69.86641221374046,37.595419847328245,7.0,BOWL,CHE,PACE
Mukesh Choudhary,27.21374045801527,73.64991067078122,44.469709273997076,6.5,BOWL,CHE,PACE
Ruturaj Gaikwad,85.6297709923664,30.0,72.13740458015268,9.0,BAT,CHE,-
Kamlesh Nagarkoti,27.21374045801527,73.64991067078122,44.469709273997076,6.0,BOWL,CHE,PACE
Rachin Ravindra,78.89312977099236,30.0,67.93893129770993,8.0,BAT,CHE,SPIN
Khaleel Ahmed,16.393129770992367,94.82824427480917,37.595419847328245,7.5,BOWL,CHE,PACE
Shivam Dube,71.25954198473282,30.0,67.93893129770993,8.0,BAT,CHE,-
Rahul Tripathi,60.954198473282446,30.0,37.595419847328245,7.5,BAT,CHE,-
Sam Curran,38.93129770992366,37.29007633587786,58.20610687022901,7.5,ALL,CHE,PACE
Shreyas Gopal,27.21374045801527,73.64991067078122,44.469709273997076,6.5,BOWL,CHE,SPIN
Deepak Hooda,37.93893129770992,30.0,58.20610687022901,7.0,BAT,CHE,SPIN
Devon Conway,73.73155216284987,30.249363867684476,58.842239185750635,8.0,WK,CHE,-
Jamie Overton,50.08396946564885,53.207379134860055,51.641221374045806,6.5,ALL,CHE,PACE
Vijay Shankar,53.98854961832061,30.0,58.20610687022901,6.5,BAT,CHE,-
Ravichandran Ashwin,51.33587786259542,81.14503816793895,67.93893129770993,8.0,ALL,CHE,SPIN
Ravindra Jadeja,71.22137404580153,71.24045801526718,67.93893129770993,8.5,ALL,CHE,SPIN
MS Dhoni,75.91603053435115,30.0,52.595419847328245,7.0,WK,CHE,-
Madhav Tiwari,50.08396946564885,53.207379134860055,51.641221374045806,5.0,ALL,DC,-
Manvanth Kumar L,50.08396946564885,53.207379134860055,51.641221374045806,5.5,ALL,DC,-
Tripurana Vijay,27.21374045801527,73.64991067078122,44.469709273997076,5.5,BOWL,DC,-
Vipraj Nigam,80.99236641221374,61.39312977099236,58.20610687022901,5.0,BOWL,DC,SPIN
Tristan Stubbs,75.20992366412214,33.5114503816794,72.13740458015268,8.0,BAT,DC,-
Abishek Porel,72.02290076335878,30.0,37.595419847328245,6.5,WK,DC,-
Ashutosh Sharma,83.5496183206107,30.0,37.595419847328245,7.0,BAT,DC,-
Donovan Ferreira,50.08396946564885,53.207379134860055,51.641221374045806,7.0,ALL,DC,-
Sameer Rizvi,40.17175572519084,30.0,37.595419847328245,6.5,BAT,DC,-
Jake Fraser McGurk,64.14122137404581,30.0,67.93893129770993,7.5,BAT,DC,-
Ajay Mandal,50.08396946564885,53.207379134860055,51.641221374045806,6.5,ALL,DC,-
Darshan Nalkande,27.21374045801527,73.64991067078122,44.469709273997076,6.5,BOWL,DC,PACE
T Natarajan,27.21374045801527,73.64991067078122,44.469709273997076,7.5,BOWL,DC,PACE
Mukesh Kumar,16.393129770992367,68.26335877862594,37.595419847328245,7.0,BOWL,DC,PACE
Kuldeep Yadav,41.14503816793893,97.32824427480917,37.595419847328245,8.5,BOWL,DC,SPIN
Mohit Sharma,27.88167938931298,67.57633587786259,37.595419847328245,7.5,BOWL,DC,PACE
Lokesh Rahul,72.44274809160305,30.0,68.05343511450383,9.0,WK,DC,-
Axar Patel,72.51908396946565,45.76335877862596,67.93893129770993,9.0,ALL,DC,SPIN
Dushmantha Chameera,27.21374045801527,73.64991067078122,44.469709273997076,7.0,BOWL,DC,PACE
Karun Nair,69.55030338618126,31.330495204541005,53.28342141319241,7.0,BAT,DC,-
Faf du Plessis,85.41984732824429,30.0,72.13740458015268,8.5,BAT,DC,-
Mitchell Starc,29.007633587786263,88.70229007633588,58.20610687022901,8.5,BOWL,DC,PACE
Gurnoor Brar Singh,27.21374045801527,73.64991067078122,44.469709273997076,5.5,BOWL,GT,-
Nishant Sindhu,50.08396946564885,53.207379134860055,51.641221374045806,6.0,ALL,GT,-
Arshad Khan,33.22519083969466,34.083969465648856,72.13740458015268,5.5,ALL,GT,PACE
Sai Sudharsan,90.62977099236642,30.0,58.20610687022901,8.0,BAT,GT,-
Kumar Kushagra,73.73155216284987,30.249363867684476,58.842239185750635,5.5,WK,GT,-
Manav Suthar,50.08396946564885,53.207379134860055,51.641221374045806,6.0,ALL,GT,SPIN
Sherfane Rutherford,79.31297709923665,30.0,37.595419847328245,7.0,BAT,GT,-
Gerald Coetzee,27.21374045801527,73.64991067078122,44.469709273997076,7.0,BOWL,GT,PACE
Anuj Rawat,73.73155216284987,30.249363867684476,58.842239185750635,6.5,WK,GT,-
Kulwant Khejroliya,27.21374045801527,73.64991067078122,44.469709273997076,6.0,BOWL,GT,PACE
Shubman Gill,82.84351145038168,30.0,58.20610687022901,9.0,BAT,GT,-
Ravisrinivasan Sai Kishore,34.23664122137405,91.81297709923666,37.595419847328245,7.0,BOWL,GT,SPIN
Mahipal Lomror,69.55030338618126,31.330495204541005,53.28342141319241,6.5,BAT,GT,-
Karim Janat,50.08396946564885,53.207379134860055,51.641221374045806,6.0,ALL,GT,-
Washington Sundar,50.08396946564885,53.207379134860055,51.641221374045806,7.0,ALL,GT,SPIN
Shahrukh Khan,33.22519083969466,34.083969465648856,72.13740458015268,7.5,ALL,GT,-
Mohammed Siraj,16.393129770992367,73.11068702290078,58.20610687022901,8.0,BOWL,GT,PACE
Glenn Phillips,69.55030338618126,31.330495204541005,53.28342141319241,8.0,BAT,GT,-
Rashid Khan,51.6412213740458,67.63358778625954,37.595419847328245,9.0,BOWL,GT,SPIN
Prasidh Krishna,16.393129770992367,82.09923664122138,37.595419847328245,7.5,BOWL,GT,PACE
Jayant Yadav,27.21374045801527,73.64991067078122,44.469709273997076,6.5,BOWL,GT,-
Rahul Tewatia,62.91984732824427,30.0,58.20610687022901,7.0,ALL,GT,SPIN
Kagiso Rabada,49.54198473282443,74.31297709923665,37.595419847328245,8.5,BOWL,GT,PACE
Jos Buttler,83.37786259541986,30.0,37.595419847328245,9.0,WK,GT,-
Ishant Sharma,16.393129770992367,46.221374045801525,58.20610687022901,7.5,BOWL,GT,PACE
Harshit Rana,38.33969465648855,76.94656488549619,58.20610687022901,8.0,BOWL,KKR,PACE
Angkrish Raghuvanshi,68.16793893129771,30.0,58.20610687022901,6.5,BAT,KKR,-
Vaibhav Arora,16.393129770992367,80.91603053435115,37.595419847328245,6.5,BOWL,KKR,PACE
Luvnith Sisodia,73.73155216284987,30.249363867684476,58.842239185750635,5.5,WK,KKR,-
Mayank Markande,27.21374045801527,73.64991067078122,44.469709273997076,6.0,BOWL,KKR,SPIN
Chetan Sakariya,27.21374045801527,73.64991067078122,44.469709273997076,6.0,BOWL,KKR,PACE
Rahmanullah Gurbaz,73.73155216284987,30.249363867684476,58.842239185750635,7.5,WK,KKR,-
Spencer Johnson,33.22519083969466,62.76717557251908,58.20610687022901,6.5,BOWL,KKR,PACE
Varun Chakravarthy,16.393129770992367,89.79007633587787,37.595419847328245,9.0,BOWL,KKR,SPIN
Anrich Nortje,27.21374045801527,73.64991067078122,44.469709273997076,8.0,BOWL,KKR,PACE
Anukul Sudhakar Roy,50.08396946564885,53.207379134860055,51.641221374045806,6.0,ALL,KKR,SPIN
Ramandeep Singh,34.42748091603054,30.0,58.20610687022901,7.5,ALL,KKR,PACE
