"Ground","City","Bowling","Batting"
"Eden Gardens","Kolkata","0.9","1.2"
"Rajiv Gandhi International Stadium","Hyderabad","1.0","1.2"
"MA Chidambaram Stadium","Chennai","1.0","1.0"
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium","Visakhapatnam","0.9","1.1"
"Narendra Modi Stadium","Ahmedabad","0.9","1.2"
"Barsapara Cricket Stadium","Guwahati","1.0","1.1"
"Wankhede Stadium","Mumbai","1.0","1.2"
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium","Lucknow","0.9","1.1"
"M.Chinnaswamy Stadium","Bengaluru","0.9","1.25"
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur","Chandigarh","0.9","1.1"
"Sawai Mansingh Stadium","Jaipur","0.9","1.1"
"Arun Jaitley Stadium","Delhi","0.9","1.2"
"Himachal Pradesh Cricket Association Stadium","Dharamsala","1.0","1.1"
