Match Number,Ground
1,Eden Gardens
2,Rajiv Gandhi International Stadium
3,M. A. Chidambaram Stadium
4,Dr. Y. S. Rajasekhara Reddy ACA–VDCA Cricket Stadium
5,Narendra Modi Stadium
6,Baraspara Cricket Stadium
7,Rajiv Gandhi International Stadium
8,Wankhede Stadium
9,Sawai Mansingh Stadium
10,Arun Jaitley Stadium
11,M. A. Chidambaram Stadium
12,Dr. Y. S. Rajasekhara Reddy ACA–VDCA Cricket Stadium
13,Baraspara Cricket Stadium
14,M. Chinnaswamy Stadium
15,Narendra Modi Stadium
16,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium
17,Arun Jaitley Stadium
18,Wankhede Stadium
19,Maharaja Yadavindra Singh International Cricket Stadium
20,Sawai Mansingh Stadium
21,M. Chinnaswamy Stadium
22,M. A. Chidambaram Stadium
23,Arun Jaitley Stadium
24,Rajiv Gandhi International Stadium
25,Eden Gardens
26,Wankhede Stadium
27,Sawai Mansingh Stadium
28,Narendra Modi Stadium
29,M. Chinnaswamy Stadium
30,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium
31,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium
32,Arun Jaitley Stadium
33,Rajiv Gandhi International Stadium
34,Eden Gardens
35,M. A. Chidambaram Stadium
36,M. Chinnaswamy Stadium
37,Narendra Modi Stadium
38,Wankhede Stadium
39,Eden Gardens
40,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium
41,Rajiv Gandhi International Stadium
42,M. Chinnaswamy Stadium
43,M. A. Chidambaram Stadium
44,Eden Gardens
45,Wankhede Stadium
46,Arun Jaitley Stadium
47,Sawai Mansingh Stadium
48,Arun Jaitley Stadium
49,M. A. Chidambaram Stadium
50,Sawai Mansingh Stadium
51,Narendra Modi Stadium
52,M. Chinnaswamy Stadium
53,Eden Gardens
54,Maharaja Yadavindra Singh International Cricket Stadium
55,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium
56,Dharamsala Cricket Stadium
57,Arun Jaitley Stadium
58,Rajiv Gandhi International Stadium
59,Eden Gardens
60,Wankhede Stadium
61,Sawai Mansingh Stadium
62,Narendra Modi Stadium
63,M. Chinnaswamy Stadium
64,M. A. Chidambaram Stadium
65,Arun Jaitley Stadium
66,Rajiv Gandhi International Stadium
67,Eden Gardens
68,Wankhede Stadium
69,Sawai Mansingh Stadium
70,Narendra Modi Stadium
71,M. Chinnaswamy Stadium
72,M. A. Chidambaram Stadium
73,Eden Gardens
74,Eden Gardens
