Team,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Start Date,End Date
KKR,VR Iyer,2021-2025,52,50.0,7.0,1332.0,104.0,30.97,974.0,136.75,1.0,11.0,2.0,122.0,61.0,2021-01-01,2025-12-31
KKR,N Rana,2021-2024,47,46.0,5.0,1199.0,80.0,29.24,892.0,134.41,0.0,7.0,3.0,107.0,60.0,2021-01-01,2024-12-31
KKR,AD Russell,2021-2025,54,45.0,10.0,971.0,70.0,27.74,591.0,164.29,0.0,3.0,3.0,66.0,80.0,2021-01-01,2025-12-31
KKR,RK Singh,2022-2025,37,33.0,10.0,828.0,67.0,36.0,557.0,148.65,0.0,4.0,0.0,62.0,44.0,2022-01-01,2025-12-31
KKR,SS Iyer,2022-2024,29,28.0,6.0,752.0,85.0,34.18,537.0,140.03,0.0,5.0,1.0,75.0,25.0,2022-01-01,2024-12-31
KKR,SP Narine,2021-2025,58,45.0,7.0,686.0,109.0,18.05,408.0,168.13,1.0,3.0,10.0,66.0,48.0,2021-01-01,2025-12-31
KKR,Shubman Gill,2021-2021,17,17.0,0.0,478.0,57.0,28.11,402.0,118.9,0.0,3.0,1.0,50.0,12.0,2021-01-01,2021-12-31
KKR,PD Salt,2024-2024,12,12.0,1.0,435.0,89.0,39.54,239.0,182.0,0.0,4.0,1.0,50.0,24.0,2024-01-01,2024-12-31
KKR,RA Tripathi,2021-2021,17,16.0,2.0,397.0,74.0,28.35,283.0,140.28,0.0,2.0,0.0,41.0,11.0,2021-01-01,2021-12-31
KKR,Rahmanullah Gurbaz,2023-2024,14,13.0,0.0,289.0,81.0,22.23,216.0,133.79,0.0,2.0,2.0,24.0,19.0,2023-01-01,2024-12-31
KKR,JJ Roy,2023-2023,8,8.0,0.0,285.0,61.0,35.62,188.0,151.59,0.0,2.0,0.0,36.0,12.0,2023-01-01,2023-12-31
KKR,KD Karthik,2021-2021,17,15.0,5.0,223.0,40.0,22.3,170.0,131.17,0.0,0.0,1.0,22.0,7.0,2021-01-01,2021-12-31
KKR,A Raghuvanshi,2024-2025,11,8.0,0.0,193.0,54.0,24.12,127.0,151.96,0.0,1.0,0.0,18.0,9.0,2024-01-01,2025-12-31
KKR,AM Rahane,2022-2025,8,8.0,0.0,189.0,56.0,23.62,159.0,118.86,0.0,1.0,0.0,20.0,8.0,2022-01-01,2025-12-31
KKR,SW Billings,2022-2022,8,8.0,1.0,169.0,36.0,24.14,138.0,122.46,0.0,0.0,0.0,9.0,10.0,2022-01-01,2022-12-31
KKR,PJ Cummins,2021-2022,12,10.0,3.0,156.0,66.0,22.28,80.0,195.0,0.0,2.0,3.0,10.0,14.0,2021-01-01,2022-12-31
KKR,EJG Morgan,2021-2021,17,16.0,4.0,133.0,47.0,11.08,139.0,95.68,0.0,0.0,4.0,8.0,6.0,2021-01-01,2021-12-31
KKR,Ramandeep Singh,2024-2025,16,10.0,6.0,131.0,35.0,32.75,71.0,184.5,0.0,0.0,0.0,5.0,12.0,2024-01-01,2025-12-31
KKR,SN Thakur,2023-2023,11,10.0,2.0,113.0,68.0,14.12,70.0,161.42,0.0,1.0,2.0,13.0,4.0,2023-01-01,2023-12-31
KKR,N Jagadeesan,2023-2023,6,6.0,0.0,89.0,36.0,14.83,81.0,109.87,0.0,0.0,1.0,14.0,1.0,2023-01-01,2023-12-31
KKR,AJ Finch,2022-2022,5,5.0,0.0,86.0,58.0,17.2,61.0,140.98,0.0,1.0,0.0,10.0,3.0,2022-01-01,2022-12-31
KKR,UT Yadav,2022-2023,20,12.0,6.0,74.0,21.0,12.33,58.0,127.58,0.0,0.0,2.0,5.0,4.0,2022-01-01,2023-12-31
KKR,Shakib Al Hasan,2021-2021,8,6.0,1.0,47.0,26.0,9.4,48.0,97.91,0.0,0.0,2.0,3.0,1.0,2021-01-01,2021-12-31
KKR,MK Pandey,2024-2024,1,1.0,0.0,42.0,42.0,42.0,31.0,135.48,0.0,0.0,0.0,2.0,2.0,2024-01-01,2024-12-31
KKR,Shivam Mavi,2021-2022,15,5.0,1.0,28.0,20.0,7.0,27.0,103.7,0.0,0.0,1.0,2.0,2.0,2021-01-01,2022-12-31
KKR,AS Roy,2022-2024,10,6.0,3.0,26.0,13.0,8.66,24.0,108.33,0.0,0.0,2.0,3.0,0.0,2022-01-01,2024-12-31
KKR,SP Jackson,2022-2022,5,5.0,1.0,23.0,8.0,5.75,26.0,88.46,0.0,0.0,1.0,0.0,1.0,2022-01-01,2022-12-31
KKR,B Indrajith,2022-2022,3,3.0,0.0,21.0,15.0,7.0,30.0,70.0,0.0,0.0,1.0,2.0,0.0,2022-01-01,2022-12-31
KKR,D Wiese,2023-2023,3,3.0,2.0,21.0,12.0,21.0,11.0,190.9,0.0,0.0,0.0,0.0,3.0,2023-01-01,2023-12-31
