Team,Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Span,Start Date,End Date
KKR,AM Rahane,10,9.0,1.0,297.0,61.0,37.12,199.0,149.24,0.0,3.0,0.0,28.0,16.0,2025-2025,,
KKR,A Raghuvanshi,9,8.0,2.0,241.0,50.0,40.16,164.0,146.95,0.0,1.0,0.0,24.0,8.0,2025-2025,,
KKR,SP Narine,9,9.0,1.0,178.0,44.0,22.25,102.0,174.5,0.0,0.0,1.0,17.0,14.0,2025-2025,,
KKR,RK Singh,10,8.0,3.0,169.0,38.0,33.8,116.0,145.68,0.0,0.0,0.0,17.0,7.0,2025-2025,,
KKR,Q de Kock,7,7.0,1.0,143.0,97.0,23.83,104.0,137.5,0.0,1.0,0.0,9.0,11.0,2025-2025,,
KKR,VR Iyer,10,7.0,0.0,142.0,60.0,20.28,102.0,139.21,0.0,1.0,0.0,15.0,4.0,2025-2025,,
KKR,AD Russell,10,7.0,0.0,72.0,21.0,10.28,55.0,130.9,0.0,0.0,0.0,8.0,5.0,2025-2025,,
KKR,Ramandeep Singh,8,5.0,1.0,30.0,22.0,7.5,26.0,115.38,0.0,0.0,1.0,1.0,2.0,2025-2025,,
KKR,Rahmanullah Gurbaz,3,3.0,1.0,28.0,26.0,14.0,19.0,147.36,0.0,0.0,0.0,5.0,1.0,2025-2025,,
KKR,Harshit Rana,10,6.0,3.0,23.0,10.0,7.66,32.0,71.87,0.0,0.0,0.0,3.0,0.0,2025-2025,,
KKR,MK Pandey,1,1.0,0.0,19.0,19.0,19.0,14.0,135.71,0.0,0.0,0.0,2.0,1.0,2025-2025,,
KKR,MM Ali,4,2.0,0.0,5.0,5.0,2.5,14.0,35.71,0.0,0.0,1.0,0.0,0.0,2025-2025,,
KKR,R Powell,2,1.0,0.0,5.0,5.0,5.0,5.0,100.0,0.0,0.0,0.0,1.0,0.0,2025-2025,,
KKR,SH Johnson,4,2.0,2.0,2.0,1.0,,4.0,50.0,0.0,0.0,0.0,0.0,0.0,2025-2025,,
KKR,CV Varun,10,1.0,1.0,1.0,1.0,,1.0,100.0,0.0,0.0,0.0,0.0,0.0,2025-2025,,
KKR,VG Arora,9,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,2025-2025,,
KKR,A Nortje,1,1.0,1.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,2025-2025,,
KKR,AS Roy,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2025-2025,,
KKR,C Sakariya,1,,,,,,,,,,,,,2025-2025,,
CSK,S Dube,10,10.0,2.0,248.0,50.0,31.0,187.0,132.62,0.0,1.0,0.0,18.0,13.0,2025-2025,,
