Team,Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Start Date,End Date
KKR,CV Varun,2021-2025,58,57.0,213.4,1.0,1654.0,66.0,4/15,25.06,7.74,19.4,1.0,0.0,2021-01-01,2025-12-31
KKR,SP Narine,2021-2025,58,57.0,219.0,0.0,1451.0,54.0,4/21,26.87,6.62,24.3,1.0,0.0,2021-01-01,2025-12-31
KKR,AD Russell,2021-2025,54,44.0,91.4,0.0,933.0,54.0,5/15,17.27,10.17,10.1,1.0,1.0,2021-01-01,2025-12-31
KKR,Harshit Rana,2022-2025,22,20.0,67.1,1.0,613.0,25.0,3/24,24.52,9.12,16.1,0.0,0.0,2022-01-01,2025-12-31
KKR,TG Southee,2021-2023,14,14.0,53.0,0.0,449.0,19.0,3/20,23.63,8.47,16.7,0.0,0.0,2021-01-01,2023-12-31
KKR,VG Arora,2023-2025,16,16.0,49.0,0.0,464.0,17.0,3/27,27.29,9.46,17.2,0.0,0.0,2023-01-01,2025-12-31
KKR,MA Starc,2024-2024,14,13.0,41.5,0.0,444.0,17.0,4/33,26.11,10.61,14.7,1.0,0.0,2024-01-01,2024-12-31
KKR,UT Yadav,2022-2023,20,20.0,67.0,2.0,528.0,17.0,4/23,31.05,7.88,23.6,1.0,0.0,2022-01-01,2023-12-31
KKR,PJ Cummins,2021-2022,12,12.0,46.4,0.0,449.0,16.0,3/22,28.06,9.62,17.5,0.0,0.0,2021-01-01,2022-12-31
KKR,Shivam Mavi,2021-2022,15,15.0,54.1,0.0,460.0,16.0,4/21,28.75,8.49,20.3,1.0,0.0,2021-01-01,2022-12-31
KKR,LH Ferguson,2021-2023,11,11.0,37.4,0.0,320.0,14.0,3/18,22.85,8.49,16.1,0.0,0.0,2021-01-01,2023-12-31
KKR,M Prasidh Krishna,2021-2021,10,10.0,38.3,0.0,351.0,12.0,3/30,29.25,9.11,19.2,0.0,0.0,2021-01-01,2021-12-31
KKR,Suyash Sharma,2023-2024,13,13.0,43.0,0.0,372.0,10.0,3/30,37.2,8.65,25.8,0.0,0.0,2023-01-01,2024-12-31
KKR,SN Thakur,2023-2023,11,9.0,21.0,0.0,220.0,7.0,2/23,31.42,10.47,18.0,0.0,0.0,2023-01-01,2023-12-31
KKR,AS Roy,2022-2024,10,8.0,20.4,0.0,180.0,4.0,2/19,45.0,8.7,31.0,0.0,0.0,2022-01-01,2024-12-31
KKR,Shakib Al Hasan,2021-2021,8,8.0,26.0,0.0,187.0,4.0,1/1,46.75,7.19,39.0,0.0,0.0,2021-01-01,2021-12-31
KKR,VR Iyer,2021-2025,52,9.0,13.3,0.0,143.0,3.0,2/29,47.66,10.59,27.0,0.0,0.0,2021-01-01,2025-12-31
KKR,N Rana,2021-2024,47,10.0,12.5,0.0,110.0,3.0,2/17,36.66,8.57,25.6,0.0,0.0,2021-01-01,2024-12-31
KKR,K Khejroliya,2023-2023,2,2.0,4.2,0.0,64.0,2.0,2/44,32.0,14.76,13.0,0.0,0.0,2023-01-01,2023-12-31
KKR,Aman Hakim Khan,2022-2022,1,1.0,1.0,0.0,13.0,0.0,,,13.0,,0.0,0.0,2022-01-01,2022-12-31
KKR,PVD Chameera,2024-2024,1,1.0,3.0,0.0,48.0,0.0,,,16.0,,0.0,0.0,2024-01-01,2024-12-31
KKR,Harbhajan Singh,2021-2021,3,3.0,7.0,0.0,63.0,0.0,,,9.0,,0.0,0.0,2021-01-01,2021-12-31
KKR,SS Iyer,2022-2024,29,1.0,1.0,0.0,7.0,0.0,,,7.0,,0.0,0.0,2022-01-01,2024-12-31
KKR,SH Johnson,2025-2025,1,1.0,2.2,0.0,31.0,0.0,,,13.28,,0.0,0.0,2025-01-01,2025-12-31
KKR,KL Nagarkoti,2021-2021,1,1.0,2.0,0.0,25.0,0.0,,,12.5,,0.0,0.0,2021-01-01,2021-12-31
KKR,Ramandeep Singh,2024-2025,16,1.0,0.4,0.0,9.0,0.0,,,13.5,,0.0,0.0,2024-01-01,2025-12-31
KKR,Rasikh Salam,2022-2022,2,2.0,4.0,0.0,28.0,0.0,,,7.0,,0.0,0.0,2022-01-01,2022-12-31
KKR,S Sandeep Warrier,2021-2021,1,1.0,2.0,0.0,15.0,0.0,,,7.5,,0.0,0.0,2021-01-01,2021-12-31
KKR,D Wiese,2023-2023,3,1.0,3.0,0.0,38.0,0.0,,,12.66,,0.0,0.0,2023-01-01,2023-12-31
KKR,SW Billings,2022-2022,8,,,,,,,,,,,,2022-01-01,2022-12-31
KKR,Q de Kock,2025-2025,1,,,,,,,,,,,,2025-01-01,2025-12-31
KKR,AJ Finch,2022-2022,5,,,,,,,,,,,,2022-01-01,2022-12-31
KKR,B Indrajith,2022-2022,3,,,,,,,,,,,,2022-01-01,2022-12-31
KKR,SP Jackson,2022-2022,5,,,,,,,,,,,,2022-01-01,2022-12-31
KKR,N Jagadeesan,2023-2023,6,,,,,,,,,,,,2023-01-01,2023-12-31
KKR,KD Karthik,2021-2021,17,,,,,,,,,,,,2021-01-01,2021-12-31
KKR,Litton Das,2023-2023,1,,,,,,,,,,,,2023-01-01,2023-12-31
KKR,Mandeep Singh,2023-2023,3,,,,,,,,,,,,2023-01-01,2023-12-31
KKR,EJG Morgan,2021-2021,17,,,,,,,,,,,,2021-01-01,2021-12-31
KKR,MK Pandey,2024-2024,1,,,,,,,,,,,,2024-01-01,2024-12-31
KKR,A Raghuvanshi,2024-2025,11,,,,,,,,,,,,2024-01-01,2025-12-31
KKR,AM Rahane,2022-2025,8,,,,,,,,,,,,2022-01-01,2025-12-31
KKR,Rahmanullah Gurbaz,2023-2024,14,,,,,,,,,,,,2023-01-01,2024-12-31
KKR,JJ Roy,2023-2023,8,,,,,,,,,,,,2023-01-01,2023-12-31
KKR,PD Salt,2024-2024,12,,,,,,,,,,,,2024-01-01,2024-12-31
KKR,TL Seifert,2021-2021,1,,,,,,,,,,,,2021-01-01,2021-12-31
KKR,Shubman Gill,2021-2021,17,,,,,,,,,,,,2021-01-01,2021-12-31
KKR,RK Singh,2022-2025,37,,,,,,,,,,,,2022-01-01,2025-12-31
KKR,A Tomar,2022-2022,1,,,,,,,,,,,,2022-01-01,2022-12-31
KKR,RA Tripathi,2021-2021,17,,,,,,,,,,,,2021-01-01,2021-12-31
CSK,RA Jadeja,2021-2025,57,57.0,189.0,1.0,1415.0,46.0,3/13,30.76,7.48,24.6,0.0,0.0,2021-01-01,2025-12-31
CSK,TU Deshpande,2022-2024,31,31.0,111.5,0.0,1051.0,39.0,4/27,26.94,9.39,17.2,1.0,0.0,2022-01-01,2024-12-31
CSK,M Pathirana,2022-2024,20,20.0,75.1,0.0,592.0,34.0,4/28,17.41,7.87,13.2,1.0,0.0,2022-01-01,2024-12-31
CSK,DL Chahar,2021-2024,33,33.0,111.3,1.0,950.0,32.0,4/13,29.68,8.52,20.9,2.0,0.0,2021-01-01,2024-12-31
CSK,DJ Bravo,2021-2022,21,21.0,68.0,1.0,562.0,30.0,3/20,18.73,8.26,13.6,0.0,0.0,2021-01-01,2022-12-31
CSK,SN Thakur,2021-2024,25,25.0,91.3,1.0,836.0,26.0,3/28,32.15,9.13,21.1,0.0,0.0,2021-01-01,2024-12-31
CSK,MM Ali,2021-2024,48,35.0,83.1,0.0,585.0,25.0,4/26,23.4,7.03,19.9,1.0,0.0,2021-01-01,2024-12-31
CSK,M Theekshana,2022-2024,27,27.0,104.0,1.0,797.0,25.0,4/33,31.88,7.66,24.9,1.0,0.0,2022-01-01,2024-12-31
CSK,Mukesh Choudhary,2022-2024,14,14.0,46.3,0.0,451.0,16.0,4/46,28.18,9.69,17.4,1.0,0.0,2022-01-01,2024-12-31
CSK,Mustafizur Rahman,2024-2024,9,9.0,34.2,1.0,318.0,14.0,4/29,22.71,9.26,14.7,1.0,0.0,2024-01-01,2024-12-31
CSK,JR Hazlewood,2021-2021,9,9.0,35.0,0.0,293.0,11.0,3/24,26.63,8.37,19.0,0.0,0.0,2021-01-01,2021-12-31
CSK,SM Curran,2021-2025,10,10.0,34.0,0.0,341.0,9.0,3/34,37.88,10.02,22.6,0.0,0.0,2021-01-01,2025-12-31
CSK,MJ Santner,2022-2024,12,12.0,40.0,0.0,275.0,9.0,2/28,30.55,6.87,26.6,0.0,0.0,2022-01-01,2024-12-31
CSK,Simarjeet Singh,2022-2024,10,10.0,30.0,0.0,259.0,9.0,3/26,28.77,8.63,20.0,0.0,0.0,2022-01-01,2024-12-31
CSK,D Pretorius,2022-2023,7,7.0,25.0,0.0,238.0,6.0,2/30,39.66,9.52,25.0,0.0,0.0,2022-01-01,2023-12-31
CSK,Akash Singh,2023-2023,6,6.0,19.0,0.0,188.0,5.0,2/40,37.6,9.89,22.8,0.0,0.0,2023-01-01,2023-12-31
CSK,L Ngidi,2021-2021,3,3.0,12.0,0.0,125.0,5.0,3/28,25.0,10.41,14.4,0.0,0.0,2021-01-01,2021-12-31
