Team,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Span,Start Date,End Date
KKR,VG Arora,2,2.0,7.0,0.0,75.0,3.0,2/33,25.0,10.71,14.0,0.0,0.0,2025-2025,2025-01-01,2025-12-31
KKR,CV Varun,2,2.0,8.0,0.0,60.0,3.0,2/17,20.0,7.5,16.0,0.0,0.0,2025-2025,2025-01-01,2025-12-31
KKR,MM Ali,1,1.0,4.0,0.0,23.0,2.0,2/23,11.5,5.75,12.0,0.0,0.0,2025-2025,2025-01-01,2025-12-31
KKR,Harshit Rana,2,2.0,7.0,0.0,68.0,2.0,2/36,34.0,9.71,21.0,0.0,0.0,2025-2025,2025-01-01,2025-12-31
KKR,SH Johnson,2,2.0,6.2,0.0,73.0,1.0,1/42,73.0,11.52,38.0,0.0,0.0,2025-2025,2025-01-01,2025-12-31
KKR,SP Narine,1,1.0,4.0,0.0,27.0,1.0,1/27,27.0,6.75,24.0,0.0,0.0,2025-2025,2025-01-01,2025-12-31
KKR,Q de Kock,2,,,,,,,,,,,,2025-2025,2025-01-01,2025-12-31
KKR,VR Iyer,2,,,,,,,,,,,,2025-2025,2025-01-01,2025-12-31
KKR,A Raghuvanshi,2,,,,,,,,,,,,2025-2025,2025-01-01,2025-12-31
KKR,AM Rahane,2,,,,,,,,,,,,2025-2025,2025-01-01,2025-12-31
KKR,Ramandeep Singh,2,,,,,,,,,,,,2025-2025,2025-01-01,2025-12-31
KKR,AD Russell,2,,,,,,,,,,,,2025-2025,2025-01-01,2025-12-31
KKR,RK Singh,2,,,,,,,,,,,,2025-2025,2025-01-01,2025-12-31
CSK,Noor Ahmad,3,3.0,12.0,0.0,82.0,9.0,4/18,9.11,6.83,8.0,1.0,0.0,2025-2025,2025-01-01,2025-12-31
CSK,KK Ahmed,3,3.0,12.0,0.0,95.0,6.0,3/29,15.83,7.91,12.0,0.0,0.0,2025-2025,2025-01-01,2025-12-31
CSK,M Pathirana,2,2.0,8.0,0.0,64.0,4.0,2/28,16.0,8.0,12.0,0.0,0.0,2025-2025,2025-01-01,2025-12-31
CSK,R Ashwin,3,3.0,10.0,0.0,99.0,3.0,1/22,33.0,9.9,20.0,0.0,0.0,2025-2025,2025-01-01,2025-12-31
