player,team,Inferred_Role,match_id,Batting_Form,Bowling_Form,Fielding_Form,Player_Form
A Badoni,Lucknow Super Giants,BAT,2024-05-17,78.3,0.0,0,78.3
A Kamboj,Mumbai Indians,Unknown,2024-05-17,0.0,0.0,0,0.0
A Manohar,Gujarat Titans,BAT,2024-04-17,17.602857142857143,0.0,10,19.602857142857143
A Mishra,Lucknow Super Giants,BOWL,2024-04-27,0.0,50.0,0,50.0
A Nortje,Delhi Capitals,BOWL,2024-04-24,0.0,42.0,0,42.0
A Raghuvanshi,Kolkata Knight Riders,BAT,2024-05-05,42.843076923076914,0.0,0,42.843076923076914
A Zampa,Rajasthan Royals,BOWL,2023-05-19,0.0,99.5,0,99.5
AA Kulkarni,Lucknow Super Giants,BAT,2024-05-05,38.77142857142858,0.0,0,38.77142857142858
AD Russell,Kolkata Knight Riders,BOWL,2024-05-26,0.0,96.0,0,96.0
AJ Hosein,Sunrisers Hyderabad,ALL,2023-04-29,48.2,8.75,0,28.475
AJ Turner,Lucknow Super Giants,BAT,2024-05-05,56.53333333333333,0.0,0,56.53333333333333
AK Markram,Sunrisers Hyderabad,Unknown,2024-05-26,0.0,0.0,0,0.0
AM Rahane,Chennai Super Kings,BAT,2024-05-18,51.28,0.0,0,51.28
AR Patel,Delhi Capitals,ALL,2024-05-14,61.879999999999995,-6.0,10,29.939999999999998
AS Joseph,Royal Challengers Bengaluru,Unknown,2024-03-29,0.0,0.0,0,0.0
AS Roy,Kolkata Knight Riders,Unknown,2024-04-26,0.0,0.0,0,0.0
AT Rayudu,Chennai Super Kings,BAT,2023-05-29,78.27,0.0,0,78.27
AU Rashid,Sunrisers Hyderabad,ALL,2023-04-07,50.89999999999999,27.66666666666667,0,39.28333333333333
Abdul Basith,Rajasthan Royals,BAT,2023-04-23,30.0,0.0,0,30.0
Abdul Samad,Sunrisers Hyderabad,BAT,2024-05-26,33.6,0.0,0,33.6
Abhishek Sharma,Sunrisers Hyderabad,BAT,2024-05-26,32.04,0.0,0,32.04
Abishek Porel,Delhi Capitals,BAT,2024-05-14,68.14727272727274,0.0,0,68.14727272727274
Akash Deep,Royal Challengers Bengaluru,ALL,2024-04-11,35.1,8.428571428571423,0,21.764285714285712
Akash Madhwal,Mumbai Indians,BOWL,2024-04-18,0.0,48.00000000000001,0,48.00000000000001
Akash Singh,Chennai Super Kings,Unknown,2023-04-30,0.0,0.0,0,0.0
Aman Hakim Khan,Delhi Capitals,BAT,2023-05-20,31.71333333333334,0.0,10,33.71333333333334
Anmolpreet Singh,Sunrisers Hyderabad,BAT,2024-05-02,42.7,0.0,0,42.7
Anuj Rawat,Royal Challengers Bengaluru,BAT,2024-04-15,65.59142857142858,0.0,0,65.59142857142858
Arjun Tendulkar,Mumbai Indians,Unknown,2024-05-17,0.0,0.0,0,0.0
Arshad Khan,Lucknow Super Giants,Unknown,2024-05-17,0.0,0.0,0,0.0
Arshad Khan (2),Lucknow Super Giants,Unknown,2024-04-14,0.0,0.0,0,0.0
Arshdeep Singh,Punjab Kings,BOWL,2024-05-19,0.0,90.5,10,92.5
Ashutosh Sharma,Punjab Kings,BAT,2024-05-19,23.359999999999996,0.0,0,23.359999999999996
Atharva Taide,Punjab Kings,Unknown,2024-05-19,0.0,0.0,0,0.0
Avesh Khan,Rajasthan Royals,BOWL,2024-05-24,0.0,118.25,15,121.25
Azmatullah Omarzai,Gujarat Titans,Unknown,2024-04-28,0.0,0.0,0,0.0
B Kumar,Sunrisers Hyderabad,Unknown,2024-05-26,0.0,0.0,0,0.0
B Sai Sudharsan,Gujarat Titans,BAT,2024-05-10,85.64823529411764,0.0,0,85.64823529411764
BA Stokes,Chennai Super Kings,Unknown,2023-04-03,0.0,0.0,20,0.0
BR Sharath,Gujarat Titans,BAT,2024-04-07,12.0,0.0,10,14.0
C Green,Royal Challengers Bengaluru,ALL,2024-05-22,52.91142857142857,63.0,15,60.955714285714286
C Sakariya,Delhi Capitals,Unknown,2023-05-20,0.0,0.0,0,0.0
CJ Jordan,Mumbai Indians,Unknown,2023-05-26,0.0,0.0,0,0.0
CV Varun,Kolkata Knight Riders,BOWL,2024-05-26,0.0,157.0,0,157.0
D Brevis,Mumbai Indians,BAT,2024-05-17,43.999999999999986,0.0,0,43.999999999999986
D Ferreira,Rajasthan Royals,WK,2024-05-22,1.5999999999999999,0.0,10,5.6
D Jansen,Mumbai Indians,BOWL,2023-04-16,0.0,-4.25,20,-0.25
D Padikkal,Lucknow Super Giants,Unknown,2024-05-17,0.0,0.0,0,0.0
D Pretorius,Chennai Super Kings,Unknown,2023-04-08,0.0,0.0,10,0.0
D Wiese,Kolkata Knight Riders,BAT,2023-04-29,42.699999999999996,0.0,0,42.699999999999996
DA Miller,Gujarat Titans,BAT,2024-05-10,57.77636363636364,0.0,25,62.77636363636364
DA Warner,Delhi Capitals,BAT,2024-05-12,25.68,0.0,0,25.68
DG Nalkande,Gujarat Titans,ALL,2024-04-07,32.82727272727272,34.83333333333333,0,33.83030303030303
DJ Hooda,Lucknow Super Giants,BAT,2024-05-17,45.526666666666664,0.0,0,45.526666666666664
DJ Mitchell,Chennai Super Kings,BAT,2024-05-18,40.16,0.0,20,44.16
DJ Willey,Royal Challengers Bangalore,Unknown,2023-04-26,0.0,0.0,10,0.0
DL Chahar,Chennai Super Kings,Unknown,2024-05-01,0.0,0.0,0,0.0
DP Conway,Chennai Super Kings,BAT,2023-05-29,82.32,0.0,0,82.32
DR Sams,Punjab Kings,WK,2023-04-28,0.0,0.0,10,4.0
Dhruv Jurel,Rajasthan Royals,BAT,2024-05-24,59.58,0.0,10,61.58
F du Plessis,Royal Challengers Bengaluru,BAT,2024-05-22,55.56857142857142,0.0,10,57.56857142857142
Fazalhaq Farooqi,Sunrisers Hyderabad,ALL,2023-05-15,6.0,54.33333333333333,0,30.166666666666664
G Coetzee,Mumbai Indians,Unknown,2024-05-03,0.0,0.0,10,0.0
GD Phillips,Sunrisers Hyderabad,BAT,2023-05-21,12.059999999999999,0.0,0,12.059999999999999
GJ Maxwell,Royal Challengers Bengaluru,Unknown,2024-05-22,0.0,0.0,0,0.0
Gulbadin Naib,Delhi Capitals,Unknown,2024-05-14,0.0,0.0,10,0.0
