Team,Player,Span,Mat,Inns,Dis,Ct,St,Ct Wk,Ct Fi,MD,D/I,Start Date,End Date
KKR,RK Singh,2022-2025,37,36.0,24.0,24.0,0.0,0.0,24.0,,0.666,2022-01-01,2025-12-31
KKR,VR Iyer,2021-2025,52,51.0,18.0,18.0,0.0,0.0,18.0,,0.352,2021-01-01,2025-12-31
KKR,SS Iyer,2022-2024,29,28.0,15.0,15.0,0.0,0.0,15.0,,0.535,2022-01-01,2024-12-31
KKR,Rahmanullah Gurbaz,2023-2024,14,13.0,15.0,15.0,0.0,15.0,0.0,,1.153,2023-01-01,2024-12-31
KKR,SP Narine,2021-2025,58,57.0,14.0,14.0,0.0,0.0,14.0,,0.245,2021-01-01,2025-12-31
KKR,N Rana,2021-2024,47,47.0,13.0,13.0,0.0,0.0,13.0,,0.276,2021-01-01,2024-12-31
KKR,AD Russell,2021-2025,54,53.0,13.0,13.0,0.0,0.0,13.0,,0.245,2021-01-01,2025-12-31
KKR,PD Salt,2024-2024,12,12.0,12.0,12.0,0.0,12.0,0.0,,1.0,2024-01-01,2024-12-31
KKR,CV Varun,2021-2025,58,57.0,11.0,11.0,0.0,0.0,11.0,,0.192,2021-01-01,2025-12-31
KKR,EJG Morgan,2021-2021,17,17.0,9.0,9.0,0.0,0.0,9.0,,0.529,2021-01-01,2021-12-31
KKR,Ramandeep Singh,2024-2025,16,15.0,9.0,9.0,0.0,0.0,9.0,,0.6,2024-01-01,2025-12-31
KKR,Shivam Mavi,2021-2022,15,15.0,9.0,9.0,0.0,0.0,9.0,,0.6,2021-01-01,2022-12-31
KKR,RA Tripathi,2021-2021,17,17.0,8.0,8.0,0.0,0.0,8.0,,0.47,2021-01-01,2021-12-31
KKR,UT Yadav,2022-2023,20,20.0,8.0,8.0,0.0,0.0,8.0,,0.4,2022-01-01,2023-12-31
KKR,SW Billings,2022-2022,8,8.0,7.0,6.0,1.0,6.0,0.0,,0.875,2022-01-01,2022-12-31
KKR,SP Jackson,2022-2022,5,5.0,7.0,5.0,2.0,5.0,0.0,,1.4,2022-01-01,2022-12-31
KKR,KD Karthik,2021-2021,17,17.0,7.0,5.0,2.0,5.0,0.0,,0.411,2021-01-01,2021-12-31
KKR,Harshit Rana,2022-2025,22,21.0,6.0,6.0,0.0,0.0,6.0,,0.285,2022-01-01,2025-12-31
KKR,Shubman Gill,2021-2021,17,17.0,6.0,6.0,0.0,0.0,6.0,,0.352,2021-01-01,2021-12-31
KKR,TG Southee,2021-2023,14,14.0,6.0,6.0,0.0,0.0,6.0,,0.428,2021-01-01,2023-12-31
KKR,MA Starc,2024-2024,14,13.0,6.0,6.0,0.0,0.0,6.0,,0.461,2024-01-01,2024-12-31
KKR,VG Arora,2023-2025,16,16.0,4.0,4.0,0.0,0.0,4.0,,0.25,2023-01-01,2025-12-31
KKR,A Raghuvanshi,2024-2025,11,11.0,4.0,4.0,0.0,0.0,4.0,,0.363,2024-01-01,2025-12-31
KKR,SN Thakur,2023-2023,11,11.0,4.0,4.0,0.0,0.0,4.0,,0.363,2023-01-01,2023-12-31
KKR,PJ Cummins,2021-2022,12,12.0,3.0,3.0,0.0,0.0,3.0,,0.25,2021-01-01,2022-12-31
KKR,LH Ferguson,2021-2023,11,11.0,3.0,3.0,0.0,0.0,3.0,,0.272,2021-01-01,2023-12-31
KKR,M Prasidh Krishna,2021-2021,10,10.0,3.0,3.0,0.0,0.0,3.0,,0.3,2021-01-01,2021-12-31
KKR,AM Rahane,2022-2025,8,8.0,3.0,3.0,0.0,0.0,3.0,,0.375,2022-01-01,2025-12-31
KKR,AS Roy,2022-2024,10,9.0,3.0,3.0,0.0,0.0,3.0,,0.333,2022-01-01,2024-12-31
KKR,Shakib Al Hasan,2021-2021,8,8.0,3.0,3.0,0.0,0.0,3.0,,0.375,2021-01-01,2021-12-31
KKR,MK Pandey,2024-2024,1,1.0,2.0,2.0,0.0,0.0,2.0,,2.0,2024-01-01,2024-12-31
KKR,JJ Roy,2023-2023,8,8.0,2.0,2.0,0.0,0.0,2.0,,0.25,2023-01-01,2023-12-31
KKR,D Wiese,2023-2023,3,3.0,2.0,2.0,0.0,0.0,2.0,,0.666,2023-01-01,2023-12-31
KKR,AJ Finch,2022-2022,5,5.0,1.0,1.0,0.0,0.0,1.0,,0.2,2022-01-01,2022-12-31
KKR,Harbhajan Singh,2021-2021,3,3.0,1.0,1.0,0.0,0.0,1.0,,0.333,2021-01-01,2021-12-31
KKR,B Indrajith,2022-2022,3,3.0,1.0,1.0,0.0,1.0,0.0,,0.333,2022-01-01,2022-12-31
KKR,N Jagadeesan,2023-2023,6,6.0,1.0,1.0,0.0,0.0,1.0,,0.166,2023-01-01,2023-12-31
KKR,SH Johnson,2025-2025,1,1.0,1.0,1.0,0.0,0.0,1.0,,1.0,2025-01-01,2025-12-31
KKR,Suyash Sharma,2023-2024,13,13.0,1.0,1.0,0.0,0.0,1.0,,0.076,2023-01-01,2024-12-31
KKR,Aman Hakim Khan,2022-2022,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-01-01,2022-12-31
KKR,PVD Chameera,2024-2024,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-01,2024-12-31
KKR,Q de Kock,2025-2025,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-01-01,2025-12-31
KKR,K Khejroliya,2023-2023,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-01-01,2023-12-31
KKR,Litton Das,2023-2023,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-01-01,2023-12-31
KKR,Mandeep Singh,2023-2023,3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-01-01,2023-12-31
KKR,KL Nagarkoti,2021-2021,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-01-01,2021-12-31
KKR,Rasikh Salam,2022-2022,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-01-01,2022-12-31
KKR,S Sandeep Warrier,2021-2021,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-01-01,2021-12-31
KKR,TL Seifert,2021-2021,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-01-01,2021-12-31
KKR,A Tomar,2022-2022,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-01-01,2022-12-31
CSK,MS Dhoni,2021-2025,61,61.0,43.0,39.0,4.0,39.0,0.0,,0.704,2021-01-01,2025-12-31
CSK,RA Jadeja,2021-2025,57,57.0,36.0,36.0,0.0,0.0,36.0,,0.631,2021-01-01,2025-12-31
