Player,Batting Form,Bowling Form,Fielding Form,Credits,Player Type,Bowler Type,Team
Aaron Hardie,56.60519301470588,56.483125,52.77461029411765,7.0,ALL,-,PBKS
Abdul Samad,75.32084537572254,34.259176300578034,59.4769328034682,6.5,BAT,-,LSG
Abhinandan Singh,26.245437499999998,67.82502777777778,39.260888888888886,5.0,BOWL,-,RCB
Abhinav Manohar,35.1612987716763,35.55780346820809,53.32086343930635,6.5,BAT,-,SRH
Abhishek Sharma,91.80576228323699,39.86531791907514,41.50800216763005,8.5,ALL,-,SRH
Abishek Porel,74.09337969653178,35.55780346820809,49.847778179190755,6.5,WK,-,DC
Adam Zampa,16.425144508670517,53.234492413294795,29.672742052023118,7.5,BOWL,-,SRH
Aiden Markram,77.47078215317919,60.10341401734104,69.47458453757226,8.0,ALL,-,LSG
Ajay Mandal,56.60519301470588,56.483125,52.77461029411765,6.5,ALL,-,DC
Ajinkya Rahane,79.02192015895953,35.55780346820809,63.073934248554906,7.5,BAT,-,KKR
Akash Deep,27.28063583815029,54.74792268786127,34.701643786127164,7.0,BOWL,-,LSG
Akash Madhwal,26.286154263005777,67.95714916506103,39.34062299293513,7.0,BOWL,-,RR
Akash Singh,21.400316112716762,62.86321852922286,39.34062299293513,6.0,BOWL,-,LSG
Andre Russell,64.36898482658958,69.68312861271676,57.7861813583815,8.5,ALL,-,KKR
Andre Siddharth,13.576878612716763,60.16223807803468,41.02985910404624,5.5,BAT,-,CHE
Angkrish Raghuvanshi,73.08767160404624,35.55780346820809,45.14835621387283,6.5,BAT,-,KKR
Aniket Verma,81.0578125,33.873,60.65625,5.0,BAT,-,SRH
Anrich Nortje,23.504624277456646,69.40411849710982,37.56291546242774,8.0,BOWL,-,KKR
Anshul Kamboj,31.09413836705202,62.402402456647394,34.701643786127164,6.0,BOWL,-,CHE
Anuj Rawat,72.52697211832711,35.526921115266916,73.26865436926215,6.5,WK,-,GT
Anukul Sudhakar Roy,50.886984922220336,52.74474349710983,49.602379080244816,6.0,ALL,-,KKR
Arjun Tendulkar,32.62863981213873,62.54674454078356,37.38975594091201,5.0,BOWL,-,MI
Arshad Khan,35.028179190751445,53.27638186416185,54.82185693641618,5.5,ALL,-,GT
Arshdeep Singh,30.831186777456644,84.62761921965317,40.25077673410404,8.5,BOWL,-,PBKS
Arshin Kulkarni,56.60519301470588,56.483125,52.77461029411765,6.0,ALL,-,LSG
Aryan Juyal,71.97205882352941,35.52811764705882,71.98073529411764,5.5,WK,-,LSG
Ashok Sharma,26.245437499999998,67.82502777777778,39.260888888888886,5.0,BOWL,-,RR
Ashutosh Sharma,74.64390354046242,35.55780346820809,47.46826228323699,7.0,BAT,-,DC
Ashwani Kumar,18.421999999999997,69.431625,40.950125,5.5,BOWL,-,MI
Atharva Taide,68.95949162792158,28.888317573510932,50.953536535561696,6.5,BAT,-,SRH
Avesh Khan,52.53636199421965,67.5915823699422,43.67436777456648,8.0,BOWL,-,LSG
Axar Patel,76.5647850433526,63.90722543352601,69.40341401734103,9.0,ALL,-,DC
Ayush Badoni,69.82373554913295,35.18063583815029,58.52317557803468,7.0,BAT,-,LSG
Azmatullah Omarzai,47.85071351156069,36.97543352601156,29.672742052023118,7.5,ALL,-,PBKS
Bevon Jacobs,66.44504076086956,35.059005434782605,53.23301630434783,6.0,BAT,-,MI
Bhuvneshwar Kumar,38.92280527456647,83.39549313583814,37.56291546242774,8.0,BOWL,-,RCB
Chetan Sakariya,26.307830563583813,65.23027055234425,41.20478484264611,6.0,BOWL,-,KKR
Corbin Bosch,56.60519301470588,56.483125,52.77461029411765,6.0,ALL,-,MI
Darshan Nalkande,29.234131141618498,63.87766939627489,41.20478484264611,6.5,BOWL,-,DC
David Miller,67.13860187861272,35.55780346820809,62.49526734104046,8.0,BAT,-,LSG
Deepak Chahar,59.21162391618497,66.92785404624277,43.544309971098265,8.0,BOWL,-,MI
Deepak Hooda,40.56305997109826,34.21820809248555,49.483616329479766,7.0,BAT,-,CHE
Devdutt Padikkal,66.71793713872833,35.55780346820809,47.749512283236996,7.0,BAT,-,RCB
Devon Conway,67.86256322254336,35.55780346820809,48.48650650289017,8.0,WK,-,CHE
Dhruv Jurel,82.16367413294797,35.55780346820809,69.44794075144509,7.5,WK,-,RR
Digvesh Singh,18.421999999999997,81.0363125,40.950125,5.0,BOWL,-,LSG
Donovan Ferreira,46.4260022632608,53.91092846820809,46.52434439816389,7.0,ALL,-,DC
Dushmantha Chameera,21.400316112716762,57.292409280667954,37.38975594091201,7.0,BOWL,-,DC
Eshan Malinga,18.421999999999997,67.3644375,31.543875,6.0,BOWL,-,SRH
Faf du Plessis,73.83921604046242,35.55780346820809,60.76116329479768,8.5,BAT,-,DC
FazalHaq Farooqi,15.094219653179191,33.10491329479768,30.626499277456645,7.0,BOWL,-,RR
Gerald Coetzee,27.6734375,65.88923008991651,41.20478484264611,7.0,BOWL,-,GT
Glenn Maxwell,54.465037933526006,75.20226697976878,67.49309971098266,8.5,ALL,-,PBKS
Glenn Phillips,67.719607234858,36.89120774692134,46.184750408394066,8.0,BAT,-,GT
Gurjapneet Singh,26.245437499999998,67.82502777777778,39.260888888888886,6.0,BOWL,-,CHE
Gurnoor Brar Singh,21.400316112716762,57.656571130378936,37.38975594091201,5.5,BOWL,-,GT
Hardik Pandya,75.04115787572253,78.60088511560693,56.789071531791905,9.0,ALL,-,MI
Harnoor Singh Pannu,66.44504076086956,35.059005434782605,53.23301630434783,5.0,BAT,-,PBKS
Harpreet Brar,28.32976878612717,65.16212066473989,41.50800216763005,6.5,BOWL,-,PBKS
Harshal Patel,38.503152095375725,78.68703937861272,52.62722182080925,8.0,BOWL,-,SRH
Harshit Rana,37.6777637283237,82.76210260115606,63.59416546242774,8.0,BOWL,-,KKR
Heinrich Klaasen,87.64514089595374,35.55780346820809,81.68614523121387,9.0,WK,-,SRH
Himmat Singh,28.85,33.873,38.671875,5.5,BAT,-,LSG
Ishan Kishan,82.27927203757224,35.03280346820809,66.3526553468208,8.0,WK,-,SRH
Ishant Sharma,15.336994219653178,55.63852962427745,50.11277095375722,7.5,BOWL,-,GT
Jacob Bethell,66.44504076086956,35.059005434782605,53.23301630434783,7.0,BAT,-,RCB
