Player,Batting Form,Bowling Form,Fielding Form,Credits,Player Type,Bowler Type,Team
Aaron Hardie,55.434876543209874,56.21592592592593,53.230395061728395,7.0,ALL,-,PBKS
Abdul Samad,72.86922500535216,35.89575037465211,61.34116891457931,6.5,BAT,-,LSG
Abhinandan Singh,24.908407407407406,68.55296296296297,39.574592592592595,5.0,BOWL,PACE,RCB
Abhinav Manohar,33.82489830871334,35.55780346820809,55.18509955041746,6.5,BAT,-,SRH
Abhishek Sharma,63.365831727681424,41.978280882038106,42.6268679083708,8.5,ALL,SPIN,SRH
Abishek Porel,69.96994219653179,35.55780346820809,41.56039391993149,6.5,WK,-,DC
Adam Zampa,15.725144508670517,55.64114750588739,30.79160779276386,7.5,BOWL,SPIN,SRH
Aiden Markram,75.19051594947548,34.40028901734104,64.57377435238706,8.0,ALL,SPIN,LSG
Ajay Mandal,55.434876543209874,56.21592592592593,53.230395061728395,6.5,ALL,-,DC
Ajinkya Rahane,82.29061228858916,35.55780346820809,61.23562406336973,7.5,BAT,-,KKR
Akash Deep,26.580635838150286,58.02998287304645,35.82050952686791,7.0,BOWL,PACE,LSG
Akash Madhwal,24.949124170413185,68.6850843502462,39.65432669663883,7.0,BOWL,PACE,RR
Akash Singh,20.06328602012417,63.59115371440805,39.65432669663883,6.0,BOWL,-,LSG
Andre Russell,56.063776493256256,72.68243416827232,59.65041746949261,8.5,ALL,PACE,KKR
Andre Siddharth,12.876878612716762,62.335559837293935,42.72395632626846,5.5,BAT,-,CHE
Angkrish Raghuvanshi,74.01654891886106,35.55780346820809,46.84245343609505,6.5,BAT,-,KKR
Aniket Verma,69.69861111111109,34.63165740740741,53.139351851851856,5.0,BAT,-,SRH
Anrich Nortje,29.991031684864055,71.30358146007279,45.593633055020334,8.0,BOWL,PACE,KKR
Anshul Kamboj,25.10085827445943,60.036240419610365,42.73236137871976,6.0,BOWL,PACE,CHE
Anuj Rawat,73.36750588739027,35.639038036109326,69.81421537144081,6.5,WK,-,GT
Anukul Sudhakar Roy,49.71666845072433,52.47754442303576,50.05816384785556,6.0,ALL,SPIN,KKR
Arjun Tendulkar,31.291609719546134,63.274679725968745,37.70345964461571,5.0,BOWL,PACE,MI
Arshad Khan,31.43095696852922,54.38755084564333,57.030421751230996,5.5,ALL,PACE,GT
Arshdeep Singh,28.25277242560479,80.78329051594947,41.36964247484478,8.5,BOWL,PACE,PBKS
Arshin Kulkarni,55.434876543209874,56.21592592592593,53.230395061728395,6.0,ALL,PACE,LSG
Aryan Juyal,72.81259259259258,35.64023456790123,68.5262962962963,5.5,WK,-,LSG
Ashok Sharma,24.908407407407406,68.55296296296297,39.574592592592595,5.0,BOWL,-,RR
Ashutosh Sharma,75.26734104046241,35.55780346820809,49.3324983943481,7.0,BAT,-,DC
Ashwani Kumar,24.908407407407406,68.55296296296297,39.574592592592595,5.5,BOWL,PACE,MI
Atharva Taide,69.21306197816313,28.460969546135733,50.859872083065724,6.5,BAT,-,SRH
Avesh Khan,46.096199957182606,66.1413508884607,35.386983515307215,8.0,BOWL,PACE,LSG
Axar Patel,68.99238921001925,49.76463284093343,71.19473346178548,9.0,ALL,SPIN,DC
Ayush Badoni,64.87026332691072,35.18063583815029,60.38741168914579,7.0,BAT,-,LSG
Azmatullah Omarzai,46.146488974523656,38.66061871119675,30.79160779276386,7.5,ALL,PACE,PBKS
Bevon Jacobs,66.69861111111109,34.63165740740741,53.139351851851856,6.0,BAT,-,MI
Bhuvneshwar Kumar,29.849946478270173,81.8994861913937,38.681781203168484,8.0,BOWL,PACE,RCB
Chetan Sakariya,24.97080047099122,65.95820573752944,41.518488546349815,6.0,BOWL,PACE,KKR
Corbin Bosch,55.434876543209874,56.21592592592593,53.230395061728395,6.0,ALL,-,MI
Darshan Nalkande,27.897101049025906,64.60560458146009,41.518488546349815,6.5,BOWL,PACE,DC
David Miller,72.01834724898308,35.55780346820809,64.70383215585528,8.0,BAT,-,LSG
Deepak Chahar,57.018047527296076,68.98410404624278,45.238407193320484,8.0,BOWL,PACE,MI
Deepak Hooda,40.02914793406123,34.21820809248555,51.177713551701984,7.0,BAT,SPIN,CHE
Devdutt Padikkal,62.84120102761721,35.55780346820809,39.46212802397773,7.0,BAT,-,RCB
Devon Conway,70.69537572254335,35.55780346820809,50.18060372511239,8.0,WK,-,CHE
Dhruv Jurel,80.35777135517019,35.55780346820809,66.02733889959322,7.5,WK,-,RR
Digvesh Singh,24.908407407407406,68.55296296296297,39.574592592592595,5.0,BOWL,SPIN,LSG
Donovan Ferreira,45.25568579176479,53.64372939413402,46.980129165774635,7.0,ALL,-,DC
Dushmantha Chameera,20.06328602012417,58.02034446585314,37.70345964461571,7.0,BOWL,PACE,DC
Eshan Malinga,24.908407407407406,68.55296296296297,39.574592592592595,6.0,BOWL,-,SRH
Faf du Plessis,74.54326696638833,35.55780346820809,62.969728109612504,8.5,BAT,-,DC
FazalHaq Farooqi,14.394219653179189,34.51787625776065,31.745365018197383,7.0,BOWL,PACE,RR
Gerald Coetzee,26.336407407407407,66.6171652751017,41.518488546349815,7.0,BOWL,PACE,GT
Glenn Maxwell,55.59241061871119,77.4987368871762,67.2062941554271,8.5,ALL,SPIN,PBKS
Glenn Phillips,67.97317758509953,36.463859719546136,46.091085955898095,8.0,BAT,-,GT
Gurjapneet Singh,24.908407407407406,68.55296296296297,39.574592592592595,6.0,BOWL,PACE,CHE
Gurnoor Brar Singh,20.06328602012417,58.384506315564124,37.70345964461571,5.5,BOWL,-,GT
Hardik Pandya,73.8951509312781,80.93340826375508,58.653307642903016,9.0,ALL,PACE,MI
Harnoor Singh Pannu,66.69861111111109,34.63165740740741,53.139351851851856,5.0,BAT,-,PBKS
Harpreet Brar,34.816176193534574,71.58970862770286,49.53871976022265,6.5,BOWL,SPIN,PBKS
Harshal Patel,37.752515521301646,75.50908798972384,54.49145793192036,8.0,BOWL,PACE,SRH
Harshit Rana,36.49732391350888,73.28779704560051,65.38548490687218,8.0,BOWL,PACE,KKR
Heinrich Klaasen,87.8501177478056,35.55780346820809,83.52607578676943,9.0,WK,-,SRH
Himmat Singh,66.69861111111109,34.63165740740741,53.139351851851856,5.5,BAT,-,LSG
Ishan Kishan,84.92007064868335,36.776321986726614,60.82800256904302,8.0,WK,-,SRH
Ishant Sharma,14.636994219653179,57.760404624277456,51.97700706486833,7.5,BOWL,PACE,GT
Jacob Bethell,66.69861111111109,34.63165740740741,53.139351851851856,7.0,BAT,SPIN,RCB
Jake Fraser-McGurk,61.49540783558125,35.55780346820809,58.89458360094198,7.5,BAT,-,DC
Jamie Overton,55.434876543209874,56.21592592592593,53.230395061728395,6.5,ALL,PACE,CHE
Jasprit Bumrah,20.98815028901734,57.22853778634125,49.617019910083485,9.0,BOWL,PACE,MI
Jayant Yadav,20.06328602012417,63.87294562192251,39.65432669663883,6.5,BOWL,-,GT
Jaydev Unadkat,22.401445086705202,45.13496039391993,30.79160779276386,7.0,BOWL,PACE,SRH
Jitesh Sharma,68.14100834938984,35.55780346820809,86.30976236351958,7.5,WK,-,RCB
Jofra Archer,42.7173196317705,60.253468208092485,42.72395632626846,8.0,BOWL,PACE,RR
Jos Buttler,84.51217084136158,35.55780346820809,66.12168700492398,9.0,WK,-,GT
Josh Hazlewood,19.002601156069364,85.44047313209163,32.74247484478698,8.5,BOWL,PACE,RCB
Josh Inglis,72.81259259259258,35.64023456790123,68.5262962962963,7.5,WK,-,PBKS
K Nitish Reddy,67.0988225219439,30.615606936416185,48.663262684649965,8.0,ALL,PACE,SRH
KL Shrijith,72.81259259259258,35.64023456790123,68.5262962962963,6.0,WK,-,MI
Kagiso Rabada,38.66233140655106,63.02226503960608,36.29738813958467,8.5,BOWL,PACE,GT
Kamindu Mendis,66.69861111111109,34.63165740740741,53.139351851851856,7.0,BAT,-,SRH
Kamlesh Nagarkoti,24.908407407407406,68.55296296296297,39.574592592592595,6.0,BOWL,PACE,CHE
Karim Janat,55.434876543209874,56.21592592592593,53.230395061728395,6.0,ALL,-,GT
Karn Sharma,36.01270798544209,66.69519995718262,45.593633055020334,6.5,BOWL,SPIN,MI
Karun Nair,66.69861111111109,34.63165740740741,53.139351851851856,7.0,BAT,-,DC
Khaleel Ahmed,12.876878612716762,87.26160351102547,33.65287946906444,7.5,BOWL,PACE,CHE
Krunal Pandya,42.58287304645686,77.75555555555556,50.74418754014129,7.5,ALL,SPIN,RCB
Kuldeep Sen,20.06328602012417,67.34115371440805,43.772823806465425,6.0,BOWL,PACE,PBKS
Kuldeep Yadav,39.461410832798116,90.28388995932347,40.97946906444016,8.5,BOWL,SPIN,DC
Kulwant Khejroliya,12.876878612716762,54.9451188182402,40.773089274245336,6.0,BOWL,PACE,GT
Kumar Kartikeya,28.546820809248555,60.18548490687219,32.74247484478698,6.0,BOWL,SPIN,RR
Kumar Kushagra,60.35739028045385,35.639038036109326,57.398030400342535,5.5,WK,-,GT
