Player,Credits,Player Type,Bowler Type,Team,Batting Form,Bowling Form,Fielding Form
Vansh Bedi,5.0,WK,-,CHE,,,
Andre Siddharth,5.5,BAT,-,CHE,14.5,69.87037037037037,46.888888888888886
Ramakrishna Ghosh,5.5,ALL,-,CHE,,,
Shaik Rasheed,5.0,BAT,-,CHE,,,
Gurjapneet Singh,6.0,BOWL,PACE,CHE,,,
Matheesha Pathirana,8.5,BOWL,PACE,CHE,14.5,83.0,57.44444444444444
Noor Ahmad,7.5,BOWL,SPIN,CHE,14.5,96.11111111111111,32.629629629629626
Anshul Kamboj,6.0,BOWL,PACE,CHE,,,
Nathan Ellis,7.0,BOWL,PACE,CHE,14.5,64.72222222222223,32.629629629629626
Mukesh Choudhary,6.5,BOWL,PACE,CHE,14.5,56.05555555555556,32.629629629629626
Ruturaj Gaikwad,9.0,BAT,-,CHE,75.03703703703702,30.0,65.5925925925926
Kamlesh Nagarkoti,6.0,BOWL,PACE,CHE,,,
Rachin Ravindra,8.0,BAT,SPIN,CHE,76.07407407407406,30.0,57.44444444444444
Khaleel Ahmed,7.5,BOWL,PACE,CHE,14.5,94.98148148148148,32.629629629629626
Shivam Dube,8.0,BAT,-,CHE,71.27777777777779,30.0,57.44444444444444
Rahul Tripathi,7.5,BAT,-,CHE,49.83333333333333,30.0,32.629629629629626
Sam Curran,7.5,ALL,PACE,CHE,33.5,34.51851851851852,46.888888888888886
Shreyas Gopal,6.5,BOWL,SPIN,CHE,,,
Deepak Hooda,7.0,BAT,SPIN,CHE,33.01851851851852,30.0,46.888888888888886
Devon Conway,8.0,WK,-,CHE,65.49999999999999,30.0,46.888888888888886
Jamie Overton,6.5,ALL,PACE,CHE,,,
Vijay Shankar,6.5,BAT,-,CHE,64.38888888888889,30.0,57.44444444444444
Ravichandran Ashwin,8.0,ALL,SPIN,CHE,44.0,77.44444444444446,70.77777777777777
Ravindra Jadeja,8.5,ALL,SPIN,CHE,62.74074074074073,74.37037037037037,65.5925925925926
MS Dhoni,7.0,WK,-,CHE,77.03703703703704,30.0,82.59259259259258
Madhav Tiwari,5.0,ALL,-,DC,,,
Manvanth Kumar L,5.5,ALL,-,DC,,,
Tripurana Vijay,5.5,BOWL,-,DC,,,
Vipraj Nigam,5.0,BOWL,SPIN,DC,,,
Tristan Stubbs,8.0,BAT,-,DC,83.0185185185185,31.518518518518523,70.77777777777777
Abishek Porel,6.5,WK,-,DC,68.0,30.0,32.629629629629626
Ashutosh Sharma,7.0,BAT,-,DC,77.49999999999999,30.0,57.44444444444444
Donovan Ferreira,7.0,ALL,-,DC,,,
Sameer Rizvi,6.5,BAT,-,DC,49.09259259259259,30.0,32.629629629629626
Jake Fraser-McGurk,7.5,BAT,-,DC,52.61111111111111,30.0,65.5925925925926
Ajay Mandal,6.5,ALL,-,DC,,,
Darshan Nalkande,6.5,BOWL,PACE,DC,,,
T Natarajan,7.5,BOWL,PACE,DC,,,
Mukesh Kumar,7.0,BOWL,PACE,DC,14.5,76.51851851851852,46.888888888888886
Kuldeep Yadav,8.5,BOWL,SPIN,DC,34.81481481481482,96.5925925925926,32.629629629629626
Mohit Sharma,7.5,BOWL,PACE,DC,23.518518518518515,72.48148148148148,32.629629629629626
Lokesh Rahul,9.0,WK,-,DC,93.12962962962962,30.0,75.81481481481481
Axar Patel,9.0,ALL,SPIN,DC,65.16666666666666,39.296296296296305,70.77777777777777
Dushmantha Chameera,7.0,BOWL,PACE,DC,,,
Karun Nair,7.0,BAT,-,DC,,,
Faf du Plessis,8.5,BAT,-,DC,70.03703703703702,30.0,65.5925925925926
Mitchell Starc,8.5,BOWL,PACE,DC,26.66666666666666,89.40740740740742,57.44444444444444
Gurnoor Brar Singh,5.5,BOWL,-,GT,,,
Nishant Sindhu,6.0,ALL,-,GT,,,
Arshad Khan,5.5,ALL,PACE,GT,26.11111111111111,66.75925925925927,65.5925925925926
Sai Sudharsan,8.0,BAT,-,GT,90.81481481481481,30.0,73.0
Kumar Kushagra,5.5,WK,-,GT,,,
Manav Suthar,6.0,ALL,SPIN,GT,,,
Sherfane Rutherford,7.0,BAT,-,GT,88.35185185185185,30.0,32.629629629629626
Gerald Coetzee,7.0,BOWL,PACE,GT,,,
Anuj Rawat,6.5,WK,-,GT,,,
Kulwant Khejroliya,6.0,BOWL,PACE,GT,14.5,65.61111111111111,46.888888888888886
Shubman Gill,9.0,BAT,-,GT,80.79629629629628,30.0,57.44444444444444
Ravisrinivasan Sai Kishore,7.0,BOWL,SPIN,GT,28.499999999999996,96.87037037037037,65.5925925925926
Mahipal Lomror,6.5,BAT,-,GT,,,
Karim Janat,6.0,ALL,-,GT,,,
Washington Sundar,7.0,ALL,SPIN,GT,69.27777777777776,30.0,32.629629629629626
Shahrukh Khan,7.5,ALL,-,GT,26.11111111111111,66.75925925925927,65.5925925925926
Mohammed Siraj,8.0,BOWL,PACE,GT,14.5,96.31481481481481,46.888888888888886
Glenn Phillips,8.0,BAT,-,GT,,,
Rashid-Khan,9.0,BOWL,SPIN,GT,59.129629629629626,70.12962962962963,65.5925925925926
Prasidh Krishna,7.5,BOWL,PACE,GT,14.5,94.81481481481482,46.888888888888886
Jayant Yadav,6.5,BOWL,-,GT,,,
Rahul Tewatia,7.0,ALL,SPIN,GT,65.2037037037037,30.0,65.5925925925926
Kagiso Rabada,8.5,BOWL,PACE,GT,39.16666666666667,65.37037037037038,32.629629629629626
Jos Buttler,9.0,WK,-,GT,91.6111111111111,30.0,67.37037037037037
Ishant Sharma,7.5,BOWL,PACE,GT,14.5,55.5,57.44444444444444
Harshit Rana,8.0,BOWL,PACE,KKR,39.907407407407405,76.77777777777779,70.77777777777777
Angkrish Raghuvanshi,6.5,BAT,-,KKR,76.5925925925926,30.0,46.888888888888886
Vaibhav Arora,6.5,BOWL,PACE,KKR,14.5,86.57407407407408,32.629629629629626
Luvnith Sisodia,5.5,WK,-,KKR,,,
Mayank Markande,6.0,BOWL,SPIN,KKR,,,
Chetan Sakariya,6.0,BOWL,PACE,KKR,,,
Rahmanullah Gurbaz,7.5,WK,-,KKR,,,
Spencer Johnson,6.5,BOWL,PACE,KKR,24.94444444444444,56.38888888888889,46.888888888888886
Varun Chakravarthy,9.0,BOWL,SPIN,KKR,14.5,92.24074074074073,32.629629629629626
Anrich Nortje,8.0,BOWL,PACE,KKR,,,
Anukul Sudhakar Roy,6.0,ALL,SPIN,KKR,,,
Ramandeep Singh,7.5,ALL,PACE,KKR,50.425925925925924,30.0,46.888888888888886
Rovman Powell,7.0,BAT,-,KKR,,,
Rinku Singh,7.5,BAT,-,KKR,80.66666666666666,30.0,57.44444444444444
Venkatesh Iyer,8.0,BAT,-,KKR,76.09259259259258,30.0,57.44444444444444
