Player,Credits,Player Type,Team,Batting Form,Bowling Form,Fielding Form
Vansh Bedi,5.0,WK,CHE,79.05275779376498,29.992805755395686,69.93525179856115
Andre Siddharth,5.5,BAT,CHE,14.154676258992804,68.23741007194243,44.53237410071942
Ramakrishna Ghosh,5.5,ALL,CHE,54.91067146282973,58.118705035971225,53.77697841726618
Shaik Rasheed,5.0,BAT,CHE,68.95595718547114,30.961572205650118,51.83190033339182
Gurjapneet Singh,6.0,BOWL,CHE,25.27724989819465,72.2661870503597,41.74630107234966
Matheesha Pathirana,8.5,BOWL,CHE,14.154676258992804,81.07913669064749,55.32374100719424
Noor Ahmad,7.5,BOWL,CHE,23.633093525179856,97.84172661870504,31.22302158273381
Anshul Kamboj,6.0,BOWL,CHE,31.151079136690644,77.35611510791367,31.22302158273381
Nathan Ellis,7.0,BOWL,CHE,14.154676258992804,63.129496402877706,31.22302158273381
Mukesh Choudhary,6.5,BOWL,CHE,14.154676258992804,53.63309352517986,31.22302158273381
Ruturaj Gaikwad,9.0,BAT,CHE,72.17625899280574,30.0,63.59712230215827
Kamlesh Nagarkoti,6.0,BOWL,CHE,25.27724989819465,72.2661870503597,41.74630107234966
Rachin Ravindra,8.0,BAT,CHE,71.97841726618705,30.0,55.32374100719424
Khaleel Ahmed,7.5,BOWL,CHE,14.154676258992804,91.83453237410072,31.22302158273381
Shivam Dube,8.0,BAT,CHE,73.3273381294964,30.0,55.32374100719424
Rahul Tripathi,7.5,BAT,CHE,47.96762589928057,30.0,44.53237410071942
Sam Curran,7.5,ALL,CHE,32.8956834532374,32.805755395683455,44.53237410071942
Shreyas Gopal,6.5,BOWL,CHE,25.27724989819465,72.2661870503597,41.74630107234966
Deepak Hooda,7.0,BAT,CHE,31.6726618705036,30.0,44.53237410071942
Devon Conway,8.0,WK,CHE,59.82014388489208,30.0,44.53237410071942
Jamie Overton,6.5,ALL,CHE,54.91067146282973,58.118705035971225,53.77697841726618
Vijay Shankar,6.5,BAT,CHE,63.39928057553957,30.0,55.32374100719424
Ravichandran Ashwin,8.0,ALL,CHE,36.04316546762589,71.99640287769785,69.17266187050359
Ravindra Jadeja,8.5,ALL,CHE,57.068345323741006,77.23021582733813,63.59712230215827
MS Dhoni,7.0,WK,CHE,78.9568345323741,30.0,88.99280575539568
Madhav Tiwari,5.0,ALL,DC,54.91067146282973,58.118705035971225,53.77697841726618
Manvanth Kumar L,5.5,ALL,DC,54.91067146282973,58.118705035971225,53.77697841726618
Tripurana Vijay,5.5,BOWL,DC,25.27724989819465,72.2661870503597,41.74630107234966
Vipraj Nigam,5.0,BOWL,DC,25.27724989819465,72.2661870503597,41.74630107234966
Tristan Stubbs,8.0,BAT,DC,75.12589928057554,29.67625899280576,71.69064748201438
Abishek Porel,6.5,WK,DC,68.1115107913669,30.0,44.53237410071942
Ashutosh Sharma,7.0,BAT,DC,74.62230215827338,30.0,55.32374100719424
Donovan Ferreira,7.0,ALL,DC,54.91067146282973,58.118705035971225,53.77697841726618
Sameer Rizvi,6.5,BAT,DC,48.97482014388488,30.0,31.22302158273381
Jake Fraser-McGurk,7.5,BAT,DC,49.082733812949634,30.0,63.59712230215827
Ajay Mandal,6.5,ALL,DC,54.91067146282973,58.118705035971225,53.77697841726618
Darshan Nalkande,6.5,BOWL,DC,25.27724989819465,72.2661870503597,41.74630107234966
T Natarajan,7.5,BOWL,DC,25.27724989819465,72.2661870503597,41.74630107234966
Mukesh Kumar,7.0,BOWL,DC,14.154676258992804,74.31654676258992,44.53237410071942
Kuldeep Yadav,8.5,BOWL,DC,35.88129496402877,97.26618705035972,31.22302158273381
Mohit Sharma,7.5,BOWL,DC,24.262589928057555,64.62230215827338,31.22302158273381
Lokesh Rahul,9.0,WK,DC,88.21942446043164,30.0,73.66906474820144
Axar Patel,9.0,ALL,DC,66.79856115107913,37.01438848920864,69.17266187050359
Dushmantha Chameera,7.0,BOWL,DC,25.27724989819465,72.2661870503597,41.74630107234966
Karun Nair,7.0,BAT,DC,80.50359712230215,30.0,31.22302158273381
Faf du Plessis,8.5,BAT,DC,68.21942446043165,30.0,63.59712230215827
Mitchell Starc,8.5,BOWL,DC,28.705035971223023,82.1043165467626,63.59712230215827
Gurnoor Brar Singh,5.5,BOWL,GT,25.27724989819465,72.2661870503597,41.74630107234966
Nishant Sindhu,6.0,ALL,GT,54.91067146282973,58.118705035971225,53.77697841726618
Arshad Khan,5.5,ALL,GT,28.758992805755398,66.56474820143885,63.59712230215827
Sai Sudharsan,8.0,BAT,GT,89.65827338129495,30.0,71.69064748201438
Kumar Kushagra,5.5,WK,GT,79.05275779376498,29.992805755395686,69.93525179856115
Manav Suthar,6.0,ALL,GT,54.91067146282973,58.118705035971225,53.77697841726618
Sherfane Rutherford,7.0,BAT,GT,84.47841726618704,30.0,31.22302158273381
Gerald Coetzee,7.0,BOWL,GT,25.27724989819465,72.2661870503597,41.74630107234966
Anuj Rawat,6.5,WK,GT,79.05275779376498,29.992805755395686,69.93525179856115
Kulwant Khejroliya,6.0,BOWL,GT,14.154676258992804,62.58992805755396,44.53237410071942
Shubman Gill,9.0,BAT,GT,81.65467625899281,30.0,63.59712230215827
Ravisrinivasan Sai Kishore,7.0,BOWL,GT,29.55035971223021,93.3273381294964,63.59712230215827
Mahipal Lomror,6.5,BAT,GT,68.95595718547114,30.961572205650118,51.83190033339182
Karim Janat,6.0,ALL,GT,54.91067146282973,58.118705035971225,53.77697841726618
Washington Sundar,7.0,ALL,GT,64.64028776978417,71.33093525179856,44.53237410071942
Shahrukh Khan,7.5,ALL,GT,28.758992805755398,66.56474820143885,63.59712230215827
Mohammed Siraj,8.0,BOWL,GT,14.154676258992804,92.51798561151078,44.53237410071942
Glenn Phillips,8.0,BAT,GT,68.95595718547114,30.961572205650118,51.83190033339182
Rashid-Khan,9.0,BOWL,GT,65.39568345323741,68.92086330935251,63.59712230215827
Prasidh Krishna,7.5,BOWL,GT,14.154676258992804,96.29496402877696,44.53237410071942
Jayant Yadav,6.5,BOWL,GT,25.27724989819465,72.2661870503597,41.74630107234966
Rahul Tewatia,7.0,ALL,GT,66.92446043165467,30.0,63.59712230215827
Kagiso Rabada,8.5,BOWL,GT,44.20863309352517,62.24820143884892,31.22302158273381
Jos Buttler,9.0,WK,GT,87.75179856115106,30.0,65.03597122302158
Ishant Sharma,7.5,BOWL,GT,14.154676258992804,52.87769784172662,55.32374100719424
Harshit Rana,8.0,BOWL,KKR,38.43525179856115,91.33093525179856,69.17266187050359
Angkrish Raghuvanshi,6.5,BAT,KKR,74.91007194244602,30.0,44.53237410071942
Vaibhav Arora,6.5,BOWL,KKR,14.154676258992804,86.22302158273382,55.32374100719424
Luvnith Sisodia,5.5,WK,KKR,79.05275779376498,29.992805755395686,69.93525179856115
Mayank Markande,6.0,BOWL,KKR,25.27724989819465,72.2661870503597,41.74630107234966
Chetan Sakariya,6.0,BOWL,KKR,25.27724989819465,72.2661870503597,41.74630107234966
Rahmanullah Gurbaz,7.5,WK,KKR,79.05275779376498,29.992805755395686,69.93525179856115
Spencer Johnson,6.5,BOWL,KKR,26.61870503597122,53.63309352517986,44.53237410071942
Varun Chakravarthy,9.0,BOWL,KKR,14.154676258992804,96.34892086330936,44.53237410071942
Anrich Nortje,8.0,BOWL,KKR,14.154676258992804,71.49280575539568,31.22302158273381
Anukul Sudhakar Roy,6.0,ALL,KKR,54.91067146282973,58.118705035971225,53.77697841726618
Ramandeep Singh,7.5,ALL,KKR,49.24460431654676,30.0,69.17266187050359
Rovman Powell,7.0,BAT,KKR,68.95595718547114,30.961572205650118,51.83190033339182
Rinku Singh,7.5,BAT,KKR,72.44604316546761,30.0,55.32374100719424
Venkatesh Iyer,8.0,BAT,KKR,73.14748201438847,30.0,63.59712230215827
Moeen Ali,7.0,ALL,KKR,28.417266187050355,83.00359712230215,55.32374100719424
Quinton de Kock,8.0,WK,KKR,72.64388489208632,30.0,73.66906474820144
Andre Russell,8.5,ALL,KKR,50.03597122302158,70.91726618705036,55.32374100719424
Sunil Narine,9.0,ALL,KKR,83.93884892086331,89.49640287769785,44.53237410071942
Manish Pandey,7.0,BAT,KKR,49.982014388489205,30.0,31.22302158273381
Ajinkya Rahane,7.5,BAT,KKR,84.82014388489208,30.0,69.17266187050359
Umran Malik,6.0,BOWL,KKR,25.27724989819465,72.2661870503597,41.74630107234966
Digvesh Singh,5.0,BOWL,LSG,25.27724989819465,72.2661870503597,41.74630107234966
Prince Yadav,5.5,BOWL,LSG,25.27724989819465,72.2661870503597,41.74630107234966
Shamar Joseph,6.5,BOWL,LSG,25.27724989819465,72.2661870503597,41.74630107234966
Mayank Yadav,7.5,BOWL,LSG,25.27724989819465,72.2661870503597,41.74630107234966
Arshin Kulkarni,6.0,ALL,LSG,54.91067146282973,58.118705035971225,53.77697841726618
Akash Deep,7.0,BOWL,LSG,14.154676258992804,61.74460431654677,31.22302158273381
Akash Singh,6.0,BOWL,LSG,25.27724989819465,72.2661870503597,41.74630107234966
Yuvraj Chaudhary,5.0,ALL,LSG,54.91067146282973,58.118705035971225,53.77697841726618
Ravi Bishnoi,8.0,BOWL,LSG,14.154676258992804,76.83453237410072,69.17266187050359
Abdul Samad,6.5,BAT,LSG,75.44964028776977,30.10791366906475,55.32374100719424
Shahbaz Ahmed,7.0,ALL,LSG,40.35971223021582,30.32374100719425,31.22302158273381
Rajvardhan Hangargekar,5.5,BOWL,LSG,25.27724989819465,72.2661870503597,41.74630107234966
Ayush Badoni,7.0,BAT,LSG,67.69784172661869,30.0,55.32374100719424
Aryan Juyal,5.5,WK,LSG,79.05275779376498,29.992805755395686,69.93525179856115
Mohsin Khan,7.0,BOWL,LSG,25.27724989819465,72.2661870503597,41.74630107234966
Matthew Breetzke,6.5,BAT,LSG,68.95595718547114,30.961572205650118,51.83190033339182
Manimaran Siddharth,6.0,BOWL,LSG,14.154676258992804,68.23741007194243,44.53237410071942
Rishabh Pant,9.0,WK,LSG,58.92086330935251,30.0,79.60431654676258
Himmat Singh,5.5,BAT,LSG,68.95595718547114,30.961572205650118,51.83190033339182
Aiden Markram,8.0,ALL,LSG,83.54316546762588,67.66187050359713,72.94964028776978
Avesh Khan,8.0,BOWL,LSG,49.28057553956834,71.13309352517986,44.53237410071942
Nicholas Pooran,8.5,WK,LSG,98.81294964028775,30.0,72.94964028776978
David Miller,8.0,BAT,LSG,62.41007194244604,30.0,63.59712230215827
Mitchell Marsh,8.0,BAT,LSG,94.31654676258992,30.0,31.22302158273381
Bevon Jacobs,6.0,BAT,MI,68.95595718547114,30.961572205650118,51.83190033339182
Naman Dhir,6.5,ALL,MI,82.57194244604317,47.805755395683455,74.02877697841727
Robin Minz,5.5,WK,MI,79.05275779376498,29.992805755395686,69.93525179856115
Raj Angad Bawa,5.5,BAT,MI,14.154676258992804,30.0,44.53237410071942
Vignesh Puthur,5.0,BOWL,MI,25.27724989819465,72.2661870503597,41.74630107234966
Satyanarayana Raju,5.5,ALL,MI,54.91067146282973,58.118705035971225,53.77697841726618
Ashwani Kumar,5.5,BOWL,MI,25.27724989819465,72.2661870503597,41.74630107234966
Tilak Varma,8.0,BAT,MI,82.15827338129496,30.0,63.59712230215827
KL Shrijith,6.0,WK,MI,79.05275779376498,29.992805755395686,69.93525179856115
Mujeeb-ur-Rahman,7.0,BOWL,MI,14.154676258992804,55.68345323741007,31.22302158273381
Ryan Rickelton,7.5,WK,MI,79.05275779376498,29.992805755395686,69.93525179856115
Arjun Tendulkar,5.0,BOWL,MI,25.27724989819465,72.2661870503597,41.74630107234966
Will Jacks,7.5,ALL,MI,51.960431654676256,67.12230215827338,63.59712230215827
