Player,Credits,Player Type,Bowler Type,Team,Batting Form,Bowling Form,Fielding Form,Potential Score
Vansh Bedi,5.0,WK,-,CHE,30.0,30.0,30.0,
Andre Siddharth,5.5,BAT,-,CHE,13.750000000000002,69.375,45.625,14.117647058823533
Ramakrishna Ghosh,5.5,ALL,-,CHE,30.0,30.0,30.0,
Shaik Rasheed,5.0,BAT,-,CHE,30.0,30.0,30.0,
Gurjapneet Singh,6.0,BOWL,PACE,CHE,30.0,30.0,30.0,
Matheesha Pathirana,8.5,BOWL,PACE,CHE,13.750000000000002,81.0294117647059,56.654411764705884,58.63970588235294
Noor Ahmad,7.5,BOWL,SPIN,CHE,23.033088235294116,97.24264705882354,32.02205882352941,74.85294117647058
Anshul Kamboj,6.0,BOWL,PACE,CHE,30.992647058823525,67.79411764705883,32.02205882352941,47.205882352941174
Nathan Ellis,7.0,BOWL,PACE,CHE,13.750000000000002,64.375,32.02205882352941,42.647058823529406
Mukesh Choudhary,6.5,BOWL,PACE,CHE,13.750000000000002,55.220588235294116,32.02205882352941,32.86764705882353
Ruturaj Gaikwad,9.0,BAT,-,CHE,72.6654411764706,30.0,64.9264705882353,68.6764705882353
Kamlesh Nagarkoti,6.0,BOWL,PACE,CHE,30.0,30.0,30.0,
Rachin Ravindra,8.0,BAT,SPIN,CHE,69.79779411764706,30.0,56.654411764705884,65.0
Khaleel Ahmed,7.5,BOWL,PACE,CHE,13.750000000000002,92.1139705882353,32.02205882352941,69.41176470588235
Shivam Dube,8.0,BAT,-,CHE,72.15073529411765,30.0,56.654411764705884,65.29411764705884
Rahul Tripathi,7.5,BAT,-,CHE,48.06985294117648,30.0,32.02205882352941,45.95588235294118
Sam Curran,7.5,ALL,PACE,CHE,32.37132352941177,33.786764705882355,45.625,31.61764705882353
Shreyas Gopal,6.5,BOWL,SPIN,CHE,30.0,30.0,30.0,
Deepak Hooda,7.0,BAT,SPIN,CHE,30.79044117647059,30.0,45.625,31.91176470588236
Devon Conway,8.0,WK,-,CHE,61.59926470588236,30.0,45.625,64.48529411764707
Jamie Overton,6.5,ALL,PACE,CHE,30.0,30.0,30.0,
Vijay Shankar,6.5,BAT,-,CHE,65.12867647058823,30.0,56.654411764705884,71.61764705882354
Ravichandran Ashwin,8.0,ALL,SPIN,CHE,35.38602941176471,74.74264705882354,69.70588235294119,44.33823529411765
Ravindra Jadeja,8.5,ALL,SPIN,CHE,58.25367647058824,71.74632352941177,64.9264705882353,52.242647058823536
MS Dhoni,7.0,WK,-,CHE,69.94485294117648,30.0,81.7279411764706,72.72058823529413
Madhav Tiwari,5.0,ALL,-,DC,30.0,30.0,30.0,
Manvanth Kumar L,5.5,ALL,-,DC,30.0,30.0,30.0,
Tripurana Vijay,5.5,BOWL,-,DC,30.0,30.0,30.0,
Vipraj Nigam,5.0,BOWL,SPIN,DC,30.0,30.0,30.0,
Tristan Stubbs,8.0,BAT,-,DC,79.57720588235293,30.36764705882353,69.70588235294119,87.86764705882354
Abishek Porel,6.5,WK,-,DC,67.8125,30.0,32.02205882352941,69.11764705882354
Ashutosh Sharma,7.0,BAT,-,DC,77.3345588235294,30.0,56.654411764705884,89.70588235294119
Donovan Ferreira,7.0,ALL,-,DC,30.0,30.0,30.0,
Sameer Rizvi,6.5,BAT,-,DC,49.24632352941177,30.0,32.02205882352941,50.29411764705883
Jake Fraser-McGurk,7.5,BAT,-,DC,51.4889705882353,30.0,64.9264705882353,49.04411764705883
Ajay Mandal,6.5,ALL,-,DC,30.0,30.0,30.0,
Darshan Nalkande,6.5,BOWL,PACE,DC,30.0,30.0,30.0,
T Natarajan,7.5,BOWL,PACE,DC,30.0,30.0,30.0,
Mukesh Kumar,7.0,BOWL,PACE,DC,13.750000000000002,75.29411764705883,45.625,53.0514705882353
Kuldeep Yadav,8.5,BOWL,SPIN,DC,35.165441176470594,95.79044117647058,32.02205882352941,73.78676470588235
Mohit Sharma,7.5,BOWL,PACE,DC,24.687499999999996,71.74632352941177,32.02205882352941,49.22794117647058
Lokesh Rahul,9.0,WK,-,DC,89.74264705882354,30.0,75.14705882352942,92.05882352941177
Axar Patel,9.0,ALL,SPIN,DC,66.93014705882354,38.08823529411765,69.70588235294119,51.452205882352956
Dushmantha Chameera,7.0,BOWL,PACE,DC,30.0,30.0,30.0,
Karun Nair,7.0,BAT,-,DC,30.0,30.0,30.0,
Faf du Plessis,8.5,BAT,-,DC,69.55882352941177,30.0,64.9264705882353,70.36764705882354
Mitchell Starc,8.5,BOWL,PACE,DC,25.77205882352941,89.52205882352942,56.654411764705884,67.27941176470588
Gurnoor Brar Singh,5.5,BOWL,-,GT,30.0,30.0,30.0,
Nishant Sindhu,6.0,ALL,-,GT,30.0,30.0,30.0,
Arshad Khan,5.5,ALL,PACE,GT,28.547794117647054,67.77573529411764,64.9264705882353,35.73529411764706
Sai Sudharsan,8.0,BAT,-,GT,88.5110294117647,30.0,72.46323529411765,85.44117647058825
Kumar Kushagra,5.5,WK,-,GT,30.0,30.0,30.0,
Manav Suthar,6.0,ALL,SPIN,GT,30.0,30.0,30.0,
Sherfane Rutherford,7.0,BAT,-,GT,86.8014705882353,30.0,32.02205882352941,85.36764705882354
Gerald Coetzee,7.0,BOWL,PACE,GT,30.0,30.0,30.0,
Anuj Rawat,6.5,WK,-,GT,30.0,30.0,30.0,
Kulwant Khejroliya,6.0,BOWL,PACE,GT,13.750000000000002,64.59558823529412,45.625,43.455882352941174
Shubman Gill,9.0,BAT,-,GT,82.29779411764706,30.0,64.9264705882353,80.36764705882355
Ravisrinivasan Sai Kishore,7.0,BOWL,SPIN,GT,29.338235294117645,94.9264705882353,64.9264705882353,72.5
Mahipal Lomror,6.5,BAT,-,GT,30.0,30.0,30.0,
Karim Janat,6.0,ALL,-,GT,30.0,30.0,30.0,
Washington Sundar,7.0,ALL,SPIN,GT,65.01838235294117,72.75735294117648,45.625,60.58823529411765
Shahrukh Khan,7.5,ALL,-,GT,28.547794117647054,67.77573529411764,64.9264705882353,35.73529411764706
Mohammed Siraj,8.0,BOWL,PACE,GT,13.750000000000002,93.82352941176471,45.625,71.17647058823529
Glenn Phillips,8.0,BAT,-,GT,30.0,30.0,30.0,
Rashid-Khan,9.0,BOWL,SPIN,GT,66.01102941176471,71.15808823529412,64.9264705882353,48.125
Prasidh Krishna,7.5,BOWL,PACE,GT,13.750000000000002,96.8014705882353,45.625,74.41176470588235
Jayant Yadav,6.5,BOWL,-,GT,30.0,30.0,30.0,
Rahul Tewatia,7.0,ALL,SPIN,GT,67.24264705882354,30.0,64.9264705882353,59.797794117647065
Kagiso Rabada,8.5,BOWL,PACE,GT,43.95220588235294,64.79779411764706,32.02205882352941,42.53676470588235
Jos Buttler,9.0,WK,-,GT,88.49264705882352,30.0,66.50735294117648,85.73529411764707
Ishant Sharma,7.5,BOWL,PACE,GT,13.750000000000002,54.66911764705882,56.654411764705884,32.205882352941174
Harshit Rana,8.0,BOWL,PACE,KKR,38.45588235294118,87.88602941176471,69.70588235294119,65.33088235294117
Angkrish Raghuvanshi,6.5,BAT,-,KKR,72.46323529411765,30.0,45.625,72.05882352941177
Vaibhav Arora,6.5,BOWL,PACE,KKR,13.750000000000002,87.55514705882354,56.654411764705884,65.03676470588235
Luvnith Sisodia,5.5,WK,-,KKR,30.0,30.0,30.0,
Mayank Markande,6.0,BOWL,SPIN,KKR,30.0,30.0,30.0,
Chetan Sakariya,6.0,BOWL,PACE,KKR,30.0,30.0,30.0,
Rahmanullah Gurbaz,7.5,WK,-,KKR,30.0,30.0,30.0,
Spencer Johnson,6.5,BOWL,PACE,KKR,26.231617647058822,55.44117647058823,45.625,32.94117647058824
Varun Chakravarthy,9.0,BOWL,SPIN,KKR,13.750000000000002,94.35661764705884,45.625,72.0220588235294
Anrich Nortje,8.0,BOWL,PACE,KKR,30.0,30.0,30.0,
Anukul Sudhakar Roy,6.0,ALL,SPIN,KKR,30.0,30.0,30.0,
Ramandeep Singh,7.5,ALL,PACE,KKR,49.724264705882355,30.0,45.625,51.19485294117648
Rovman Powell,7.0,BAT,-,KKR,30.0,30.0,30.0,
Rinku Singh,7.5,BAT,-,KKR,80.18382352941175,30.0,56.654411764705884,87.79411764705884
Venkatesh Iyer,8.0,BAT,-,KKR,73.97058823529412,30.0,56.654411764705884,73.6764705882353
Moeen Ali,7.0,ALL,SPIN,KKR,27.904411764705884,84.55882352941177,56.654411764705884,46.36029411764706
Quinton de Kock,8.0,WK,-,KKR,76.70955882352942,30.0,66.50735294117648,70.22058823529412
Andre Russell,8.5,ALL,PACE,KKR,41.04779411764706,72.75735294117648,56.654411764705884,44.48529411764706
Sunil Narine,9.0,ALL,SPIN,KKR,85.77205882352942,85.66176470588236,45.625,71.91176470588236
Manish Pandey,7.0,BAT,-,KKR,50.625000000000014,30.0,32.02205882352941,55.00000000000001
Ajinkya Rahane,7.5,BAT,-,KKR,87.04044117647058,30.0,69.70588235294119,83.52941176470588
Umran Malik,6.0,BOWL,PACE,KKR,30.0,30.0,30.0,
Digvesh Singh,5.0,BOWL,SPIN,LSG,30.0,30.0,30.0,
Prince Yadav,5.5,BOWL,PACE,LSG,30.0,30.0,30.0,
Shamar Joseph,6.5,BOWL,PACE,LSG,30.0,30.0,30.0,
Mayank Yadav,7.5,BOWL,PACE,LSG,30.0,30.0,30.0,
Arshin Kulkarni,6.0,ALL,PACE,LSG,30.0,30.0,30.0,
Akash Deep,7.0,BOWL,PACE,LSG,13.750000000000002,64.375,32.02205882352941,41.69117647058823
Akash Singh,6.0,BOWL,-,LSG,30.0,30.0,30.0,
Yuvraj Chaudhary,5.0,ALL,-,LSG,30.0,30.0,30.0,
Ravi Bishnoi,8.0,BOWL,SPIN,LSG,13.750000000000002,74.57720588235296,64.9264705882353,51.21323529411765
Abdul Samad,6.5,BAT,-,LSG,74.94485294117648,30.808823529411768,56.654411764705884,75.29411764705884
Shahbaz Ahmed,7.0,ALL,SPIN,LSG,39.88970588235295,31.25,32.02205882352941,36.74632352941177
Rajvardhan Hangargekar,5.5,BOWL,PACE,LSG,30.0,30.0,30.0,
Ayush Badoni,7.0,BAT,-,LSG,65.05514705882354,30.0,56.654411764705884,62.72058823529413
Aryan Juyal,5.5,WK,-,LSG,30.0,30.0,30.0,
Mohsin Khan,7.0,BOWL,PACE,LSG,30.0,30.0,30.0,
Matthew Breetzke,6.5,BAT,-,LSG,30.0,30.0,30.0,
Manimaran Siddharth,6.0,BOWL,SPIN,LSG,13.750000000000002,69.375,45.625,47.5
Rishabh Pant,9.0,WK,-,LSG,44.926470588235304,30.0,80.14705882352942,40.735294117647065
Himmat Singh,5.5,BAT,-,LSG,30.0,30.0,30.0,
Aiden Markram,8.0,ALL,SPIN,LSG,84.44852941176471,31.029411764705884,72.46323529411765,53.768382352941174
