Credits,Player Type,Player Name,Team,ESPN player name
5.0,WK,Vansh Bedi,CHE, 
5.5,BAT,Andre Siddharth,CHE,M Siddharth
5.5,ALL,Ramakrishna Ghosh,CHE, 
5.0,BAT,Shaik Rasheed,CHE, 
6.0,BOWL,Gurjapneet Singh,CHE, 
8.5,BOWL,Matheesha Pathirana,CHE,M Pathirana
7.5,BOWL,Noor Ahmad,CHE,Noor Ahmad
6.0,BOWL,Anshul Kamboj,CHE,A Kamboj
7.0,BOWL,Nathan Ellis,CHE,NT Ellis
6.5,BOWL,Mukesh Choudhary,CHE,Mukesh Choudhary
9.0,BAT,Ruturaj Gaikwad,CHE,RD Gaikwad
6.0,BOWL,Kamlesh Nagarkoti,CHE,KL Nagarkoti
8.0,BAT,Rachin Ravindra,CHE,R Ravindra
7.5,BOWL,Khaleel Ahmed,CHE,KK Ahmed
8.0,BAT,Shivam Dube,CHE,S Dube
7.5,BAT,Rahul Tripathi,CHE,RA Tripathi
7.5,ALL,Sam Curran,CHE,SM Curran
6.5,BOWL,Shreyas Gopal,CHE,S Gopal
7.0,BAT,Deepak Hooda,CHE,DJ Hooda
8.0,WK,Devon Conway,CHE,DP Conway
6.5,ALL,Jamie Overton,CHE, 
6.5,BAT,Vijay Shankar,CHE,V Shankar
8.0,ALL,Ravichandran Ashwin,CHE,R Ashwin
8.5,ALL,Ravindra Jadeja,CHE,RA Jadeja
7.0,WK,MS Dhoni,CHE,MS Dhoni
5.0,ALL,Madhav Tiwari,DC, 
5.5,ALL,Manvanth Kumar L,DC, 
5.5,BOWL,Tripurana Vijay,DC, 
5.0,BOWL,Vipraj Nigam,DC,V Nigam 
8.0,BAT,Tristan Stubbs,DC,T Stubbs
6.5,WK,Abishek Porel,DC,Abishek Porel
7.0,BAT,Ashutosh Sharma,DC,AR Sharma
7.0,ALL,Donovan Ferreira,DC,D Ferreira
6.5,BAT,Sameer Rizvi,DC,Sameer Rizvi
7.5,BAT,Jake Fraser McGurk,DC,J Fraser-McGurk
6.5,ALL,Ajay Mandal,DC, 
6.5,BOWL,Darshan Nalkande,DC,DG Nalkande
7.5,BOWL,T Natarajan,DC,T Natarajan
7.0,BOWL,Mukesh Kumar,DC,Mukesh Kumar
8.5,BOWL,Kuldeep Yadav,DC,Kuldeep Yadav
7.5,BOWL,Mohit Sharma,DC,MM Sharma
9.0,WK,Lokesh Rahul,DC,KL Rahul
9.0,ALL,Axar Patel,DC,AR Patel
7.0,BOWL,Dushmantha Chameera,DC,PVD Chameera
