Player,Batting Form,Bowling Form,Fielding Form,Credits,Player Type,Team
Kulwant Khejroliya,15.978390349123256,47.364739732916476,33.43737351704414,6.0,BOWL,GT
Gurnoor Brar Singh,15.978390349123256,43.77514435719392,33.43737351704414,5.5,BOWL,GT
Jayant Yadav,15.978390349123256,54.7520229699107,37.33910762109039,6.5,BOWL,GT
Khaleel Ahmed,11.238479447655749,79.61857739242133,35.054833012202955,7.5,BOWL,CHE
Kuldeep Sen,15.978390349123256,61.68843915488179,45.57610184074357,6.0,BOWL,PBKS
Kwena Maphaka,15.978390349123256,43.31560678493959,33.43737351704414,6.0,BOWL,RR
Tushar Deshpande,18.481535003211306,63.82056840077072,44.39210019267823,7.5,BOWL,RR
Manimaran Siddharth,11.238479447655749,55.283156711624926,39.970134874759154,6.0,BOWL,LSG
Matheesha Pathirana,11.238479447655749,81.01316634553629,56.223747591522155,8.5,BOWL,CHE
Mayank Yadav,15.978390349123256,67.14219638031531,37.33910762109039,7.5,BOWL,LSG
Andre Siddharth,11.238479447655749,55.283156711624926,39.970134874759154,5.5,BAT,CHE
Nuwan Thushara,15.978390349123256,57.27514435719392,37.33910762109039,7.5,BOWL,RCB
Akash Singh,15.978390349123256,54.18843915488179,37.33910762109039,6.0,BOWL,LSG
Prasidh Krishna,11.238479447655749,57.78351798330122,36.068400770712906,7.5,BOWL,GT
Suyash Sharma,11.238479447655749,50.09377007064869,31.239804110468846,6.0,BOWL,RCB
Rajvardhan Hangargekar,15.978390349123256,55.246242623089884,33.43737351704414,5.5,BOWL,LSG
Shreyas Gopal,15.978390349123256,55.89653164043092,37.33910762109039,6.5,BOWL,CHE
Shamar Joseph,15.978390349123256,44.39942181384133,33.43737351704414,6.5,BOWL,LSG
Yash Dayal,11.238479447655749,66.65755459216442,44.738921001926784,7.0,BOWL,RCB
Yash Thakur,15.978390349123256,63.431213721355775,41.067431320512355,6.5,BOWL,PBKS
T Natarajan,15.978390349123256,70.87052007973728,49.21772033785339,7.5,BOWL,DC
Dushmantha Chameera,15.978390349123256,43.04682065777196,33.43737351704414,7.0,BOWL,DC
FazalHaq Farooqi,14.273161528580603,35.17927103403982,31.239804110468846,7.0,BOWL,RR
Ishant Sharma,14.75871066152858,60.890253692999366,48.07345857418112,7.5,BOWL,GT
Mohit Sharma,19.615847784200383,62.23201669877972,42.42477520873475,7.5,BOWL,DC
Sandeep Sharma,15.244259794476555,71.12764932562621,53.7562620423892,7.5,BOWL,RR
Yuzvendra Chahal,15.712467886962107,73.57883750802827,44.99903660886319,8.5,BOWL,PBKS
Mohit Rathee,31.06134844653179,36.36090915020874,37.1643209096018,6.0,ALL,RCB
Manav Suthar,31.41683977601156,36.777094121307,37.1643209096018,6.0,ALL,GT
Kumar Kushagra,40.56957903585326,41.16871151157959,44.28549435188334,5.5,WK,GT
Adam Zampa,16.93501123956326,49.40683204881182,29.3322896596018,7.5,BOWL,SRH
Mohammed Shami,27.729889210019262,69.35745825305074,47.6868978805395,8.5,BOWL,SRH
Reece Topley,22.108448152591464,52.419653027714155,37.33910762109039,6.5,BOWL,MI
Noor Ahmad,18.69512684649968,80.05969010918433,40.34385035324342,7.5,BOWL,CHE
Maheesh Theekshana,25.2118657675016,61.751204238921005,36.00859023763648,7.5,BOWL,RR
Nathan Ellis,19.935011239563266,56.922768143866406,31.67333012202954,7.0,BOWL,CHE
Mitchell Starc,25.29375401412974,76.87797848426462,47.34007707129094,8.5,BOWL,DC
Mukesh Kumar,20.810733782915868,63.50172607578678,51.848747591522155,7.0,BOWL,DC
Akash Madhwal,25.75006664970129,64.37630042655809,37.33910762109039,7.0,BOWL,RR
Chetan Sakariya,25.79341925085736,58.92254320112456,41.067431320512355,6.0,BOWL,KKR
Rasikh Salam,21.174895632626846,46.44588953114966,39.970134874759154,6.5,BOWL,RCB
Anshul Kamboj,26.05353485779377,47.078612565286406,43.49517698525224,6.0,BOWL,CHE
Donovan Ferreira,36.33302474710983,51.23952186697174,41.06605501364804,7.0,ALL,DC
Jofra Archer,39.542509633911365,43.69026974951831,39.970134874759154,8.0,BOWL,RR
Varun Chakravarthy,22.35408638407193,84.42465478484264,51.18200064226077,9.0,BOWL,KKR
Spencer Johnson,27.60039338471419,45.67830764290302,42.13776493256262,6.5,BOWL,KKR
Harshit Rana,32.15899967886962,69.9408718689788,60.52930314707771,8.0,BOWL,KKR
Kumar Kartikeya,29.478363840719336,58.9181920359666,33.23402376364804,6.0,BOWL,RR
Josh Hazlewood,23.489924534360952,80.6568721901092,33.23402376364804,8.5,BOWL,RCB
Gerald Coetzee,28.52463312368973,60.24046227626907,41.067431320512355,7.0,BOWL,GT
