Player,Batting Form,Bowling Form,Fielding Form,Credits,Player Type,Bowler Type,Team
Aaron Hardie,56.532598039215685,56.96008578431372,53.72124019607843,7.0,ALL,-,PBKS
Abdul Samad,74.80099243454607,35.08785277116627,60.788146038762335,6.5,BAT,-,LSG
Abhinandan Singh,25.292768454440598,68.18464907727798,39.45593886966551,5.0,BOWL,-,RCB
Abhinav Manohar,33.57021421285277,35.55780346820809,54.632076674600484,6.5,BAT,-,SRH
Abhishek Sharma,92.54050493029582,41.450612036722205,42.20156834410065,8.5,ALL,-,SRH
Abishek Porel,69.8386921965318,35.55780346820809,41.13509435566134,6.5,WK,-,DC
Adam Zampa,15.200144508670519,54.945246089765384,30.366308228493708,7.5,BOWL,-,SRH
Aiden Markram,79.10819024141449,35.120877252635154,69.3832242434546,8.0,ALL,-,LSG
Ajay Mandal,56.532598039215685,56.96008578431372,53.72124019607843,6.5,ALL,-,DC
Ajinkya Rahane,81.13929148248894,35.55780346820809,64.11492689561373,7.5,BAT,-,KKR
Akash Deep,26.055635838150287,56.60729768786127,35.395209962597754,7.0,BOWL,-,LSG
Akash Madhwal,25.33348521744638,68.31677046456122,39.535672973711755,7.0,BOWL,-,RR
Akash Singh,20.447647067157362,63.22283982872307,39.535672973711755,6.0,BOWL,-,LSG
Andre Russell,55.980565708942535,71.6570256715403,59.09739459367563,8.5,ALL,-,KKR
Andre Siddharth,12.351878612716764,61.988800578034684,41.83923410404624,5.5,BAT,-,CHE
Angkrish Raghuvanshi,71.1259988099286,35.55780346820809,45.95773121387283,6.5,BAT,-,KKR
Aniket Verma,68.9892463235294,34.62382720588235,53.05340073529412,5.0,BAT,-,SRH
Anrich Nortje,30.375392731897243,70.93526757438781,45.474979332093255,8.0,BOWL,-,KKR
Anshul Kamboj,29.45930380822849,56.33015980958857,35.395209962597754,6.0,BOWL,-,CHE
Anuj Rawat,72.93444760852317,35.58525444860025,69.81497789867393,6.5,WK,-,GT
Anukul Sudhakar Roy,50.81438994673013,53.221704281423555,50.5490089822056,6.0,ALL,-,KKR
Arjun Tendulkar,31.675970766579326,62.906365840283755,37.584805921688634,5.0,BOWL,-,MI
Arshad Khan,33.13663507310438,55.09908407004419,56.564136348180895,5.5,ALL,-,GT
Arshdeep Singh,27.457933100986054,80.94103833730024,40.94434291057463,8.5,BOWL,-,PBKS
Arshin Kulkarni,56.532598039215685,56.96008578431372,53.72124019607843,6.0,ALL,-,LSG
Aryan Juyal,72.37953431372549,35.58645098039216,68.52705882352942,5.5,WK,-,LSG
Ashok Sharma,25.292768454440598,68.18464907727798,39.45593886966551,5.0,BOWL,-,RR
Ashutosh Sharma,75.151532216933,35.55780346820809,48.779475518531115,7.0,BAT,-,DC
Ashwani Kumar,25.292768454440598,68.18464907727798,39.45593886966551,5.5,BOWL,-,MI
Atharva Taide,68.50369719058142,28.453139344610673,50.773920966507994,6.5,BAT,-,SRH
Avesh Khan,51.42845758245495,67.72025884053043,34.96168395103706,8.0,BOWL,-,LSG
Axar Patel,70.22682548452907,48.918990139408365,70.44440666439986,9.0,ALL,-,DC
Ayush Badoni,67.63108849030942,35.18063583815029,59.8343888133288,7.0,BAT,-,LSG
Azmatullah Omarzai,45.44639365861953,38.00484529071744,30.366308228493708,7.5,ALL,-,PBKS
Bevon Jacobs,65.9892463235294,34.62382720588235,53.05340073529412,6.0,BAT,-,MI
Bhuvneshwar Kumar,30.30727218633118,81.11598945936757,38.256481638898336,8.0,BOWL,-,RCB
Chetan Sakariya,25.355161518024413,65.58989185184444,41.39983482342274,6.0,BOWL,-,KKR
Corbin Bosch,56.532598039215685,56.96008578431372,53.72124019607843,6.0,ALL,-,MI
Darshan Nalkande,28.281462096059094,64.23729069577509,41.39983482342274,6.5,BOWL,-,DC
David Miller,67.3946680550833,35.55780346820809,64.23754675280517,8.0,BAT,-,LSG
Deepak Chahar,58.055465827949675,68.19917757565455,44.35368497109826,8.0,BOWL,-,MI
Deepak Hooda,38.46949379462768,34.21820809248555,50.29299132947976,7.0,BAT,-,CHE
Devdutt Padikkal,62.671062138728324,35.55780346820809,39.03682845970758,7.0,BAT,-,RCB
Devon Conway,67.964861016661,35.55780346820809,49.29588150289017,8.0,WK,-,CHE
Dhruv Jurel,78.4873873682421,35.55780346820809,65.42551428085685,7.5,WK,-,RR
Digvesh Singh,25.292768454440598,68.18464907727798,39.45593886966551,5.0,BOWL,-,LSG
Donovan Ferreira,46.3534072877706,54.387889252521816,47.470974300124674,7.0,ALL,-,DC
Dushmantha Chameera,20.447647067157362,57.65203058016815,37.584805921688634,7.0,BOWL,-,DC
Eshan Malinga,25.292768454440598,68.18464907727798,39.45593886966551,6.0,BOWL,-,SRH
