Player,Batting Form,Bowling Form,Fielding Form,Credits,Player Type,Team,Bowler Type
Kulwant Khejroliya,17.472468756288645,51.9626127184978,35.4794612931878,6.0,BOWL,GT,PACE
Gurnoor Brar Singh,17.472468756288645,48.971283238729015,35.4794612931878,5.5,BOWL,GT,-
Jayant Yadav,17.472468756288645,58.11868208265966,38.730906379893,6.5,BOWL,GT,-
Khaleel Ahmed,12.173474158449508,81.49008628017683,35.83273121387283,7.5,BOWL,CHE,PACE
Kuldeep Sen,17.472468756288645,63.8990289034689,45.59506822960398,6.0,BOWL,PBKS,PACE
Kwena Maphaka,17.472468756288645,48.5883352618504,35.4794612931878,6.0,BOWL,RR,PACE
Tushar Deshpande,21.30950357021421,68.03266320979259,47.65109656579395,7.5,BOWL,RR,PACE
Manimaran Siddharth,12.173474158449508,60.14371174770486,43.96612546752806,6.0,BOWL,LSG,SPIN
Matheesha Pathirana,12.173474158449508,82.8915547432846,53.86496939816389,8.5,BOWL,CHE,PACE
Mayank Yadav,17.472468756288645,68.44382659133018,38.730906379893,7.5,BOWL,LSG,PACE
Andre Siddharth,12.173474158449508,60.14371174770486,43.96612546752806,5.5,BAT,CHE,-
Nuwan Thushara,17.472468756288645,60.221283238729015,38.730906379893,7.5,BOWL,RCB,PACE
Akash Singh,17.472468756288645,57.6490289034689,38.730906379893,6.0,BOWL,LSG,-
Prasidh Krishna,12.173474158449508,61.59315496429787,40.714680380822855,7.5,BOWL,GT,PACE
Suyash Sharma,12.173474158449508,51.68591678000681,32.65354046242774,6.0,BOWL,RCB,SPIN
Rajvardhan Hangargekar,17.472468756288645,58.53053179364231,35.4794612931878,5.5,BOWL,LSG,PACE
Shreyas Gopal,17.472468756288645,59.07243930809318,38.730906379893,6.5,BOWL,CHE,SPIN
Shamar Joseph,17.472468756288645,49.49151445260185,35.4794612931878,6.5,BOWL,LSG,PACE
Yash Dayal,12.173474158449508,70.88973775926556,38.28937861271676,7.0,BOWL,RCB,PACE
Yash Thakur,17.472468756288645,65.35134104219722,41.83784279607797,6.5,BOWL,PBKS,PACE
T Natarajan,17.472468756288645,71.55076300751514,48.62975031052884,7.5,BOWL,DC,PACE
Dushmantha Chameera,17.472468756288645,48.36434682254404,35.4794612931878,7.0,BOWL,DC,PACE
FazalHaq Farooqi,14.702375892553556,34.61970843250595,32.65354046242774,7.0,BOWL,RR,PACE
Ishant Sharma,15.107000170010204,62.611091040462426,47.073061883713024,7.5,BOWL,GT,PACE
Mohit Sharma,21.065698316899017,63.08584452567155,41.974349710982665,7.5,BOWL,DC,PACE
Sandeep Sharma,15.511624447466849,67.26527966678,45.80382947976878,7.5,BOWL,RR,PACE
Yuzvendra Chahal,15.901797857871475,72.18920010200613,48.15687691261476,8.5,BOWL,PBKS,SPIN
Mohit Rathee,33.61588320299218,40.21955400657373,39.7373519494503,6.0,ALL,RCB,SPIN
Manav Suthar,33.91212597755866,40.566374815822286,39.7373519494503,6.0,ALL,GT,SPIN
Kumar Kushagra,47.59438554594526,39.32389732446447,47.488643849881,5.5,WK,GT,-
Adam Zampa,16.9205839850391,53.9007777966678,31.063945086705203,7.5,BOWL,SRH,SPIN
Mohammed Shami,23.92829819789187,64.72564603876232,50.39676130567834,8.5,BOWL,SRH,PACE
Reece Topley,22.580850259178817,56.175040464162535,38.730906379893,6.5,BOWL,MI,PACE
Noor Ahmad,18.38734699081945,83.47532726963618,40.24024566473989,7.5,BOWL,CHE,SPIN
Maheesh Theekshana,26.29855916354981,61.32044797687861,36.62752890173411,7.5,BOWL,RR,SPIN
Nathan Ellis,19.420583985039105,59.5683334750085,33.014812138728324,7.0,BOWL,CHE,PACE
Mitchell Starc,25.987918650119006,77.24887368242094,50.10774396463788,8.5,BOWL,DC,PACE
Mukesh Kumar,20.15035277116628,61.89141660999661,44.21423410404624,7.0,BOWL,DC,PACE
Akash Madhwal,25.615532340103677,66.1389132965325,38.730906379893,7.0,BOWL,RR,PACE
Chetan Sakariya,25.651659507733733,61.59411560867121,41.83784279607797,6.0,BOWL,KKR,PACE
Rasikh Salam,20.45382097925876,48.81247874872493,43.96612546752806,6.5,BOWL,RCB,PACE
Anshul Kamboj,25.86842251351408,51.72417341213942,43.86096418336121,6.0,BOWL,CHE,PACE
Donovan Ferreira,38.008946786807215,52.618397937209565,42.9887970361555,7.0,ALL,DC,-
Jofra Archer,43.694534172050325,40.478206817409045,43.96612546752806,8.0,BOWL,RR,PACE
Varun Chakravarthy,21.436479938796328,83.60517256035362,49.27203757225434,9.0,BOWL,KKR,SPIN
Spencer Johnson,27.90058653519211,48.46592358041483,45.77248384903095,6.5,BOWL,KKR,PACE
Harshit Rana,33.746334155049304,67.82960727643659,59.37967528051684,8.0,BOWL,KKR,PACE
Kumar Kartikeya,30.39421115266916,47.100263515810944,34.31539017341041,6.0,BOWL,RR,SPIN
Josh Hazlewood,22.38301173070385,83.55018488609318,34.31539017341041,8.5,BOWL,RCB,PACE
Gerald Coetzee,27.92767106842737,62.69238150462497,41.83784279607797,7.0,BOWL,GT,PACE
Ravi Bishnoi,23.351219823189396,71.90129845290718,61.45167460047604,8.0,BOWL,LSG,SPIN
Mukesh Choudhary,28.939231762068992,64.10134104219722,43.86096418336121,6.5,BOWL,CHE,PACE
Vaibhav Arora,24.31220248214893,67.6982212682761,41.17955202312139,6.5,BOWL,KKR,PACE
Pravin Dubey,30.312064132011187,61.919260117341736,35.4794612931878,6.0,BOWL,PBKS,-
Darshan Nalkande,30.52882713779153,59.33978034855561,41.83784279607797,6.5,BOWL,DC,PACE
Marco Jansen,25.24428340700442,71.18635243114588,52.78115436926216,8.0,ALL,PBKS,PACE
Mohammed Siraj,25.323763175790543,82.16656749404964,56.899651479088746,8.0,BOWL,GT,PACE
Jasprit Bumrah,30.991254883456275,77.00596531965388,50.21934568625138,9.0,BOWL,MI,PACE
Mitchell Santner,47.81223435906155,60.84734146548793,46.27826419585176,7.5,ALL,MI,SPIN
Arshdeep Singh,26.21971693301598,79.42685311118669,48.69400289017341,8.5,BOWL,PBKS,PACE
Kagiso Rabada,42.38248044882694,64.69079394763686,40.24024566473989,8.5,BOWL,GT,PACE
Vyshak Vijaykumar,26.95671115266916,45.876296327779656,41.17955202312139,7.0,BOWL,PBKS,PACE
Lockie Ferguson,27.13734699081945,62.443099710982665,40.60151734104046,7.5,BOWL,PBKS,PACE
Harshal Patel,40.06943854131248,77.09160362121729,51.26381332879973,8.0,BOWL,SRH,PACE
Trent Boult,33.830170435226115,74.35236739204353,46.38186416184972,8.5,BOWL,MI,PACE
Jaydev Unadkat,33.34674621293604,57.75741040635907,35.4794612931878,7.0,BOWL,SRH,PACE
Anukul Sudhakar Roy,45.44391788507311,50.67475631871246,48.11885483962371,6.0,ALL,KKR,SPIN
Deepak Chahar,54.825898928935736,73.55193811628698,38.50614161849711,8.0,BOWL,MI,PACE
Anrich Nortje,34.018711530855114,70.50307514624348,48.62975031052884,8.0,BOWL,KKR,PACE
Mohsin Khan,34.30772887189558,71.3990289034689,41.83784279607797,7.0,BOWL,LSG,PACE
Swapnil Singh,46.69391788507311,53.99123030715177,44.21712073557747,7.0,ALL,RCB,SPIN
Arshad Khan,37.5285829649779,43.08180678340702,54.16939391363482,5.5,ALL,GT,PACE
Shahrukh Khan,37.5285829649779,43.08180678340702,54.16939391363482,7.5,ALL,GT,-
Abhinav Manohar,37.52204819789188,39.26300578034682,57.93458857531452,6.5,BAT,SRH,-
Sameer Rizvi,41.02388643318599,39.26300578034682,32.65354046242774,6.5,BAT,DC,-
Bhuvneshwar Kumar,34.48577227133629,76.78032556953417,44.21423410404624,8.0,BOWL,RCB,PACE
Wanindu Hasaranga,41.48859869092146,80.3331137368242,39.44544797687861,8.5,ALL,RR,SPIN
Ravichandran Ashwin,47.62506375382523,70.96836747704863,57.71782556953417,8.0,ALL,CHE,SPIN
Azmatullah Omarzai,48.746440411424686,43.15145783747025,31.063945086705203,7.5,ALL,PBKS,PACE
Arjun Tendulkar,36.186341588658586,57.12157225607005,35.4794612931878,5.0,BOWL,MI,PACE
Krunal Pandya,41.550068004080245,72.47242647058823,57.33317749064944,7.5,ALL,RCB,SPIN
Yudhvir Singh Charak,49.31675025501531,48.76724186784541,39.7373519494503,6.5,ALL,RR,-
Vishnu Vinod,63.14351849392213,39.32389732446447,44.2371987631758,6.5,WK,PBKS,-
Kuldeep Yadav,44.54511645698742,85.83326249574975,48.04371387283237,8.5,BOWL,DC,SPIN
Rahul Chahar,38.41900054819615,71.86868208265966,54.19333412555774,6.5,BOWL,SRH,SPIN
Umran Malik,38.98980979675108,69.75163005953826,48.62975031052884,6.0,BOWL,KKR,PACE
Mayank Markande,40.10252655975685,66.7169479786134,43.86096418336121,6.0,BOWL,KKR,SPIN
Akash Deep,40.31206413201119,56.175040464162535,43.86096418336121,7.0,BOWL,LSG,PACE
Manish Pandey,55.6092209282557,39.26300578034682,38.144869942196536,7.0,BAT,KKR,-
Romario Shepherd,52.67657684461068,48.36984302391477,39.7373519494503,7.0,ALL,RCB,PACE
