Player,Batting Form,Bowling Form,Fielding Form,Credits,Player Type,Team
Abdul Samad,74.46531791907515,45.07225433526012,70.4335260115607,6.5,BAT,LSG
Abhinav Manohar,43.959537572254334,48.52601156069365,49.91329479768786,6.5,BAT,SRH
Abhishek Sharma,90.40462427745665,52.384393063583815,65.95375722543353,8.5,ALL,SRH
Abishek Porel,74.56647398843931,48.52601156069365,62.39884393063585,6.5,WK,DC
Adam Zampa,18.583815028901732,39.16184971098266,26.502890173410407,7.5,BOWL,SRH
Aiden Markram,66.64739884393065,44.667630057803464,62.19653179190752,8.0,ALL,LSG
Ajinkya Rahane,67.36994219653181,48.52601156069365,51.06936416184971,7.5,BAT,KKR
Akash Deep,54.76878612716763,38.482658959537574,43.26589595375723,7.0,BOWL,LSG
Akash Madhwal,25.3757225433526,58.41040462427747,33.00578034682081,7.0,BOWL,RR
Akash Singh,9.089595375722544,41.430635838150295,33.00578034682081,6.0,BOWL,LSG
Andre Russell,90.82369942196532,69.08959537572255,64.79768786127168,8.5,ALL,KKR
Andre Siddharth,9.089595375722544,44.75433526011561,33.00578034682081,5.5,BAT,CHE
Angkrish Raghuvanshi,68.00578034682081,48.52601156069365,46.73410404624278,6.5,BAT,KKR
Anrich Nortje,42.18208092485549,67.13872832369943,52.80346820809249,8.0,BOWL,KKR
Anshul Kamboj,25.881502890173408,29.580924855491325,43.26589595375723,6.0,BOWL,CHE
Anuj Rawat,61.84971098265896,48.52601156069365,74.39306358381504,6.5,WK,GT
Anukul Sudhakar Roy,40.9393063583815,44.638728323699425,43.26589595375723,6.0,ALL,KKR
Arjun Tendulkar,46.517341040462426,40.3757225433526,26.502890173410407,5.0,BOWL,MI
Arshad Khan,43.84393063583815,25.520231213872833,37.052023121387286,5.5,ALL,GT
Arshdeep Singh,37.18208092485549,72.45664739884394,61.76300578034682,8.5,BOWL,PBKS
Ashutosh Sharma,70.05780346820809,48.52601156069365,30.404624277456648,7.0,BAT,DC
Atharva Taide,68.38150289017342,22.341040462427745,48.90173410404624,6.5,BAT,SRH
Avesh Khan,56.77745664739884,61.242774566474,41.820809248554916,8.0,BOWL,LSG
Axar Patel,77.91907514450867,74.1907514450867,72.16763005780348,9.0,ALL,DC
Ayush Badoni,73.64161849710983,47.26878612716763,67.25433526011561,7.0,BAT,LSG
Azmatullah Omarzai,46.445086705202314,53.2514450867052,26.502890173410407,7.5,ALL,PBKS
Bhuvneshwar Kumar,44.320809248554916,69.47976878612717,52.80346820809249,8.0,BOWL,RCB
Chetan Sakariya,25.447976878612717,49.32080924855491,39.21965317919075,6.0,BOWL,KKR
Darshan Nalkande,35.202312138728324,44.8121387283237,39.21965317919075,6.5,BOWL,DC
David Miller,74.82658959537574,48.52601156069365,62.63005780346821,8.0,BAT,LSG
Deepak Chahar,42.02312138728324,60.78034682080926,41.38728323699422,8.0,BOWL,MI
Deepak Hooda,56.38728323699422,44.0606936416185,61.1849710982659,7.0,BAT,CHE
Devdutt Padikkal,62.34104046242775,48.52601156069365,55.40462427745665,7.0,BAT,RCB
Devon Conway,82.81791907514452,48.52601156069365,57.86127167630058,8.0,WK,CHE
Dhruv Jurel,79.11849710982659,48.52601156069365,63.93063583815029,7.5,WK,RR
Donovan Ferreira,26.069364161849713,48.52601156069365,33.00578034682081,7.0,ALL,DC
Dushmantha Chameera,9.089595375722544,22.86127167630058,26.502890173410407,7.0,BOWL,DC
Faf du Plessis,85.05780346820809,48.52601156069365,56.84971098265896,8.5,BAT,DC
FazalHaq Farooqi,14.147398843930636,36.84971098265896,29.68208092485549,7.0,BOWL,RR
Gerald Coetzee,30.0,51.517341040462426,39.21965317919075,7.0,BOWL,GT
Glenn Maxwell,64.1907514450867,67.47109826589596,58.872832369942195,8.5,ALL,PBKS
Glenn Phillips,64.2485549132948,49.017341040462426,33.00578034682081,8.0,BAT,GT
Gurnoor Brar Singh,9.089595375722544,24.075144508670522,26.502890173410407,5.5,BOWL,GT
