Player,Batting Form,Bowling Form,Fielding Form,Credits,Player Type,Team
Abdul Samad,73.60465116279072,25.290697674418603,68.6046511627907,6.5,BAT,LSG
Abhinav Manohar,40.40697674418605,51.74418604651163,45.78488372093024,6.5,BAT,SRH
Abhishek Sharma,86.51162790697676,49.18604651162791,64.38953488372093,8.5,ALL,SRH
Abishek Porel,75.34883720930235,51.74418604651163,59.30232558139535,6.5,WK,DC
Adam Zampa,16.831395348837212,37.55813953488372,26.308139534883722,7.5,BOWL,SRH
Aiden Markram,69.30232558139535,33.83720930232558,66.86046511627907,8.0,ALL,LSG
Ajinkya Rahane,63.72093023255814,51.74418604651163,48.11046511627907,7.5,BAT,KKR
Akash Deep,55.98837209302326,35.20348837209302,41.27906976744186,7.0,BOWL,LSG
Akash Madhwal,22.87790697674419,55.69767441860465,32.122093023255815,7.0,BOWL,RR
Akash Singh,7.819767441860466,38.28488372093023,32.122093023255815,6.0,BOWL,LSG
Andre Russell,94.01162790697677,70.52325581395348,69.91279069767442,8.5,ALL,KKR
Andre Siddharth,7.819767441860466,38.25581395348837,26.308139534883722,5.5,BAT,CSK
Angkrish Raghuvanshi,69.15697674418605,51.74418604651163,44.912790697674424,6.5,BAT,KKR
Anrich Nortje,39.56395348837209,66.74418604651163,57.412790697674424,8.0,BOWL,KKR
Anshul Kamboj,23.40116279069768,26.569767441860467,41.27906976744186,6.0,BOWL,CSK
Anuj Rawat,57.848837209302324,51.74418604651163,70.63953488372094,6.5,WK,GT
Anukul Sudhakar Roy,38.691860465116285,41.56976744186046,41.27906976744186,6.0,ALL,KKR
Arjun Tendulkar,47.23837209302325,37.354651162790695,26.308139534883722,5.0,BOWL,MI
Arshad Khan,56.91860465116279,26.162790697674417,35.901162790697676,5.5,ALL,GT
Arshdeep Singh,33.22674418604651,67.38372093023256,59.593023255813954,8.5,BOWL,PBKS
Ashutosh Sharma,72.64534883720931,51.74418604651163,37.5,7.0,BAT,DC
Atharva Taide,69.3313953488372,25.494186046511626,46.51162790697674,6.5,BAT,PBKS
Avesh Khan,58.808139534883736,56.80232558139535,39.389534883720934,8.0,BOWL,LSG
Axar Patel,71.65697674418605,70.87209302325581,71.65697674418605,9.0,ALL,DC
Ayush Badoni,67.79069767441861,46.91860465116279,62.3546511627907,7.0,BAT,LSG
Azmatullah Omarzai,46.88953488372094,40.52325581395348,26.308139534883722,7.5,ALL,PBKS
Bhuvneshwar Kumar,48.69186046511628,74.24418604651163,68.6046511627907,8.0,BOWL,RCB
Chetan Sakariya,24.24418604651163,47.00581395348837,37.5,6.0,BOWL,KKR
Darshan Nalkande,32.00581395348838,43.110465116279066,37.5,6.5,BOWL,DC
David Miller,80.40697674418605,51.74418604651163,66.86046511627907,8.0,BAT,LSG
Deepak Chahar,31.250000000000004,79.36046511627907,47.52906976744187,8.0,BOWL,MI
Deepak Hooda,46.45348837209303,42.93604651162791,56.395348837209305,7.0,BAT,CSK
Devdutt Padikkal,59.709302325581405,51.74418604651163,55.9593023255814,7.0,BAT,RCB
Devon Conway,78.83720930232559,51.74418604651163,52.90697674418605,8.0,WK,CSK
