Player,Credits,Player Type,Team,Batting Form,Bowling Form,Fielding Form
Vansh Bedi,5.0,WK,CHE,,,
Andre Siddharth,5.5,BAT,CHE,16.393129770992367,78.37786259541986,58.20610687022901
Ramakrishna Ghosh,5.5,ALL,CHE,,,
Shaik Rasheed,5.0,BAT,CHE,,,
Gurjapneet Singh,6.0,BOWL,CHE,,,
Matheesha Pathirana,8.5,BOWL,CHE,16.393129770992367,92.27099236641223,58.20610687022901
Noor Ahmad,7.5,BOWL,CHE,16.393129770992367,97.70992366412214,37.595419847328245
Anshul Kamboj,6.0,BOWL,CHE,,,
Nathan Ellis,7.0,BOWL,CHE,16.393129770992367,69.86641221374046,37.595419847328245
Mukesh Choudhary,6.5,BOWL,CHE,,,
Ruturaj Gaikwad,9.0,BAT,CHE,85.6297709923664,30.0,72.13740458015268
Kamlesh Nagarkoti,6.0,BOWL,CHE,,,
Rachin Ravindra,8.0,BAT,CHE,78.89312977099236,30.0,67.93893129770993
Khaleel Ahmed,7.5,BOWL,CHE,16.393129770992367,94.82824427480917,37.595419847328245
Shivam Dube,8.0,BAT,CHE,71.25954198473282,30.0,67.93893129770993
Rahul Tripathi,7.5,BAT,CHE,60.954198473282446,30.0,37.595419847328245
Sam Curran,7.5,ALL,CHE,38.93129770992366,37.29007633587786,58.20610687022901
Shreyas Gopal,6.5,BOWL,CHE,,,
Deepak Hooda,7.0,BAT,CHE,37.93893129770992,30.0,58.20610687022901
Devon Conway,8.0,WK,CHE,,,
Jamie Overton,6.5,ALL,CHE,,,
Vijay Shankar,6.5,BAT,CHE,53.988549618320604,30.0,58.20610687022901
Ravichandran Ashwin,8.0,ALL,CHE,51.33587786259542,81.14503816793895,67.93893129770993
Ravindra Jadeja,8.5,ALL,CHE,71.22137404580153,71.24045801526718,67.93893129770993
MS Dhoni,7.0,WK,CHE,75.91603053435115,30.0,52.595419847328245
Madhav Tiwari,5.0,ALL,DC,,,
Manvanth Kumar L,5.5,ALL,DC,,,
Tripurana Vijay,5.5,BOWL,DC,,,
Vipraj Nigam,5.0,BOWL,DC,80.99236641221374,61.39312977099236,58.20610687022901
Tristan Stubbs,8.0,BAT,DC,75.20992366412214,33.511450381679396,72.13740458015268
Abishek Porel,6.5,WK,DC,72.02290076335878,30.0,37.595419847328245
Ashutosh Sharma,7.0,BAT,DC,83.5496183206107,30.0,37.595419847328245
Donovan Ferreira,7.0,ALL,DC,,,
Sameer Rizvi,6.5,BAT,DC,40.17175572519084,30.0,37.595419847328245
Jake Fraser McGurk,7.5,BAT,DC,64.14122137404581,30.0,67.93893129770993
Ajay Mandal,6.5,ALL,DC,,,
Darshan Nalkande,6.5,BOWL,DC,,,
T Natarajan,7.5,BOWL,DC,,,
Mukesh Kumar,7.0,BOWL,DC,16.393129770992367,68.26335877862594,37.595419847328245
Kuldeep Yadav,8.5,BOWL,DC,41.14503816793893,97.32824427480915,37.595419847328245
Mohit Sharma,7.5,BOWL,DC,27.88167938931298,67.57633587786259,37.595419847328245
Lokesh Rahul,9.0,WK,DC,72.44274809160305,30.0,68.05343511450383
Axar Patel,9.0,ALL,DC,72.51908396946565,45.76335877862596,67.93893129770993
Dushmantha Chameera,7.0,BOWL,DC,,,
Karun Nair,7.0,BAT,DC,,,
Faf du Plessis,8.5,BAT,DC,85.41984732824429,30.0,72.13740458015268
Mitchell Starc,8.5,BOWL,DC,29.007633587786263,88.70229007633588,58.20610687022901
Gurnoor Brar Singh,5.5,BOWL,GT,,,
Nishant Sindhu,6.0,ALL,GT,,,
Arshad Khan,5.5,ALL,GT,33.22519083969466,34.083969465648856,72.13740458015268
Sai Sudharsan,8.0,BAT,GT,90.62977099236642,30.0,58.20610687022901
Kumar Kushagra,5.5,WK,GT,,,
Manav Suthar,6.0,ALL,GT,,,
Sherfane Rutherford,7.0,BAT,GT,79.31297709923665,30.0,37.595419847328245
Gerald Coetzee,7.0,BOWL,GT,,,
Anuj Rawat,6.5,WK,GT,,,
Kulwant Khejroliya,6.0,BOWL,GT,,,
Shubman Gill,9.0,BAT,GT,82.84351145038168,30.0,58.20610687022901
Ravisrinivasan Sai Kishore,7.0,BOWL,GT,34.23664122137405,91.81297709923666,37.595419847328245
Mahipal Lomror,6.5,BAT,GT,,,
Karim Janat,6.0,ALL,GT,,,
Washington Sundar,7.0,ALL,GT,,,
Shahrukh Khan,7.5,ALL,GT,33.22519083969466,34.083969465648856,72.13740458015268
Mohammed Siraj,8.0,BOWL,GT,16.393129770992367,73.11068702290078,58.20610687022901
Glenn Phillips,8.0,BAT,GT,,,
Rashid Khan,9.0,BOWL,GT,51.6412213740458,67.63358778625954,37.595419847328245
Prasidh Krishna,7.5,BOWL,GT,16.393129770992367,82.09923664122138,37.595419847328245
Jayant Yadav,6.5,BOWL,GT,,,
Rahul Tewatia,7.0,ALL,GT,62.91984732824427,30.0,58.20610687022901
Kagiso Rabada,8.5,BOWL,GT,49.54198473282443,74.31297709923665,37.595419847328245
Jos Buttler,9.0,WK,GT,83.37786259541986,30.0,37.595419847328245
Ishant Sharma,7.5,BOWL,GT,16.393129770992367,46.221374045801525,58.20610687022901
Harshit Rana,8.0,BOWL,KKR,38.33969465648855,76.94656488549619,58.20610687022901
Angkrish Raghuvanshi,6.5,BAT,KKR,68.16793893129771,30.0,58.20610687022901
Vaibhav Arora,6.5,BOWL,KKR,16.393129770992367,80.91603053435115,37.595419847328245
Luvnith Sisodia,5.5,WK,KKR,,,
Mayank Markande,6.0,BOWL,KKR,,,
Chetan Sakariya,6.0,BOWL,KKR,,,
Rahmanullah Gurbaz,7.5,WK,KKR,,,
Spencer Johnson,6.5,BOWL,KKR,33.22519083969466,62.76717557251908,58.20610687022901
Varun Chakravarthy,9.0,BOWL,KKR,16.393129770992367,89.79007633587787,37.595419847328245
Anrich Nortje,8.0,BOWL,KKR,,,
Anukul Sudhakar Roy,6.0,ALL,KKR,,,
Ramandeep Singh,7.5,ALL,KKR,34.42748091603054,30.0,58.20610687022901
Rovman Powell,7.0,BAT,KKR,,,
Rinku Singh,7.5,BAT,KKR,50.0,30.0,58.20610687022901
Venkatesh Iyer,8.0,BAT,KKR,40.36259541984733,30.0,37.595419847328245
Moeen Ali,7.0,ALL,KKR,31.96564885496183,87.48091603053436,37.595419847328245
Quinton de Kock,8.0,WK,KKR,85.32442748091604,30.0,68.05343511450383
Andre Russell,8.5,ALL,KKR,44.58015267175573,30.0,58.20610687022901
Sunil Narine,9.0,ALL,KKR,77.42366412213741,76.96564885496183,37.595419847328245
Manish Pandey,7.0,BAT,KKR,,,
Ajinkya Rahane,7.5,BAT,KKR,82.21374045801527,30.0,58.20610687022901
Umran Malik,6.0,BOWL,KKR,,,
Digvesh Singh,5.0,BOWL,LSG,16.393129770992367,86.7557251908397,58.20610687022901
Prince Yadav,5.5,BOWL,LSG,16.393129770992367,67.80534351145037,37.595419847328245
Shamar Joseph,6.5,BOWL,LSG,,,
Mayank Yadav,7.5,BOWL,LSG,,,
Arshin Kulkarni,6.0,ALL,LSG,,,
Akash Deep,7.0,BOWL,LSG,,,
Akash Singh,6.0,BOWL,LSG,,,
Yuvraj Chaudhary,5.0,ALL,LSG,,,
Ravi Bishnoi,8.0,BOWL,LSG,16.393129770992367,77.82442748091604,37.595419847328245
Abdul Samad,6.5,BAT,LSG,73.33969465648855,30.0,58.20610687022901
Shahbaz Ahmed,7.0,ALL,LSG,46.98473282442748,35.11450381679389,37.595419847328245
Rajvardhan Hangargekar,5.5,BOWL,LSG,,,
Ayush Badoni,7.0,BAT,LSG,43.2824427480916,30.0,67.93893129770993
Aryan Juyal,5.5,WK,LSG,,,
Mohsin Khan,7.0,BOWL,LSG,,,
Matthew Breetzke,6.5,BAT,LSG,,,
Manimaran Siddharth,6.0,BOWL,LSG,16.393129770992367,78.37786259541986,58.20610687022901
Rishabh Pant,9.0,WK,LSG,45.70610687022901,30.0,82.36641221374046
Himmat Singh,5.5,BAT,LSG,,,
Aiden Markram,8.0,ALL,LSG,51.04961832061068,30.0,37.595419847328245
Avesh Khan,8.0,BOWL,LSG,16.393129770992367,64.59923664122137,37.595419847328245
Nicholas Pooran,8.5,WK,LSG,97.97709923664122,30.0,72.13740458015268
David Miller,8.0,BAT,LSG,67.88167938931298,30.0,67.93893129770993
Mitchell Marsh,8.0,BAT,LSG,93.37786259541986,30.0,37.595419847328245
Shardul Thakur,7.5,BOWL,LSG,16.393129770992367,93.33969465648855,37.595419847328245
Bevon Jacobs,6.0,BAT,MI,,,
Naman Dhir,6.5,ALL,MI,63.30152671755726,50.229007633587784,58.20610687022901
Robin Minz,5.5,WK,MI,32.5763358778626,30.0,37.595419847328245
Raj Angad Bawa,5.5,BAT,MI,,,
Vignesh Puthur,5.0,BOWL,MI,,,
Satyanarayana Raju,5.5,ALL,MI,33.22519083969466,61.85114503816794,58.20610687022901
Ashwani Kumar,5.5,BOWL,MI,,,
Tilak Varma,8.0,BAT,MI,70.91603053435115,30.0,67.93893129770993
KL Shrijith,6.0,WK,MI,,,
Mujeeb ur Rahman,7.0,BOWL,MI,16.393129770992367,63.68320610687022,37.595419847328245
Ryan Rickelton,7.5,WK,MI,,,
Arjun Tendulkar,5.0,BOWL,MI,,,
Will Jacks,7.5,ALL,MI,56.87022900763358,74.61832061068702,58.20610687022901
Hardik Pandya,9.0,ALL,MI,42.25190839694656,85.53435114503817,58.20610687022901
Mitchell Santner,7.5,ALL,MI,62.48091603053435,43.587786259541986,58.20610687022901
Reece Topley,6.5,BOWL,MI,,,
Corbin Bosch,6.0,ALL,MI,,,
Jasprit Bumrah,9.0,BOWL,MI,,,
Trent Boult,8.5,BOWL,MI,28.893129770992367,71.0114503816794,37.595419847328245
Suryakumar Yadav,9.0,BAT,MI,76.45038167938932,30.0,37.595419847328245
Deepak Chahar,8.0,BOWL,MI,70.13358778625954,78.66412213740459,37.595419847328245
Karn Sharma,6.5,BOWL,MI,,,
Rohit Sharma,9.0,BAT,MI,44.904580152671755,30.0,37.595419847328245
Musheer Khan,6.0,ALL,PBKS,,,
Harnoor Singh Pannu,5.0,BAT,PBKS,,,
Pyla Avinash,5.5,BAT,PBKS,,,
Suryansh Shedge,5.5,ALL,PBKS,16.393129770992367,30.0,37.595419847328245
Harpreet Brar,6.5,BOWL,PBKS,,,
Priyansh Arya,6.5,BAT,PBKS,82.86259541984732,30.0,58.20610687022901
Kuldeep Sen,6.0,BOWL,PBKS,,,
Marco Jansen,8.0,ALL,PBKS,16.393129770992367,65.34351145038167,37.595419847328245
Nehal Wadhera,7.5,BAT,PBKS,,,
Prabhsimran Singh,7.5,WK,PBKS,37.00381679389313,30.0,37.595419847328245
Aaron Hardie,7.0,ALL,PBKS,,,
Arshdeep Singh,8.5,BOWL,PBKS,16.393129770992367,81.7557251908397,37.595419847328245
Azmatullah Omarzai,7.5,ALL,PBKS,55.8206106870229,35.34351145038168,37.595419847328245
Vishnu Vinod,6.5,WK,PBKS,,,
Xavier Bartlett,6.5,BOWL,PBKS,,,
Shashank Singh,7.5,BAT,PBKS,79.77099236641223,30.0,58.20610687022901
Lockie Ferguson,7.5,BOWL,PBKS,,,
Josh Inglis,7.5,WK,PBKS,,,
Vyshak Vijaykumar,7.0,BOWL,PBKS,16.393129770992367,43.81679389312977,37.595419847328245
Pravin Dubey,6.0,BOWL,PBKS,,,
Yash Thakur,6.5,BOWL,PBKS,,,
Shreyas Iyer,8.5,BAT,PBKS,88.68320610687023,30.0,37.595419847328245
Marcus Stoinis,8.0,ALL,PBKS,60.32442748091603,34.656488549618324,37.595419847328245
Yuzvendra Chahal,8.5,BOWL,PBKS,16.393129770992367,38.091603053435115,37.595419847328245
Glenn Maxwell,8.5,ALL,PBKS,16.393129770992367,64.59923664122137,37.595419847328245
