Player,Credits,Player Type,Team,Batting Form,Bowling Form,Fielding Form
Vansh Bedi,5.0,WK,CHE,77.1029411764706,29.955882352941178,72.78676470588235
Andre Siddharth,5.5,BAT,CHE,15.5,66.765625,44.46875
Ramakrishna Ghosh,5.5,ALL,CHE,55.150275735294116,56.21875,52.318014705882355
Shaik Rasheed,5.0,BAT,CHE,54.296875,30.0,44.46875
Gurjapneet Singh,6.0,BOWL,CHE,26.676339285714285,72.04861111111111,42.05555555555556
Matheesha Pathirana,8.5,BOWL,CHE,15.5,78.609375,54.78125
Noor Ahmad,7.5,BOWL,CHE,26.09375,97.671875,31.03125
Anshul Kamboj,6.0,BOWL,CHE,33.328125,76.46875,31.03125
Nathan Ellis,7.0,BOWL,CHE,15.5,61.328125,31.03125
Mukesh Choudhary,6.5,BOWL,CHE,15.5,53.03125,31.03125
Ruturaj Gaikwad,9.0,BAT,CHE,72.046875,30.0,62.4375
Kamlesh Nagarkoti,6.0,BOWL,CHE,26.676339285714285,72.04861111111111,42.05555555555556
Rachin Ravindra,8.0,BAT,CHE,72.796875,30.0,54.78125
Khaleel Ahmed,7.5,BOWL,CHE,15.5,90.90625,31.03125
Shivam Dube,8.0,BAT,CHE,73.890625,30.0,54.78125
Rahul Tripathi,7.5,BAT,CHE,51.015625,30.0,44.46875
Sam Curran,7.5,ALL,CHE,35.296875,32.53125,44.46875
Shreyas Gopal,6.5,BOWL,CHE,26.676339285714285,72.04861111111111,42.05555555555556
Deepak Hooda,7.0,BAT,CHE,33.78125,30.0,44.46875
Devon Conway,8.0,WK,CHE,61.453125,30.0,44.46875
Jamie Overton,6.5,ALL,CHE,60.625,30.84375,31.03125
Vijay Shankar,6.5,BAT,CHE,64.59375,30.0,54.78125
Ravichandran Ashwin,8.0,ALL,CHE,39.15625,71.15625,68.21875
Ravindra Jadeja,8.5,ALL,CHE,58.84375,76.828125,62.4375
MS Dhoni,7.0,WK,CHE,78.34375,30.0,87.96875
Madhav Tiwari,5.0,ALL,DC,55.150275735294116,56.21875,52.318014705882355
