Team,Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Span
KKR,AM Rahane,12,11,1,375,61,37.5,256,146.48,0,3,0,33,20,2025-2025
KKR,A Raghuvanshi,11,10,2,286,50,35.75,197,145.17,0,1,0,29,8,2025-2025
KKR,SP Narine,11,11,1,215,44,21.5,128,167.96,0,0,1,22,16,2025-2025
KKR,RK Singh,12,10,4,197,38,32.83,128,153.9,0,0,0,20,9,2025-2025
KKR,AD Russell,12,9,1,167,57,20.87,101,165.34,0,1,0,16,14,2025-2025
KKR,Q de Kock,7,7,1,143,97,23.83,104,137.5,0,1,0,9,11,2025-2025
KKR,VR Iyer,11,7,0,142,60,20.28,102,139.21,0,1,0,15,4,2025-2025
KKR,Rahmanullah Gurbaz,5,5,1,74,35,18.5,53,139.62,0,0,0,10,3,2025-2025
KKR,MK Pandey,2,2,1,55,36,55.0,42,130.95,0,0,0,3,2,2025-2025
KKR,Ramandeep Singh,10,6,2,34,22,8.5,30,113.33,0,0,1,1,2,2025-2025
KKR,Harshit Rana,12,6,3,23,10,7.66,32,71.87,0,0,0,3,0,2025-2025
KKR,MM Ali,6,2,0,5,5,2.5,14,35.71,0,0,1,0,0,2025-2025
KKR,R Powell,2,1,0,5,5,5.0,5,100.0,0,0,0,1,0,2025-2025
KKR,SH Johnson,4,2,2,2,1,,4,50.0,0,0,0,0,0,2025-2025
KKR,CV Varun,12,1,1,1,1,,1,100.0,0,0,0,0,0,2025-2025
KKR,VG Arora,11,1,0,0,0,0.0,7,0.0,0,0,1,0,0,2025-2025
KKR,A Nortje,1,1,1,0,0,,0,,0,0,0,0,0,2025-2025
KKR,AS Roy,1,1,0,0,0,0.0,1,0.0,0,0,1,0,0,2025-2025
KKR,C Sakariya,1,,,,,,,,,,,,,2025-2025
CSK,S Dube,12,12,3,301,50,33.44,230,130.86,0,1,0,20,17,2025-2025
CSK,RA Jadeja,12,12,4,279,77,34.87,199,140.2,0,2,1,24,9,2025-2025
CSK,R Ravindra,8,8,1,191,65,27.28,149,128.18,0,1,1,18,4,2025-2025
CSK,MS Dhoni,12,12,5,180,30,25.71,128,140.62,0,0,0,12,11,2025-2025
CSK,A Mhatre,5,5,0,163,94,32.6,90,181.11,0,1,1,20,7,2025-2025
CSK,D Brevis,4,4,0,126,52,31.5,77,163.63,0,1,1,7,9,2025-2025
CSK,RD Gaikwad,5,5,0,122,63,24.4,81,150.61,0,2,1,14,4,2025-2025
CSK,V Shankar,6,5,2,118,69,39.33,91,129.67,0,1,0,8,3,2025-2025
CSK,SM Curran,5,5,0,114,88,22.8,84,135.71,0,1,0,11,4,2025-2025
CSK,DP Conway,4,4,0,94,69,23.5,76,123.68,0,1,1,9,2,2025-2025
CSK,SK Rasheed,5,5,0,71,27,14.2,63,112.69,0,0,1,9,2,2025-2025
CSK,RA Tripathi,5,5,0,55,23,11.0,57,96.49,0,0,0,6,1,2025-2025
