Team,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Span,Start Date,End Date
KKR,Harshit Rana,7,7.0,23.0,0.0,203.0,10.0,3/25,20.3,8.82,13.8,0.0,0.0,2025-2025,,
KKR,CV Varun,7,7.0,27.0,0.0,168.0,10.0,3/22,16.8,6.22,16.2,0.0,0.0,2025-2025,,
KKR,VG Arora,6,6.0,21.3,1.0,196.0,8.0,3/29,24.5,9.11,16.1,0.0,0.0,2025-2025,,
KKR,SP Narine,6,6.0,21.0,0.0,154.0,7.0,3/13,22.0,7.33,18.0,0.0,0.0,2025-2025,,
KKR,AD Russell,7,3.0,6.3,0.0,88.0,5.0,2/21,17.6,13.53,7.8,0.0,0.0,2025-2025,,
KKR,MM Ali,3,2.0,8.0,1.0,43.0,3.0,2/23,14.33,5.37,16.0,0.0,0.0,2025-2025,,
KKR,SH Johnson,4,4.0,11.2,0.0,133.0,1.0,1/42,133.0,11.73,68.0,0.0,0.0,2025-2025,,
KKR,A Nortje,1,1.0,3.0,0.0,23.0,1.0,1/23,23.0,7.66,18.0,0.0,0.0,2025-2025,,
KKR,Q de Kock,7,,,,,,,,,,,,2025-2025,,
KKR,VR Iyer,7,,,,,,,,,,,,2025-2025,,
KKR,MK Pandey,1,,,,,,,,,,,,2025-2025,,
KKR,A Raghuvanshi,6,,,,,,,,,,,,2025-2025,,
KKR,AM Rahane,7,,,,,,,,,,,,2025-2025,,
KKR,Ramandeep Singh,7,,,,,,,,,,,,2025-2025,,
KKR,RK Singh,7,,,,,,,,,,,,2025-2025,,
CSK,Noor Ahmad,7,7.0,24.0,0.0,171.0,12.0,4/18,14.25,7.12,12.0,1.0,0.0,2025-2025,,
CSK,KK Ahmed,7,7.0,27.0,0.0,243.0,11.0,3/29,22.09,9.0,14.7,0.0,0.0,2025-2025,,
CSK,M Pathirana,5,5.0,20.0,0.0,192.0,7.0,2/28,27.42,9.6,17.1,0.0,0.0,2025-2025,,
CSK,R Ashwin,6,6.0,20.0,0.0,198.0,5.0,2/48,39.6,9.9,24.0,0.0,0.0,2025-2025,,
CSK,RA Jadeja,7,7.0,16.1,0.0,138.0,4.0,2/24,34.5,8.53,24.2,0.0,0.0,2025-2025,,
CSK,A Kamboj,2,2.0,5.0,0.0,39.0,2.0,1/19,19.5,7.8,15.0,0.0,0.0,2025-2025,,
CSK,NT Ellis,1,1.0,4.0,0.0,38.0,1.0,1/38,38.0,9.5,24.0,0.0,0.0,2025-2025,,
CSK,Mukesh Choudhary,2,2.0,6.0,0.0,71.0,1.0,1/21,71.0,11.83,36.0,0.0,0.0,2025-2025,,
CSK,SM Curran,2,2.0,4.0,0.0,47.0,0.0,,,11.75,,0.0,0.0,2025-2025,,
CSK,J Overton,2,2.0,4.0,0.0,54.0,0.0,,,13.5,,0.0,0.0,2025-2025,,
CSK,DP Conway,3,,,,,,,,,,,,2025-2025,,
CSK,MS Dhoni,7,,,,,,,,,,,,2025-2025,,
CSK,S Dube,7,,,,,,,,,,,,2025-2025,,
CSK,RD Gaikwad,5,,,,,,,,,,,,2025-2025,,
CSK,DJ Hooda,3,,,,,,,,,,,,2025-2025,,
CSK,SK Rasheed,1,,,,,,,,,,,,2025-2025,,
CSK,R Ravindra,7,,,,,,,,,,,,2025-2025,,
CSK,V Shankar,5,,,,,,,,,,,,2025-2025,,
CSK,RA Tripathi,5,,,,,,,,,,,,2025-2025,,
MI,HH Pandya,6,6.0,20.0,0.0,183.0,11.0,5/36,16.63,9.15,10.9,0.0,1.0,2025-2025,,
