Team,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Span
KKR,CV Varun,12,12,47.0,0,329,17,3/22,19.35,7.0,16.5,0,0,2025-2025
KKR,VG Arora,11,11,38.3,1,391,16,3/29,24.43,10.15,14.4,0,0,2025-2025
KKR,Harshit Rana,12,12,41.0,0,408,15,3/25,27.2,9.95,16.4,0,0,2025-2025
KKR,SP Narine,11,11,41.0,0,309,10,3/13,30.9,7.53,24.6,0,0,2025-2025
KKR,AD Russell,12,8,16.1,0,183,8,2/21,22.87,11.31,12.1,0,0,2025-2025
KKR,MM Ali,6,5,16.0,1,136,6,2/23,22.66,8.5,16.0,0,0,2025-2025
KKR,SH Johnson,4,4,11.2,0,133,1,1/42,133.0,11.73,68.0,0,0,2025-2025
KKR,A Nortje,1,1,3.0,0,23,1,1/23,23.0,7.66,18.0,0,0,2025-2025
KKR,AS Roy,1,1,4.0,0,27,1,1/27,27.0,6.75,24.0,0,0,2025-2025
KKR,C Sakariya,1,1,3.0,0,39,0,,,13.0,,0,0,2025-2025
KKR,Q de Kock,7,,,,,,,,,,,,2025-2025
KKR,VR Iyer,11,,,,,,,,,,,,2025-2025
KKR,MK Pandey,2,,,,,,,,,,,,2025-2025
KKR,R Powell,2,,,,,,,,,,,,2025-2025
KKR,A Raghuvanshi,11,,,,,,,,,,,,2025-2025
KKR,AM Rahane,12,,,,,,,,,,,,2025-2025
KKR,Rahmanullah Gurbaz,5,,,,,,,,,,,,2025-2025
KKR,Ramandeep Singh,10,,,,,,,,,,,,2025-2025
KKR,RK Singh,12,,,,,,,,,,,,2025-2025
CSK,Noor Ahmad,12,12,43.0,0,345,20,4/18,17.25,8.02,12.9,2,0,2025-2025
CSK,KK Ahmed,12,12,40.4,0,395,14,3/29,28.21,9.71,17.4,0,0,2025-2025
CSK,M Pathirana,10,10,36.4,0,373,12,3/36,31.08,10.17,18.3,0,0,2025-2025
CSK,RA Jadeja,12,12,32.5,0,280,8,2/24,35.0,8.52,24.6,0,0,2025-2025
CSK,R Ashwin,8,8,27.0,0,242,5,2/48,48.4,8.96,32.4,0,0,2025-2025
CSK,A Kamboj,6,6,16.0,0,138,4,1/16,34.5,8.62,24.0,0,0,2025-2025
CSK,SM Curran,5,5,12.0,0,133,1,1/34,133.0,11.08,72.0,0,0,2025-2025
CSK,NT Ellis,1,1,4.0,0,38,1,1/38,38.0,9.5,24.0,0,0,2025-2025
CSK,Mukesh Choudhary,2,2,6.0,0,71,1,1/21,71.0,11.83,36.0,0,0,2025-2025
CSK,J Overton,3,3,6.0,0,83,0,,,13.83,,0,0,2025-2025
CSK,D Brevis,4,,,,,,,,,,,,2025-2025
CSK,DP Conway,4,,,,,,,,,,,,2025-2025
CSK,MS Dhoni,12,,,,,,,,,,,,2025-2025
CSK,S Dube,12,,,,,,,,,,,,2025-2025
CSK,RD Gaikwad,5,,,,,,,,,,,,2025-2025
CSK,DJ Hooda,6,,,,,,,,,,,,2025-2025
CSK,A Mhatre,5,,,,,,,,,,,,2025-2025
CSK,UM Patel,1,,,,,,,,,,,,2025-2025
CSK,SK Rasheed,5,,,,,,,,,,,,2025-2025
CSK,R Ravindra,8,,,,,,,,,,,,2025-2025
CSK,V Shankar,6,,,,,,,,,,,,2025-2025
CSK,RA Tripathi,5,,,,,,,,,,,,2025-2025
MI,TA Boult,12,12,42.1,0,358,18,4/26,19.88,8.49,14.0,1,0,2025-2025
MI,JJ Bumrah,8,8,32.0,0,214,13,4/22,16.46,6.68,14.7,1,0,2025-2025
MI,HH Pandya,11,11,28.0,0,257,13,5/36,19.76,9.17,12.9,0,1,2025-2025
MI,DL Chahar,12,12,35.0,0,326,10,2/12,32.6,9.31,21.0,0,0,2025-2025
MI,Ashwani Kumar,4,4,12.0,0,133,8,4/24,16.62,11.08,9.0,1,0,2025-2025
MI,V Puthur,5,5,12.0,0,109,6,3/32,18.16,9.08,12.0,0,0,2025-2025
MI,KV Sharma,5,4,12.0,0,97,6,3/23,16.16,8.08,12.0,0,0,2025-2025
MI,WG Jacks,11,6,12.0,0,93,5,2/14,18.6,7.75,14.4,0,0,2025-2025
MI,MJ Santner,9,9,28.3,0,236,4,2/43,59.0,8.28,42.7,0,0,2025-2025
MI,C Bosch,3,2,7.0,0,55,1,1/26,55.0,7.85,42.0,0,0,2025-2025
MI,Mujeeb Ur Rahman,1,1,2.0,0,28,1,1/28,28.0,14.0,12.0,0,0,2025-2025
MI,PVSN Raju,2,2,4.0,0,53,1,1/40,53.0,13.25,24.0,0,0,2025-2025
MI,Naman Dhir,12,1,3.0,0,12,0,,,4.0,,0,0,2025-2025
MI,RA Bawa,1,,,,,,,,,,,,2025-2025
MI,R Minz,2,,,,,,,,,,,,2025-2025
MI,RD Rickelton,12,,,,,,,,,,,,2025-2025
MI,RG Sharma,11,,,,,,,,,,,,2025-2025
MI,NT Tilak Varma,12,,,,,,,,,,,,2025-2025
MI,SA Yadav,12,,,,,,,,,,,,2025-2025
RCB,JR Hazlewood,10,10,36.5,0,311,18,4/33,17.27,8.44,12.2,1,0,2025-2025
RCB,KH Pandya,11,11,35.0,0,300,14,4/45,21.42,8.57,15.0,1,0,2025-2025
RCB,B Kumar,10,10,38.0,0,339,12,3/33,28.25,8.92,19.0,0,0,2025-2025
RCB,Yash Dayal,11,11,36.0,0,346,10,2/18,34.6,9.61,21.6,0,0,2025-2025
RCB,Suyash Sharma,10,10,39.0,0,322,4,2/26,80.5,8.25,58.5,0,0,2025-2025
RCB,L Ngidi,1,1,4.0,0,30,3,3/30,10.0,7.5,8.0,0,0,2025-2025
RCB,LS Livingstone,7,5,9.0,0,76,2,2/28,38.0,8.44,27.0,0,0,2025-2025
RCB,Rasikh Salam,2,2,6.0,0,70,1,1/35,70.0,11.66,36.0,0,0,2025-2025
RCB,R Shepherd,4,3,4.0,0,51,1,1/18,51.0,12.75,24.0,0,0,2025-2025
RCB,JG Bethell,2,,,,,,,,,,,,2025-2025
RCB,MS Bhandage,1,,,,,,,,,,,,2025-2025
RCB,TH David,11,,,,,,,,,,,,2025-2025
RCB,V Kohli,11,,,,,,,,,,,,2025-2025
RCB,D Padikkal,10,,,,,,,,,,,,2025-2025
RCB,RM Patidar,11,,,,,,,,,,,,2025-2025
RCB,PD Salt,9,,,,,,,,,,,,2025-2025
RCB,JM Sharma,11,,,,,,,,,,,,2025-2025
SRH,HV Patel,10,10,34.0,0,321,14,4/28,22.92,9.44,14.5,2,0,2025-2025
SRH,PJ Cummins,11,11,39.4,0,363,13,3/19,27.92,9.15,18.3,0,0,2025-2025
SRH,JD Unadkat,5,5,15.5,0,110,7,3/35,15.71,6.94,13.5,0,0,2025-2025
SRH,E Malinga,4,4,15.0,0,142,6,2/36,23.66,9.46,15.0,0,0,2025-2025
SRH,Mohammed Shami,9,9,30.0,0,337,6,2/28,56.16,11.23,30.0,0,0,2025-2025
SRH,Zeeshan Ansari,9,9,31.5,0,311,6,3/42,51.83,9.76,31.8,0,0,2025-2025
SRH,PHKD Mendis,4,4,7.0,0,60,2,1/4,30.0,8.57,21.0,0,0,2025-2025
SRH,Simarjeet Singh,4,4,10.0,0,141,2,2/46,70.5,14.1,30.0,0,0,2025-2025
SRH,A Zampa,2,2,8.0,0,94,2,1/46,47.0,11.75,24.0,0,0,2025-2025
SRH,Abhishek Sharma,11,5,9.0,0,87,0,,,9.66,,0,0,2025-2025
SRH,RD Chahar,1,1,1.0,0,9,0,,,9.0,,0,0,2025-2025
SRH,Ishan Kishan,11,1,0.1,0,4,0,,,24.0,,0,0,2025-2025
SRH,PWA Mulder,1,1,1.0,0,16,0,,,16.0,,0,0,2025-2025
SRH,TM Head,11,,,,,,,,,,,,2025-2025
SRH,H Klaasen,11,,,,,,,,,,,,2025-2025
SRH,A Manohar,6,,,,,,,,,,,,2025-2025
