Player,Batting Form,Bowling Form,Credits,Player Type,Team
Vansh Bedi,44.13088235294118,29.98676470588235,5.0,WK,CHE
Andre Siddharth,39.65,49.84352678571428,5.5,BAT,CHE
Ramakrishna Ghosh,37.54508272058824,37.865624999999994,5.5,ALL,CHE
Shaik Rasheed,47.37333317824813,30.0,5.0,BAT,CHE
Gurjapneet Singh,29.002901785714286,42.61458333333333,6.0,BOWL,CHE
Matheesha Pathirana,39.65,67.42388392857143,8.5,BOWL,CHE
Noor Ahmad,14.751740810662696,96.27656250000001,7.5,BOWL,CHE
Anshul Kamboj,25.84254419596533,64.8763392857143,6.0,BOWL,CHE
Nathan Ellis,39.65,42.62656249999999,7.0,BOWL,CHE
Mukesh Choudhary,39.65,29.732589285714287,6.5,BOWL,CHE
Ruturaj Gaikwad,66.60721831634197,30.0,9.0,BAT,CHE
Kamlesh Nagarkoti,29.002901785714286,42.61458333333333,6.0,BOWL,CHE
Rachin Ravindra,66.99722525619744,30.0,8.0,BAT,CHE
Khaleel Ahmed,39.65,85.44955357142857,7.5,BOWL,CHE
Shivam Dube,68.01347023210035,30.0,8.0,BAT,CHE
Rahul Tripathi,42.20403717052273,30.0,7.5,BAT,CHE
Sam Curran,25.696951377388807,22.27723214285714,7.5,ALL,CHE
Shreyas Gopal,29.002901785714286,42.61458333333333,6.5,BOWL,CHE
Deepak Hooda,23.012446516338514,30.0,7.0,BAT,CHE
Devon Conway,53.97779756703662,30.0,8.0,WK,CHE
Jamie Overton,56.73877266068485,20.056696428571428,6.5,ALL,CHE
Vijay Shankar,57.7859763252072,30.0,6.5,BAT,CHE
Ravichandran Ashwin,29.54967628659347,56.651339285714286,8.0,ALL,CHE
Ravindra Jadeja,50.87996313284714,65.45111607142857,8.5,ALL,CHE
MS Dhoni,73.9278575568126,30.0,7.0,WK,CHE
Madhav Tiwari,37.54508272058824,37.865624999999994,5.0,ALL,DC
Manvanth Kumar L,37.54508272058824,37.865624999999994,5.5,ALL,DC
Tripurana Vijay,29.002901785714286,42.61458333333333,5.5,BOWL,DC
Vipraj Nigam,67.92089535912092,73.91272321428572,5.0,BOWL,DC
Tristan Stubbs,80.0888386880024,18.027678571428567,8.0,BAT,DC
Abishek Porel,69.99445449733818,30.0,6.5,WK,DC
Ashutosh Sharma,77.23332336890175,30.0,7.0,BAT,DC
Donovan Ferreira,24.047438688731248,37.865624999999994,7.0,ALL,DC
Sameer Rizvi,43.01494927221085,30.0,6.5,BAT,DC
Jake Fraser-McGurk,46.088327947647215,30.0,7.5,BAT,DC
Ajay Mandal,37.54508272058824,37.865624999999994,6.5,ALL,DC
Darshan Nalkande,29.002901785714286,42.61458333333333,6.5,BOWL,DC
T Natarajan,29.002901785714286,42.61458333333333,7.5,BOWL,DC
Mukesh Kumar,39.65,59.03861607142858,7.0,BOWL,DC
