Player,Credits,Player Type,Team,Batting Form,Bowling Form
Vansh Bedi,5.0,WK,CHE,30.0,30.0
Andre Siddharth,5.5,BAT,CHE,50.0,41.24309793664632
Ramakrishna Ghosh,5.5,ALL,CHE,30.0,30.0
Shaik Rasheed,5.0,BAT,CHE,43.53570644836141,30.0
Gurjapneet Singh,6.0,BOWL,CHE,30.0,30.0
Matheesha Pathirana,8.5,BOWL,CHE,50.0,62.80950305143854
Noor Ahmad,7.5,BOWL,CHE,13.752744933217782,93.8673350770125
Anshul Kamboj,6.0,BOWL,CHE,26.21890842411822,55.884917175239764
Nathan Ellis,7.0,BOWL,CHE,50.0,33.012205754141235
Mukesh Choudhary,6.5,BOWL,CHE,50.0,19.439843068875327
Ruturaj Gaikwad,9.0,BAT,CHE,61.57708780438817,30.0
Kamlesh Nagarkoti,6.0,BOWL,CHE,30.0,30.0
Rachin Ravindra,8.0,BAT,CHE,58.47461308715721,30.0
Khaleel Ahmed,7.5,BOWL,CHE,14.400330656589512,71.84757337983145
Shivam Dube,8.0,BAT,CHE,72.2686091966421,30.0
Rahul Tripathi,7.5,BAT,CHE,36.19690060589379,30.0
Sam Curran,7.5,ALL,CHE,53.38024577938622,20.68875326939843
Shreyas Gopal,6.5,BOWL,CHE,30.0,30.0
Deepak Hooda,7.0,BAT,CHE,30.879740867889858,30.0
Devon Conway,8.0,WK,CHE,47.46749783343685,30.0
Jamie Overton,6.5,ALL,CHE,56.74161549362305,14.099099099099101
Vijay Shankar,6.5,BAT,CHE,53.206849129097414,30.0
Ravichandran Ashwin,8.0,ALL,CHE,27.48906675990017,55.28262133100843
Ravindra Jadeja,8.5,ALL,CHE,71.53161787405294,65.3785236849753
MS Dhoni,7.0,WK,CHE,64.2835491837729,30.0
Dewald Brevis,6.5,BAT,CHE,30.0,30.0
Ayush Mhatre,6.5,BAT,CHE,76.51296776377208,30.0
Madhav Tiwari,5.0,ALL,DC,30.0,30.0
Manvanth Kumar L,5.5,ALL,DC,30.0,30.0
Tripurana Vijay,5.5,BOWL,DC,30.0,30.0
Vipraj Nigam,5.0,BOWL,DC,69.8853404572657,63.506974716652145
Tristan Stubbs,8.0,BAT,DC,76.72705302779524,12.747747747747749
Abishek Porel,6.5,WK,DC,74.73467784228909,30.0
Ashutosh Sharma,7.0,BAT,DC,74.67239054671779,30.0
Donovan Ferreira,7.0,ALL,DC,10.042877493407325,30.0
Sameer Rizvi,6.5,BAT,DC,38.29127442265276,30.0
Jake Fraser-McGurk,7.5,BAT,DC,40.45556592860942,30.0
Ajay Mandal,6.5,ALL,DC,30.0,30.0
Darshan Nalkande,6.5,BOWL,DC,30.0,30.0
T Natarajan,7.5,BOWL,DC,50.0,30.0
Mukesh Kumar,7.0,BOWL,DC,50.0,57.412816041848316
Kuldeep Yadav,8.5,BOWL,DC,35.306196742530474,86.30122057541413
Mohit Sharma,7.5,BOWL,DC,10.042877493407325,31.223481546062196
Lokesh Rahul,9.0,WK,DC,79.5243891779706,30.0
Axar Patel,9.0,ALL,DC,78.07792467427163,59.12307468759082
Dushmantha Chameera,7.0,BOWL,DC,16.318138875767595,41.113048532403376
Karun Nair,7.0,BAT,DC,73.42212274835508,30.0
Faf du Plessis,8.5,BAT,DC,58.34952707553029,30.0
Mitchell Starc,8.5,BOWL,DC,18.286883645330825,69.3018018018018
Mustafizur Rahman,6.5,BOWL,DC,30.0,30.0
Gurnoor Brar Singh,5.5,BOWL,GT,30.0,30.0
Nishant Sindhu,6.0,ALL,GT,30.0,30.0
Arshad Khan,5.5,ALL,GT,21.86986301369863,51.880993897122934
Sai Sudharsan,8.0,BAT,GT,87.77481598161117,30.0
Kumar Kushagra,5.5,WK,GT,30.0,30.0
Manav Suthar,6.0,ALL,GT,30.0,30.0
Sherfane Rutherford,7.0,BAT,GT,79.08257116183576,30.0
Gerald Coetzee,7.0,BOWL,GT,54.91326308585541,57.598808485905266
Anuj Rawat,6.5,WK,GT,30.0,30.0
Kulwant Khejroliya,6.0,BOWL,GT,50.0,34.9411508282476
Shubman Gill,9.0,BAT,GT,87.30908115406217,30.0
Ravisrinivasan Sai Kishore,7.0,BOWL,GT,17.76701542444181,86.47268235977913
Mahipal Lomror,6.5,BAT,GT,30.0,30.0
Karim Janat,6.0,ALL,GT,50.0,12.207207207207208
Washington Sundar,7.0,ALL,GT,57.890528120687804,30.887823307178152
Shahrukh Khan,7.5,ALL,GT,21.86986301369863,51.880993897122934
Mohammed Siraj,8.0,BOWL,GT,50.0,81.17480383609417
Glenn Phillips,8.0,BAT,GT,30.0,30.0
Rashid-Khan,9.0,BOWL,GT,54.04868444054318,60.19979657076433
Prasidh Krishna,7.5,BOWL,GT,50.0,96.24309793664634
Jayant Yadav,6.5,BOWL,GT,30.0,30.0
Rahul Tewatia,7.0,ALL,GT,65.0204809956148,30.0
Kagiso Rabada,8.5,BOWL,GT,36.67005196032121,33.795408311537344
Jos Buttler,9.0,WK,GT,91.12843814043792,30.0
Ishant Sharma,7.5,BOWL,GT,50.0,38.55274629468178
Harshit Rana,8.0,BOWL,KKR,27.352407767640287,72.31255448997385
Angkrish Raghuvanshi,6.5,BAT,KKR,74.10811429039013,30.0
Vaibhav Arora,6.5,BOWL,KKR,5.998011039243618,72.86762569020634
Luvnith Sisodia,5.5,WK,KKR,30.0,30.0
Mayank Markande,6.0,BOWL,KKR,30.0,30.0
Chetan Sakariya,6.0,BOWL,KKR,50.0,15.180180180180182
Rahmanullah Gurbaz,7.5,WK,KKR,50.90405286786011,30.0
Spencer Johnson,6.5,BOWL,KKR,16.318138875767595,18.931996512641675
Varun Chakravarthy,9.0,BOWL,KKR,19.95205479452055,93.97704155768673
Anrich Nortje,8.0,BOWL,KKR,24.914383561643838,50.41412380122057
Anukul Sudhakar Roy,6.0,ALL,KKR,5.998011039243618,51.39276373147341
Ramandeep Singh,7.5,ALL,KKR,37.30124712209745,30.0
Rovman Powell,7.0,BAT,KKR,24.24029230935174,30.0
Rinku Singh,7.5,BAT,KKR,73.47357071922457,30.0
Venkatesh Iyer,8.0,BAT,KKR,56.07022640119914,30.0
Moeen Ali,7.0,ALL,KKR,15.235232036123021,68.07323452484744
Quinton de Kock,8.0,WK,KKR,58.95628842627548,30.0
Andre Russell,8.5,ALL,KKR,73.02147315135443,55.45698924731184
Sunil Narine,9.0,ALL,KKR,79.24721043372176,77.09241499564081
Manish Pandey,7.0,BAT,KKR,47.8675551125311,30.0
Ajinkya Rahane,7.5,BAT,KKR,81.37506555480753,30.0
Umran Malik,6.0,BOWL,KKR,30.0,30.0
Digvesh Singh,5.0,BOWL,LSG,10.042877493407325,78.4285091543156
Prince Yadav,5.5,BOWL,LSG,18.595536136041567,37.90467887242081
Shamar Joseph,6.5,BOWL,LSG,30.0,30.0
Mayank Yadav,7.5,BOWL,LSG,50.0,27.09968032548678
Arshin Kulkarni,6.0,ALL,LSG,30.0,30.0
Akash Deep,7.0,BOWL,LSG,5.998011039243618,32.48619587329265
Akash Singh,6.0,BOWL,LSG,50.0,62.4702121476315
Yuvraj Chaudhary,5.0,ALL,LSG,30.0,30.0
Ravi Bishnoi,8.0,BOWL,LSG,27.65186956731967,52.935919790758504
Abdul Samad,6.5,BAT,LSG,75.6332436332799,13.018018018018017
Shahbaz Ahmed,7.0,ALL,LSG,28.501694196586318,13.288288288288289
Rajvardhan Hangargekar,5.5,BOWL,LSG,30.0,30.0
Ayush Badoni,7.0,BAT,LSG,79.62469268278168,30.0
Aryan Juyal,5.5,WK,LSG,30.0,30.0
Mohsin Khan,7.0,BOWL,LSG,30.0,30.0
Matthew Breetzke,6.5,BAT,LSG,30.0,30.0
Manimaran Siddharth,6.0,BOWL,LSG,50.0,41.24309793664632
Rishabh Pant,9.0,WK,LSG,46.65812191520462,30.0
Himmat Singh,5.5,BAT,LSG,50.0,30.0
Aiden Markram,8.0,ALL,LSG,79.97449685522895,60.66695727986051
Avesh Khan,8.0,BOWL,LSG,55.654217452270515,57.78116826503924
Nicholas Pooran,8.5,WK,LSG,96.0620418137388,30.0
David Miller,8.0,BAT,LSG,54.294842277922626,30.0
Mitchell Marsh,8.0,BAT,LSG,86.96632342603372,30.0
Bevon Jacobs,6.0,BAT,MI,30.0,30.0
Naman Dhir,6.5,ALL,MI,74.40888346679857,41.93693693693693
Robin Minz,5.5,WK,MI,30.0,30.0
Raj Angad Bawa,5.5,BAT,MI,50.0,30.0
Vignesh Puthur,5.0,BOWL,MI,50.0,66.60418482999128
Satyanarayana Raju,5.5,ALL,MI,19.95205479452055,17.59590235396687
Ashwani Kumar,5.5,BOWL,MI,50.0,59.25385062481837
Tilak Varma,8.0,BAT,MI,69.19970783942512,30.0
KL Shrijith,6.0,WK,MI,30.0,30.0
Mujeeb-ur-Rahman,7.0,BOWL,MI,50.0,23.45030514385353
Ryan Rickelton,7.5,WK,MI,82.61588788175214,30.0
Arjun Tendulkar,5.0,BOWL,MI,30.0,30.0
Will Jacks,7.5,ALL,MI,61.51575268077319,70.69238593432142
Hardik Pandya,9.0,ALL,MI,70.91467646610305,77.19412961348446
Mitchell Santner,7.5,ALL,MI,44.014041746789204,53.990845684394074
Reece Topley,6.5,BOWL,MI,30.0,30.0
Corbin Bosch,6.0,ALL,MI,50.727417531122256,40.94812554489974
Jasprit Bumrah,9.0,BOWL,MI,8.379900803023146,90.56378959604767
Trent Boult,8.5,BOWL,MI,15.957970534741259,88.722028480093
Suryakumar Yadav,9.0,BAT,MI,94.73408459452725,30.0
Deepak Chahar,8.0,BOWL,MI,51.59403441952845,66.17698343504796
Karn Sharma,6.5,BOWL,MI,19.95205479452055,73.67916303400175
Rohit Sharma,9.0,BAT,MI,80.7368044216485,30.0
Musheer Khan,6.0,ALL,PBKS,30.0,30.0
Harnoor Singh Pannu,5.0,BAT,PBKS,30.0,30.0
Pyla Avinash,5.5,BAT,PBKS,30.0,30.0
Suryansh Shedge,5.5,ALL,PBKS,19.169527521860903,14.639639639639642
Harpreet Brar,6.5,BOWL,PBKS,50.0,59.7951176983435
Priyansh Arya,6.5,BAT,PBKS,92.41009134899706,30.0
Kuldeep Sen,6.0,BOWL,PBKS,30.0,30.0
Marco Jansen,8.0,ALL,PBKS,46.440874212877375,73.23307178145888
Nehal Wadhera,7.5,BAT,PBKS,71.41016294786486,20.585585585585584
Prabhsimran Singh,7.5,WK,PBKS,92.12470291119136,30.0
Aaron Hardie,7.0,ALL,PBKS,30.0,30.0
Arshdeep Singh,8.5,BOWL,PBKS,12.21659122439643,91.01496657948272
Azmatullah Omarzai,7.5,ALL,PBKS,34.736153522850266,41.90206335367626
Vishnu Vinod,6.5,WK,PBKS,30.0,30.0
Xavier Bartlett,6.5,BOWL,PBKS,24.765748031496063,41.04039523394363
Shashank Singh,7.5,BAT,PBKS,68.555039072525,14.36936936936937
Lockie Ferguson,7.5,BOWL,PBKS,49.67465753424658,61.263440860215056
Josh Inglis,7.5,WK,PBKS,53.7412249543441,30.0
Vyshak Vijaykumar,7.0,BOWL,PBKS,50.0,15.45045045045045
Pravin Dubey,6.0,BOWL,PBKS,30.0,30.0
Yash Thakur,6.5,BOWL,PBKS,50.0,18.306451612903224
Shreyas Iyer,8.5,BAT,PBKS,93.50246969601167,30.0
Marcus Stoinis,8.0,ALL,PBKS,62.795400191178274,17.47747747747748
Yuzvendra Chahal,8.5,BOWL,PBKS,50.0,72.37939552455683
Glenn Maxwell,8.5,ALL,PBKS,34.973497260645914,60.732345248474275
Abhinandan Singh,5.0,BOWL,RCB,30.0,30.0
