Credits,Player Type,Bowler Type,Player Name,Team,ESPN player name
5.0,WK,-,Vansh Bedi,CHE,-
5.5,BAT,-,Andre Siddharth,CHE,M Siddharth
5.5,ALL,-,Ramakrishna Ghosh,CHE,-
5.0,BAT,-,Shaik Rasheed,CHE,SK Rasheed
6.0,BOWL,PACE,Gurjapneet Singh,CHE,-
8.5,BOWL,PACE,Matheesha Pathirana,CHE,M Pathirana
7.5,BOWL,SPIN,Noor Ahmad,CHE,Noor Ahmad
6.0,BOWL,PACE,Anshul Kamboj,CHE,A Kamboj
7.0,BOWL,PACE,Nathan Ellis,CHE,NT Ellis
6.5,BOWL,PACE,Mukesh Choudhary,CHE,Mukesh Choudhary
9.0,BAT,-,Ruturaj Gaikwad,CHE,RD Gaikwad
6.0,BOWL,PACE,Kamlesh Nagarkoti,CHE,KL Nagarkoti
8.0,BAT,SPIN,Rachin Ravindra,CHE,R Ravindra
7.5,BOWL,PACE,Khaleel Ahmed,CHE,KK Ahmed
8.0,BAT,-,Shivam Dube,CHE,S Dube
7.5,BAT,-,Rahul Tripathi,CHE,RA Tripathi
7.5,ALL,PACE,Sam Curran,CHE,SM Curran
6.5,BOWL,SPIN,Shreyas Gopal,CHE,S Gopal
7.0,BAT,SPIN,Deepak Hooda,CHE,DJ Hooda
8.0,WK,-,Devon Conway,CHE,DP Conway
6.5,ALL,PACE,Jamie Overton,CHE,J Overton
6.5,BAT,-,Vijay Shankar,CHE,V Shankar
8.0,ALL,SPIN,Ravichandran Ashwin,CHE,R Ashwin
8.5,ALL,SPIN,Ravindra Jadeja,CHE,RA Jadeja
7.0,WK,-,MS Dhoni,CHE,MS Dhoni
5.0,ALL,-,Madhav Tiwari,DC,–
5.5,ALL,-,Manvanth Kumar L,DC,-
5.5,BOWL,-,Tripurana Vijay,DC,-
5.0,BOWL,SPIN,Vipraj Nigam,DC,V Nigam
8.0,BAT,-,Tristan Stubbs,DC,T Stubbs
6.5,WK,-,Abishek Porel,DC,Abishek Porel
7.0,BAT,-,Ashutosh Sharma,DC,AR Sharma
7.0,ALL,-,Donovan Ferreira,DC,D Ferreira
6.5,BAT,-,Sameer Rizvi,DC,Sameer Rizvi
7.5,BAT,-,Jake Fraser-McGurk,DC,J Fraser-McGurk
6.5,ALL,-,Ajay Mandal,DC,AJ Mandal
6.5,BOWL,PACE,Darshan Nalkande,DC,DG Nalkande
7.5,BOWL,PACE,T Natarajan,DC,T Natarajan
7.0,BOWL,PACE,Mukesh Kumar,DC,Mukesh Kumar
