Team,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
KKR,VR Iyer,2021-2024,51,49,7,1326,104,31.57,967,137.12,1,11,2,121,61
KKR,N Rana,2021-2024,47,46,5,1199,80,29.24,892,134.41,0,7,3,107,60
KKR,AD Russell,2021-2024,53,44,10,967,70,28.44,588,164.45,0,3,3,65,80
KKR,RK Singh,2022-2024,36,32,10,816,67,37.09,547,149.17,0,4,0,61,44
KKR,SS Iyer,2022-2024,29,28,6,752,85,34.18,537,140.03,0,5,1,75,25
KKR,SP Narine,2021-2024,57,44,7,642,109,17.35,382,168.06,1,3,10,61,45
KKR,Shubman Gill,2021-2021,17,17,0,478,57,28.11,402,118.9,0,3,1,50,12
KKR,PD Salt,2024-2024,12,12,1,435,89,39.54,239,182.0,0,4,1,50,24
KKR,RA Tripathi,2021-2021,17,16,2,397,74,28.35,283,140.28,0,2,0,41,11
KKR,Rahmanullah Gurbaz,2023-2024,14,13,0,289,81,22.23,216,133.79,0,2,2,24,19
KKR,JJ Roy,2023-2023,8,8,0,285,61,35.62,188,151.59,0,2,0,36,12
KKR,KD Karthik,2021-2021,17,15,5,223,40,22.3,170,131.17,0,0,1,22,7
KKR,SW Billings,2022-2022,8,8,1,169,36,24.14,138,122.46,0,0,0,9,10
KKR,A Raghuvanshi,2024-2024,10,7,0,163,54,23.28,105,155.23,0,1,0,16,8
KKR,PJ Cummins,2021-2022,12,10,3,156,66,22.28,80,195.0,0,2,3,10,14
KKR,EJG Morgan,2021-2021,17,16,4,133,47,11.08,139,95.68,0,0,4,8,6
KKR,AM Rahane,2022-2022,7,7,0,133,44,19.0,128,103.9,0,0,0,14,4
KKR,Ramandeep Singh,2024-2024,15,9,5,125,35,31.25,62,201.61,0,0,0,5,12
KKR,SN Thakur,2023-2023,11,10,2,113,68,14.12,70,161.42,0,1,2,13,4
KKR,N Jagadeesan,2023-2023,6,6,0,89,36,14.83,81,109.87,0,0,1,14,1
KKR,AJ Finch,2022-2022,5,5,0,86,58,17.2,61,140.98,0,1,0,10,3
KKR,UT Yadav,2022-2023,20,12,6,74,21,12.33,58,127.58,0,0,2,5,4
KKR,Shakib Al Hasan,2021-2021,8,6,1,47,26,9.4,48,97.91,0,0,2,3,1
KKR,MK Pandey,2024-2024,1,1,0,42,42,42.0,31,135.48,0,0,0,2,2
KKR,Shivam Mavi,2021-2022,15,5,1,28,20,7.0,27,103.7,0,0,1,2,2
KKR,AS Roy,2022-2024,10,6,3,26,13,8.66,24,108.33,0,0,2,3,0
KKR,SP Jackson,2022-2022,5,5,1,23,8,5.75,26,88.46,0,0,1,0,1
KKR,B Indrajith,2022-2022,3,3,0,21,15,7.0,30,70.0,0,0,1,2,0
KKR,D Wiese,2023-2023,3,3,2,21,12,21.0,11,190.9,0,0,0,0,3
KKR,LH Ferguson,2021-2023,11,3,3,18,18,,11,163.63,0,0,0,1,1
KKR,CV Varun,2021-2024,57,9,7,15,10,7.5,31,48.38,0,0,1,2,0
KKR,Mandeep Singh,2023-2023,3,3,0,14,12,4.66,16,87.5,0,0,1,0,1
KKR,MA Starc,2024-2024,14,5,3,9,6,4.5,11,81.81,0,0,2,1,0
KKR,Rasikh Salam,2022-2022,2,1,0,7,7,7.0,6,116.66,0,0,0,1,0
KKR,Aman Hakim Khan,2022-2022,1,1,0,5,5,5.0,3,166.66,0,0,0,1,0
KKR,TG Southee,2021-2023,14,6,1,5,3,1.0,17,29.41,0,0,3,0,0
KKR,VG Arora,2023-2024,15,4,4,4,2,,3,133.33,0,0,0,0,0
KKR,Harbhajan Singh,2021-2021,3,2,2,4,2,,4,100.0,0,0,0,0,0
KKR,Litton Das,2023-2023,1,1,0,4,4,4.0,4,100.0,0,0,0,1,0
KKR,A Tomar,2022-2022,1,1,0,4,4,4.0,8,50.0,0,0,0,1,0
KKR,Harshit Rana,2022-2024,21,3,1,2,2,1.0,3,66.66,0,0,1,0,0
KKR,TL Seifert,2021-2021,1,1,0,2,2,2.0,4,50.0,0,0,0,0,0
KKR,KL Nagarkoti,2021-2021,1,1,0,0,0,0.0,2,0.0,0,0,1,0,0
KKR,M Prasidh Krishna,2021-2021,10,2,1,0,0,0.0,1,0.0,0,0,1,0,0
KKR,PVD Chameera,2024-2024,1,,,,,,,,,,,,
KKR,K Khejroliya,2023-2023,2,,,,,,,,,,,,
KKR,S Sandeep Warrier,2021-2021,1,,,,,,,,,,,,
KKR,Suyash Sharma,2023-2024,13,,,,,,,,,,,,
CSK,RD Gaikwad,2021-2024,60,59,6,2176,108,41.05,1570,138.59,2,15,4,201,85
CSK,S Dube,2022-2024,41,39,7,1103,95,34.46,693,159.16,0,8,3,62,79
CSK,DP Conway,2022-2023,23,22,3,924,92,48.63,654,141.28,0,9,2,99,30
CSK,MM Ali,2021-2024,48,40,4,853,93,23.69,626,136.26,0,3,4,74,44
CSK,RA Jadeja,2021-2024,56,45,22,800,62,34.78,574,139.37,0,2,2,58,31
CSK,AT Rayudu,2021-2023,45,36,6,689,78,22.96,507,135.89,0,3,2,51,41
CSK,F du Plessis,2021-2021,16,16,2,633,95,45.21,458,138.2,0,6,2,60,23
CSK,MS Dhoni,2021-2024,60,47,26,611,50,29.09,425,143.76,0,1,3,50,36
CSK,AM Rahane,2023-2024,27,23,1,568,71,25.81,385,147.53,0,2,0,47,23
CSK,RV Uthappa,2021-2022,16,15,0,345,88,23.0,255,135.29,0,3,1,27,19
CSK,DJ Mitchell,2024-2024,13,13,2,318,63,28.9,223,142.6,0,2,0,27,10
CSK,R Ravindra,2024-2024,10,10,0,222,61,22.2,138,160.86,0,1,1,22,12
CSK,SK Raina,2021-2021,12,11,2,160,54,17.77,128,125.0,0,1,0,13,9
CSK,DJ Bravo,2021-2022,21,9,6,70,23,23.33,42,166.66,0,0,1,4,5
CSK,SM Curran,2021-2021,9,4,1,56,34,18.66,29,193.1,0,0,0,5,3
CSK,Sameer Rizvi,2024-2024,8,5,1,51,21,12.75,43,118.6,0,0,1,4,2
CSK,D Pretorius,2022-2023,7,5,1,44,22,11.0,28,157.14,0,0,1,3,3
CSK,N Jagadeesan,2022-2022,2,2,1,40,39,40.0,37,108.1,0,0,0,3,1
CSK,MJ Santner,2022-2024,12,9,4,38,11,7.6,48,79.16,0,0,1,4,0
CSK,SN Thakur,2021-2024,25,7,4,26,17,8.66,22,118.18,0,0,1,2,1
CSK,BA Stokes,2023-2023,2,2,0,15,8,7.5,14,107.14,0,0,0,2,0
CSK,CJ Jordan,2022-2022,4,2,1,11,6,11.0,8,137.5,0,0,0,0,0
CSK,Simarjeet Singh,2022-2024,10,3,2,7,3,7.0,8,87.5,0,0,0,0,0
CSK,M Theekshana,2022-2024,27,2,1,7,7,7.0,7,100.0,0,0,1,0,1
CSK,Mukesh Choudhary,2022-2024,14,2,1,6,4,6.0,6,100.0,0,0,0,1,0
CSK,DL Chahar,2021-2024,33,3,3,2,1,,3,66.66,0,0,0,0,0
CSK,RJ Gleeson,2024-2024,2,1,1,2,2,,2,100.0,0,0,0,0,0
CSK,TU Deshpande,2022-2024,31,2,2,0,0,,2,0.0,0,0,0,0,0
CSK,Akash Singh,2023-2023,6,,,,,,,,,,,,
CSK,KM Asif,2021-2021,1,,,,,,,,,,,,
CSK,RS Hangargekar,2023-2023,2,,,,,,,,,,,,
CSK,JR Hazlewood,2021-2021,9,,,,,,,,,,,,
CSK,Imran Tahir,2021-2021,1,,,,,,,,,,,,
CSK,SSB Magala,2023-2023,2,,,,,,,,,,,,
CSK,AF Milne,2022-2022,1,,,,,,,,,,,,
