Team,Player,Span,Mat,Inns,Dis,Ct,St,Ct Wk,Ct Fi,MD,D/I
KKR,RK Singh,2022-2024,36,35,23,23,0,0,23,,0.657
KKR,VR Iyer,2021-2024,51,50,18,18,0,0,18,,0.36
KKR,SS Iyer,2022-2024,29,28,15,15,0,0,15,,0.535
KKR,Rahmanullah Gurbaz,2023-2024,14,13,15,15,0,15,0,,1.153
KKR,SP Narine,2021-2024,57,56,14,14,0,0,14,,0.25
KKR,N Rana,2021-2024,47,47,13,13,0,0,13,,0.276
KKR,AD Russell,2021-2024,53,52,13,13,0,0,13,,0.25
KKR,PD Salt,2024-2024,12,12,12,12,0,12,0,,1.0
KKR,CV Varun,2021-2024,57,56,11,11,0,0,11,,0.196
KKR,EJG Morgan,2021-2021,17,17,9,9,0,0,9,,0.529
KKR,Shivam Mavi,2021-2022,15,15,9,9,0,0,9,,0.6
KKR,Ramandeep Singh,2024-2024,15,14,8,8,0,0,8,,0.571
KKR,RA Tripathi,2021-2021,17,17,8,8,0,0,8,,0.47
KKR,UT Yadav,2022-2023,20,20,8,8,0,0,8,,0.4
KKR,SW Billings,2022-2022,8,8,7,6,1,6,0,,0.875
KKR,SP Jackson,2022-2022,5,5,7,5,2,5,0,,1.4
KKR,KD Karthik,2021-2021,17,17,7,5,2,5,0,,0.411
KKR,Harshit Rana,2022-2024,21,20,6,6,0,0,6,,0.3
KKR,Shubman Gill,2021-2021,17,17,6,6,0,0,6,,0.352
KKR,TG Southee,2021-2023,14,14,6,6,0,0,6,,0.428
KKR,MA Starc,2024-2024,14,13,6,6,0,0,6,,0.461
KKR,VG Arora,2023-2024,15,15,4,4,0,0,4,,0.266
KKR,A Raghuvanshi,2024-2024,10,10,4,4,0,0,4,,0.4
KKR,SN Thakur,2023-2023,11,11,4,4,0,0,4,,0.363
KKR,PJ Cummins,2021-2022,12,12,3,3,0,0,3,,0.25
KKR,LH Ferguson,2021-2023,11,11,3,3,0,0,3,,0.272
KKR,M Prasidh Krishna,2021-2021,10,10,3,3,0,0,3,,0.3
KKR,AM Rahane,2022-2022,7,7,3,3,0,0,3,,0.428
KKR,AS Roy,2022-2024,10,9,3,3,0,0,3,,0.333
KKR,Shakib Al Hasan,2021-2021,8,8,3,3,0,0,3,,0.375
KKR,MK Pandey,2024-2024,1,1,2,2,0,0,2,,2.0
KKR,JJ Roy,2023-2023,8,8,2,2,0,0,2,,0.25
KKR,D Wiese,2023-2023,3,3,2,2,0,0,2,,0.666
KKR,AJ Finch,2022-2022,5,5,1,1,0,0,1,,0.2
KKR,Harbhajan Singh,2021-2021,3,3,1,1,0,0,1,,0.333
KKR,B Indrajith,2022-2022,3,3,1,1,0,1,0,,0.333
KKR,N Jagadeesan,2023-2023,6,6,1,1,0,0,1,,0.166
KKR,Suyash Sharma,2023-2024,13,13,1,1,0,0,1,,0.076
KKR,Aman Hakim Khan,2022-2022,1,1,0,0,0,0,0,0,0.0
KKR,PVD Chameera,2024-2024,1,1,0,0,0,0,0,0,0.0
KKR,K Khejroliya,2023-2023,2,2,0,0,0,0,0,0,0.0
KKR,Litton Das,2023-2023,1,1,0,0,0,0,0,0,0.0
KKR,Mandeep Singh,2023-2023,3,3,0,0,0,0,0,0,0.0
KKR,KL Nagarkoti,2021-2021,1,1,0,0,0,0,0,0,0.0
KKR,Rasikh Salam,2022-2022,2,2,0,0,0,0,0,0,0.0
KKR,S Sandeep Warrier,2021-2021,1,1,0,0,0,0,0,0,0.0
KKR,TL Seifert,2021-2021,1,1,0,0,0,0,0,0,0.0
KKR,A Tomar,2022-2022,1,1,0,0,0,0,0,0,0.0
CSK,MS Dhoni,2021-2024,60,60,42,39,3,39,0,,0.7
CSK,RA Jadeja,2021-2024,56,56,35,35,0,0,35,,0.625
CSK,RD Gaikwad,2021-2024,60,60,32,32,0,0,32,,0.533
CSK,MM Ali,2021-2024,48,48,18,18,0,0,18,,0.375
CSK,S Dube,2022-2024,41,41,14,14,0,0,14,,0.341
CSK,F du Plessis,2021-2021,16,16,12,12,0,0,12,,0.75
CSK,DJ Mitchell,2024-2024,13,13,9,9,0,0,9,,0.692
CSK,AM Rahane,2023-2024,27,27,9,9,0,0,9,,0.333
CSK,DP Conway,2022-2023,23,23,8,8,0,0,8,,0.347
CSK,R Ravindra,2024-2024,10,10,8,8,0,0,8,,0.8
CSK,AT Rayudu,2021-2023,45,45,8,8,0,0,8,,0.177
CSK,SK Raina,2021-2021,12,12,7,7,0,0,7,,0.583
CSK,DL Chahar,2021-2024,33,33,6,6,0,0,6,,0.181
CSK,M Pathirana,2022-2024,20,20,6,6,0,0,6,,0.3
CSK,SN Thakur,2021-2024,25,25,6,6,0,0,6,,0.24
CSK,DJ Bravo,2021-2022,21,21,5,5,0,0,5,,0.238
CSK,TU Deshpande,2022-2024,31,31,5,5,0,0,5,,0.161
CSK,RV Uthappa,2021-2022,16,16,5,5,0,0,5,,0.312
CSK,CJ Jordan,2022-2022,4,4,4,4,0,0,4,,1.0
CSK,MJ Santner,2022-2024,12,12,4,4,0,0,4,,0.333
CSK,M Theekshana,2022-2024,27,27,4,4,0,0,4,,0.148
CSK,Mukesh Choudhary,2022-2024,14,14,3,3,0,0,3,,0.214
CSK,D Pretorius,2022-2023,7,7,3,3,0,0,3,,0.428
CSK,Simarjeet Singh,2022-2024,10,10,3,3,0,0,3,,0.3
CSK,BA Stokes,2023-2023,2,2,2,2,0,0,2,,1.0
CSK,Akash Singh,2023-2023,6,6,1,1,0,0,1,,0.166
CSK,SM Curran,2021-2021,9,9,1,1,0,0,1,,0.111
CSK,JR Hazlewood,2021-2021,9,9,1,1,0,0,1,,0.111
CSK,SSB Magala,2023-2023,2,2,1,1,0,0,1,,0.5
CSK,Mustafizur Rahman,2024-2024,9,9,1,1,0,0,1,,0.111
CSK,L Ngidi,2021-2021,3,3,1,1,0,0,1,,0.333
CSK,Sameer Rizvi,2024-2024,8,8,1,1,0,0,1,,0.125
CSK,KM Asif,2021-2021,1,1,0,0,0,0,0,0,0.0
CSK,RJ Gleeson,2024-2024,2,2,0,0,0,0,0,0,0.0
CSK,RS Hangargekar,2023-2023,2,2,0,0,0,0,0,0,0.0
CSK,Imran Tahir,2021-2021,1,1,0,0,0,0,0,0,0.0
CSK,N Jagadeesan,2022-2022,2,2,0,0,0,0,0,0,0.0
CSK,AF Milne,2022-2022,1,1,0,0,0,0,0,0,0.0
CSK,PH Solanki,2022-2022,2,2,0,0,0,0,0,0,0.0
MI,Ishan Kishan,2021-2024,54,54,38,35,3,35,0,,0.703
MI,NT Tilak Varma,2022-2024,38,38,23,23,0,0,23,,0.605
MI,TH David,2022-2024,37,37,22,22,0,0,22,,0.594
MI,SA Yadav,2021-2024,49,49,18,18,0,0,18,,0.367
MI,KA Pollard,2021-2022,25,25,13,13,0,0,13,,0.52
MI,RG Sharma,2021-2024,57,57,12,12,0,0,12,,0.21
MI,HH Pandya,2021-2024,26,26,8,8,0,0,8,,0.307
MI,JJ Bumrah,2021-2024,41,41,7,7,0,0,7,,0.17
MI,Mohammad Nabi,2024-2024,7,7,7,7,0,0,7,,1.0
MI,DR Sams,2022-2022,11,11,7,7,0,0,7,,0.636
MI,Q de Kock,2021-2021,11,11,6,4,2,4,0,,0.545
MI,KH Pandya,2021-2021,13,13,6,6,0,0,6,,0.461
MI,N Wadhera,2023-2024,20,20,6,6,0,0,6,,0.3
MI,TA Boult,2021-2021,14,14,5,5,0,0,5,,0.357
MI,C Green,2023-2023,16,16,5,5,0,0,5,,0.312
MI,HR Shokeen,2022-2023,13,13,5,5,0,0,5,,0.384
MI,D Brevis,2022-2024,10,10,3,3,0,0,3,,0.3
MI,RD Chahar,2021-2021,11,11,3,3,0,0,3,,0.272
MI,PP Chawla,2021-2024,28,28,3,3,0,0,3,,0.107
MI,A Kamboj,2024-2024,3,3,3,3,0,0,3,,1.0
MI,Naman Dhir,2024-2024,7,7,3,3,0,0,3,,0.428
MI,Arshad Khan,2023-2023,6,6,2,2,0,0,2,,0.333
MI,JP Behrendorff,2023-2023,12,12,2,2,0,0,2,,0.166
MI,G Coetzee,2024-2024,10,10,2,2,0,0,2,,0.2
MI,NM Coulter-Nile,2021-2021,5,5,2,2,0,0,2,,0.4
MI,D Jansen,2023-2023,1,1,2,2,0,0,2,,2.0
MI,CA Lynn,2021-2021,1,1,2,2,0,0,2,,2.0
MI,M Markande,2022-2022,2,2,2,2,0,0,2,,1.0
MI,RP Meredith,2022-2023,13,13,2,2,0,0,2,,0.153
MI,AF Milne,2021-2021,4,4,2,2,0,0,2,,0.5
MI,J Yadav,2021-2021,5,5,2,2,0,0,2,,0.4
MI,JC Archer,2023-2023,5,5,1,1,0,0,1,,0.2
MI,Basil Thampi,2022-2022,5,5,1,1,0,0,1,,0.2
MI,S Gopal,2024-2024,3,3,1,1,0,0,1,,0.333
MI,R Goyal,2023-2023,1,1,1,1,0,0,1,,1.0
MI,M Jansen,2021-2021,2,2,1,1,0,0,1,,0.5
MI,CJ Jordan,2023-2023,6,6,1,1,0,0,1,,0.166
MI,K Kartikeya,2022-2023,12,12,1,1,0,0,1,,0.083
MI,A Madhwal,2023-2024,13,13,1,1,0,0,1,,0.076
MI,Ramandeep Singh,2022-2022,5,5,1,1,0,0,1,,0.2
MI,N Thushara,2024-2024,7,7,1,1,0,0,1,,0.142
MI,SS Tiwary,2021-2021,5,5,1,1,0,0,1,,0.2
MI,JD Unadkat,2022-2022,5,5,1,1,0,0,1,,0.2
MI,FA Allen,2022-2022,1,1,0,0,0,0,0,0,0.0
MI,Anmolpreet Singh,2021-2022,3,3,0,0,0,0,0,0,0.0
MI,M Ashwin,2022-2022,8,8,0,0,0,0,0,0,0.0
MI,DS Kulkarni,2021-2021,1,1,0,0,0,0,0,0,0.0
MI,KT Maphaka,2024-2024,2,2,0,0,0,0,0,0,0.0
MI,TS Mills,2022-2022,5,5,0,0,0,0,0,0,0.0
MI,SZ Mulani,2024-2024,2,2,0,0,0,0,0,0,0.0
MI,JDS Neesham,2021-2021,3,3,0,0,0,0,0,0,0.0
MI,R Sanjay Yadav,2022-2022,1,1,0,0,0,0,0,0,0.0
MI,R Shepherd,2024-2024,6,6,0,0,0,0,0,0,0.0
MI,T Stubbs,2022-2023,4,4,0,0,0,0,0,0,0.0
MI,AS Tendulkar,2023-2024,5,5,0,0,0,0,0,0,0.0
MI,Vishnu Vinod,2023-2023,3,3,0,0,0,0,0,0,0.0
MI,L Wood,2024-2024,2,2,0,0,0,0,0,0,0.0
RCB,V Kohli,2021-2024,60,60,38,38,0,0,38,,0.633
RCB,KD Karthik,2022-2024,44,44,27,22,5,22,0,,0.613
RCB,GJ Maxwell,2021-2024,52,52,17,17,0,0,17,,0.326
RCB,Mohammed Siraj,2021-2024,58,58,17,17,0,0,17,,0.293
RCB,Shahbaz Ahmed,2021-2023,37,37,17,17,0,0,17,,0.459
RCB,AB de Villiers,2021-2021,15,15,15,15,0,8,7,,1.0
RCB,F du Plessis,2022-2024,45,45,15,15,0,0,15,,0.333
RCB,Anuj Rawat,2022-2024,22,22,13,13,0,6,7,,0.59
RCB,DT Christian,2021-2021,9,9,9,9,0,0,9,,1.0
RCB,MK Lomror,2022-2024,29,29,9,9,0,0,9,,0.31
RCB,HV Patel,2021-2023,44,44,8,8,0,0,8,,0.181
RCB,RM Patidar,2021-2024,27,27,8,8,0,0,8,,0.296
RCB,D Padikkal,2021-2021,14,14,7,7,0,0,7,,0.5
RCB,SS Prabhudessai,2022-2024,11,11,6,6,0,0,6,,0.545
RCB,KV Sharma,2023-2024,16,16,6,6,0,0,6,,0.375
RCB,KS Bharat,2021-2021,8,8,5,4,1,4,0,,0.625
RCB,C Green,2024-2024,13,13,5,5,0,0,5,,0.384
RCB,YS Chahal,2021-2021,15,15,4,4,0,0,4,,0.266
RCB,LH Ferguson,2024-2024,7,7,4,4,0,0,4,,0.571
RCB,WD Parnell,2023-2023,7,7,4,4,0,0,4,,0.571
RCB,V Vyshak,2023-2024,11,11,4,4,0,0,4,,0.363
RCB,Akash Deep,2022-2024,8,8,3,3,0,0,3,,0.375
RCB,MJ Dagar,2024-2024,5,5,3,3,0,0,3,,0.6
RCB,PW Hasaranga,2021-2023,26,26,3,3,0,0,3,,0.115
RCB,WG Jacks,2024-2024,8,8,3,3,0,0,3,,0.375
RCB,Yash Dayal,2024-2024,14,14,3,3,0,0,3,,0.214
RCB,KA Jamieson,2021-2021,9,9,2,2,0,0,2,,0.222
RCB,Swapnil Singh,2024-2024,7,7,2,2,0,0,2,,0.285
RCB,Washington Sundar,2021-2021,6,6,2,2,0,0,2,,0.333
RCB,DJ Willey,2022-2023,8,8,2,2,0,0,2,,0.25
RCB,MG Bracewell,2023-2023,5,5,1,1,0,0,1,,0.2
RCB,GHS Garton,2021-2021,5,5,1,1,0,0,1,,0.2
RCB,JR Hazlewood,2022-2023,15,15,1,1,0,0,1,,0.066
RCB,KM Jadhav,2023-2023,2,2,1,1,0,0,1,,0.5
RCB,KW Richardson,2021-2021,1,1,1,1,0,0,1,,1.0
RCB,NA Saini,2021-2021,2,2,1,1,0,0,1,,0.5
RCB,RJW Topley,2023-2024,5,5,1,1,0,0,1,,0.2
RCB,SD Chauhan,2024-2024,3,3,0,0,0,0,0,0,0.0
RCB,TH David,2021-2021,1,1,0,0,0,0,0,0,0.0
RCB,AS Joseph,2024-2024,3,3,0,0,0,0,0,0,0.0
RCB,S Kaul,2022-2022,1,1,0,0,0,0,0,0,0.0
RCB,SE Rutherford,2022-2022,3,3,0,0,0,0,0,0,0.0
RCB,Sachin Baby,2021-2021,1,1,0,0,0,0,0,0,0.0
RCB,DR Sams,2021-2021,2,2,0,0,0,0,0,0,0.0
RCB,H Sharma,2023-2024,2,2,0,0,0,0,0,0,0.0
SRH,Abdul Samad,2021-2024,38,38,22,22,0,0,22,,0.578
SRH,AK Markram,2022-2024,38,38,22,22,0,0,22,,0.578
SRH,KS Williamson,2021-2022,23,23,17,17,0,0,17,,0.739
SRH,Abhishek Sharma,2021-2024,49,49,14,14,0,0,14,,0.285
SRH,H Klaasen,2023-2024,28,28,14,11,3,11,0,,0.5
SRH,M Jansen,2022-2024,19,19,12,12,0,0,12,,0.631
SRH,RA Tripathi,2022-2024,33,33,10,10,0,0,10,,0.303
SRH,N Pooran,2022-2022,14,14,9,8,1,8,0,,0.642
SRH,MA Agarwal,2023-2024,14,14,8,8,0,0,8,,0.571
SRH,PJ Cummins,2024-2024,16,16,7,7,0,0,7,,0.437
SRH,B Kumar,2021-2024,55,55,6,6,0,0,6,,0.109
SRH,T Natarajan,2021-2024,39,39,6,6,0,0,6,,0.153
SRH,K Nitish Kumar Reddy,2023-2024,15,15,6,6,0,0,6,,0.4
SRH,WP Saha,2021-2021,9,9,6,6,0,6,0,,0.666
SRH,Umran Malik,2021-2024,26,26,6,6,0,0,6,,0.23
SRH,Mohammad Nabi,2021-2021,3,3,5,5,0,0,5,,1.666
SRH,MK Pandey,2021-2021,8,8,5,5,0,0,5,,0.625
SRH,JM Bairstow,2021-2021,7,7,3,2,1,2,0,,0.428
SRH,HC Brook,2023-2023,11,11,3,3,0,0,3,,0.272
SRH,PK Garg,2021-2022,7,7,3,3,0,0,3,,0.428
SRH,M Markande,2023-2024,17,17,3,3,0,0,3,,0.176
SRH,JJ Roy,2021-2021,5,5,3,3,0,0,3,,0.6
SRH,Shahbaz Ahmed,2024-2024,16,16,3,3,0,0,3,,0.187
SRH,Sanvir Singh,2023-2024,6,6,3,3,0,0,3,,0.5
SRH,V Shankar,2021-2021,7,7,3,3,0,0,3,,0.428
SRH,Shashank Singh,2022-2022,10,10,3,3,0,0,3,,0.3
SRH,Washington Sundar,2022-2024,18,18,3,3,0,0,3,,0.166
SRH,JO Holder,2021-2021,8,8,2,2,0,0,2,,0.25
SRH,KM Jadhav,2021-2021,6,6,2,2,0,0,2,,0.333
SRH,Rashid Khan,2021-2021,14,14,2,2,0,0,2,,0.142
SRH,J Suchith,2021-2022,7,7,2,2,0,0,2,,0.285
SRH,Virat Singh,2021-2021,3,3,2,2,0,0,2,,0.666
SRH,V Viyaskanth,2024-2024,3,3,2,2,0,0,2,,0.666
SRH,DA Warner,2021-2021,8,8,2,2,0,0,2,,0.25
SRH,SA Abbott,2022-2022,1,1,1,1,0,0,1,,1.0
SRH,Anmolpreet Singh,2023-2024,6,6,1,1,0,1,0,,0.166
SRH,Fazalhaq Farooqi,2022-2023,7,7,1,1,0,0,1,,0.142
SRH,S Kaul,2021-2021,8,8,1,1,0,0,1,,0.125
SRH,S Nadeem,2021-2021,1,1,1,1,0,0,1,,1.0
SRH,GD Phillips,2023-2023,5,5,1,1,0,0,1,,0.2
SRH,Sandeep Sharma,2021-2021,7,7,1,1,0,0,1,,0.142
SRH,KK Ahmed,2021-2021,7,7,0,0,0,0,0,0,0.0
SRH,MJ Dagar,2023-2023,3,3,0,0,0,0,0,0,0.0
SRH,S Gopal,2022-2022,1,1,0,0,0,0,0,0,0.0
SRH,TM Head,2024-2024,15,15,0,0,0,0,0,0,0.0
SRH,AJ Hosein,2023-2023,1,1,0,0,0,0,0,0,0.0
SRH,Kartik Tyagi,2022-2023,5,5,0,0,0,0,0,0,0.0
SRH,Mujeeb Ur Rahman,2021-2021,1,1,0,0,0,0,0,0,0.0
SRH,AU Rashid,2023-2023,2,2,0,0,0,0,0,0,0.0
SRH,R Shepherd,2022-2022,3,3,0,0,0,0,0,0,0.0
SRH,JD Unadkat,2024-2024,11,11,0,0,0,0,0,0,0.0
SRH,Vivrant Sharma,2023-2023,3,3,0,0,0,0,0,0,0.0
RR,SV Samson,2021-2024,61,60,40,30,10,30,0,,0.666
RR,R Parag,2021-2024,51,50,31,31,0,0,31,,0.62
RR,JC Buttler,2021-2024,49,49,24,24,0,0,24,,0.489
RR,SO Hetmyer,2022-2024,41,41,18,18,0,0,18,,0.439
RR,YBK Jaiswal,2021-2024,50,49,17,17,0,0,17,,0.346
RR,DC Jurel,2023-2024,28,27,12,12,0,0,12,,0.444
RR,R Ashwin,2022-2024,45,44,11,11,0,0,11,,0.25
RR,TA Boult,2022-2024,42,41,11,11,0,0,11,,0.268
RR,D Padikkal,2022-2023,28,28,9,9,0,0,9,,0.321
RR,R Powell,2024-2024,10,9,7,7,0,0,7,,0.777
RR,Sandeep Sharma,2023-2024,23,22,7,7,0,0,7,,0.318
RR,YS Chahal,2022-2024,46,46,6,6,0,0,6,,0.13
RR,DA Miller,2021-2021,9,9,4,4,0,0,4,,0.444
RR,CH Morris,2021-2021,11,11,4,4,0,0,4,,0.363
RR,C Sakariya,2021-2021,14,14,4,4,0,0,4,,0.285
RR,KR Sen,2022-2024,12,12,4,4,0,0,4,,0.333
RR,Anuj Rawat,2021-2021,2,2,3,3,0,0,3,,1.5
RR,JO Holder,2023-2023,8,8,3,3,0,0,3,,0.375
RR,LS Livingstone,2021-2021,5,5,3,3,0,0,3,,0.6
RR,Avesh Khan,2024-2024,16,15,2,2,0,0,2,,0.133
RR,N Burger,2024-2024,6,5,2,2,0,0,2,,0.4
RR,S Dube,2021-2021,9,9,2,2,0,0,2,,0.222
RR,DJ Mitchell,2022-2022,2,2,2,2,0,0,2,,1.0
RR,M Prasidh Krishna,2022-2022,17,17,2,2,0,0,2,,0.117
RR,JE Root,2023-2023,3,3,2,2,0,0,2,,0.666
RR,NA Saini,2022-2023,4,4,2,2,0,0,2,,0.5
RR,R Tewatia,2021-2021,14,14,2,2,0,0,2,,0.142
RR,KM Asif,2023-2023,4,4,1,1,0,0,1,,0.25
RR,D Ferreira,2024-2024,2,2,1,1,0,0,1,,0.5
RR,Kartik Tyagi,2021-2021,4,4,1,1,0,0,1,,0.25
RR,T Kohler-Cadmore,2024-2024,4,3,1,1,0,0,1,,0.333
RR,OC McCoy,2022-2023,8,8,1,1,0,0,1,,0.125
RR,KA Maharaj,2024-2024,2,2,1,1,0,0,1,,0.5
RR,Mustafizur Rahman,2021-2021,14,14,1,1,0,0,1,,0.071
RR,KK Nair,2022-2022,3,3,1,1,0,0,1,,0.333
RR,JDS Neesham,2022-2022,2,2,1,1,0,0,1,,0.5
RR,GD Phillips,2021-2021,3,3,1,1,0,0,1,,0.333
RR,BA Stokes,2021-2021,1,1,1,1,0,0,1,,1.0
RR,JD Unadkat,2021-2021,6,6,1,1,0,0,1,,0.166
RR,Abdul Basith,2023-2023,1,1,0,0,0,0,0,0,0.0
RR,Akash Singh,2021-2021,1,1,0,0,0,0,0,0,0.0
RR,M Ashwin,2023-2023,2,2,0,0,0,0,0,0,0.0
RR,NM Coulter-Nile,2022-2022,1,1,0,0,0,0,0,0,0.0
RR,SB Dubey,2024-2024,4,4,0,0,0,0,0,0,0.0
RR,S Gopal,2021-2021,3,3,0,0,0,0,0,0,0.0
RR,TK Kotian,2024-2024,1,1,0,0,0,0,0,0,0.0
RR,E Lewis,2021-2021,5,5,0,0,0,0,0,0,0.0
RR,MK Lomror,2021-2021,4,4,0,0,0,0,0,0,0.0
RR,M Markande,2021-2021,1,1,0,0,0,0,0,0,0.0
RR,T Shamsi,2021-2021,1,1,0,0,0,0,0,0,0.0
RR,HE van der Dussen,2022-2022,3,3,0,0,0,0,0,0,0.0
RR,M Vohra,2021-2021,4,4,0,0,0,0,0,0,0.0
RR,K Yadav,2021-2023,3,3,0,0,0,0,0,0,0.0
RR,A Zampa,2023-2023,6,6,0,0,0,0,0,0,0.0
PBKS,JM Sharma,2022-2024,40,40,29,25,4,24,1,,0.725
PBKS,S Dhawan,2022-2024,30,30,17,17,0,0,17,,0.566
PBKS,MA Agarwal,2021-2022,25,25,15,15,0,0,15,,0.6
PBKS,Harpreet Brar,2021-2024,38,38,14,14,0,0,14,,0.368
PBKS,M Shahrukh Khan,2021-2023,33,33,14,14,0,0,14,,0.424
PBKS,RD Chahar,2022-2024,36,36,12,12,0,0,12,,0.333
PBKS,SM Curran,2023-2024,27,27,12,12,0,0,12,,0.444
PBKS,LS Livingstone,2022-2024,30,30,11,11,0,0,11,,0.366
PBKS,KL Rahul,2021-2021,13,13,11,11,0,10,1,,0.846
PBKS,Arshdeep Singh,2021-2024,54,54,10,10,0,0,10,,0.185
PBKS,JM Bairstow,2022-2024,22,22,10,10,0,2,8,,0.454
PBKS,DJ Hooda,2021-2021,12,12,7,7,0,0,7,,0.583
PBKS,K Rabada,2022-2024,30,30,7,7,0,0,7,,0.233
PBKS,Shashank Singh,2024-2024,14,14,7,7,0,0,7,,0.5
PBKS,HV Patel,2024-2024,14,14,5,5,0,0,5,,0.357
PBKS,Sikandar Raza,2023-2024,9,9,5,5,0,0,5,,0.555
PBKS,A Taide,2023-2024,9,9,5,5,0,0,5,,0.555
PBKS,PBB Rajapaksa,2022-2023,13,13,4,4,0,0,4,,0.307
PBKS,RR Rossouw,2024-2024,8,8,4,4,0,0,4,,0.5
PBKS,R Dhawan,2022-2024,13,13,3,3,0,0,3,,0.23
PBKS,CH Gayle,2021-2021,10,10,3,3,0,0,3,,0.3
PBKS,AK Markram,2021-2021,6,6,3,3,0,0,3,,0.5
PBKS,N Pooran,2021-2021,12,12,3,3,0,0,3,,0.25
PBKS,MW Short,2023-2023,6,6,3,3,0,0,3,,0.5
PBKS,FA Allen,2021-2021,4,4,2,2,0,0,2,,0.5
PBKS,NT Ellis,2021-2024,16,16,2,2,0,0,2,,0.125
PBKS,SN Khan,2021-2021,2,2,2,2,0,0,2,,1.0
PBKS,Prabhsimran Singh,2021-2024,31,31,2,2,0,0,2,,0.064
PBKS,Ravi Bishnoi,2021-2021,9,9,2,2,0,0,2,,0.222
PBKS,Sandeep Sharma,2022-2022,5,5,2,2,0,0,2,,0.4
PBKS,AR Sharma,2024-2024,11,11,2,2,0,0,2,,0.181
PBKS,Shivam Singh,2024-2024,1,1,2,2,0,0,2,,2.0
PBKS,OF Smith,2022-2022,6,6,2,2,0,0,2,,0.333
PBKS,VG Arora,2022-2022,5,5,1,1,0,0,1,,0.2
PBKS,Harpreet Singh,2023-2024,5,5,1,1,0,0,1,,0.2
PBKS,MC Henriques,2021-2021,5,5,1,1,0,0,1,,0.2
PBKS,DJ Malan,2021-2021,1,1,1,1,0,0,1,,1.0
PBKS,Mandeep Singh,2021-2021,1,1,1,1,0,0,1,,1.0
PBKS,PN Mankad,2022-2022,1,1,1,1,0,0,1,,1.0
PBKS,Mohammed Shami,2021-2021,14,14,1,1,0,0,1,,0.071
PBKS,JA Richardson,2021-2021,3,3,1,1,0,0,1,,0.333
PBKS,M Ashwin,2021-2021,3,3,0,0,0,0,0,0,0.0
PBKS,RA Bawa,2022-2022,2,2,0,0,0,0,0,0,0.0
PBKS,Gurnoor Brar,2023-2023,1,1,0,0,0,0,0,0,0.0
PBKS,CJ Jordan,2021-2021,4,4,0,0,0,0,0,0,0.0
PBKS,V Kaverappa,2024-2024,1,1,0,0,0,0,0,0,0.0
PBKS,RP Meredith,2021-2021,5,5,0,0,0,0,0,0,0.0
PBKS,Mohit Rathee,2023-2023,1,1,0,0,0,0,0,0,0.0
PBKS,IC Porel,2021-2021,1,1,0,0,0,0,0,0,0.0
PBKS,AU Rashid,2021-2021,1,1,0,0,0,0,0,0,0.0
PBKS,Jalaj S Saxena,2021-2021,1,1,0,0,0,0,0,0,0.0
DC,RR Pant,2021-2024,43,43,41,29,12,29,0,,0.953
DC,AR Patel,2021-2024,53,53,32,32,0,0,32,,0.603
DC,DA Warner,2022-2024,34,34,18,18,0,0,18,,0.529
DC,Lalit Yadav,2021-2024,27,27,16,16,0,0,16,,0.592
DC,R Powell,2022-2023,17,17,10,10,0,0,10,,0.588
DC,Aman Hakim Khan,2023-2023,11,11,9,9,0,0,9,,0.818
DC,S Dhawan,2021-2021,16,16,9,9,0,0,9,,0.562
DC,Kuldeep Yadav,2022-2024,39,39,9,9,0,0,9,,0.23
DC,K Rabada,2021-2021,15,15,9,9,0,0,9,,0.6
DC,SPD Smith,2021-2021,8,8,9,9,0,0,9,,1.125
DC,PP Shaw,2021-2024,41,41,8,8,0,0,8,,0.195
