credits,player_type,player_name,team,isplaying,lineuporder,ave_bat,ave_bowl,dis,mat_bat,mat_bowl,mat,runs_bat,wkts,runs_per_mat,wkts_per_mat,dis_per_mat
9.0,ALL,Axar Patel,DC,PLAYING,5,27.40740740740741,30.27906976744186,32.0,53.0,53.0,53.0,740.0,43.0,13.962264150943396,0.8113207547169812,0.6037735849056604
8.0,ALL,Aiden Markram,LSG,PLAYING,9,30.151515151515152,86.0,25.0,44.0,44.0,44.0,995.0,2.0,22.613636363636363,0.045454545454545456,0.5681818181818182
7.0,ALL,Shahbaz Ahmed,LSG,PLAYING,8,19.107142857142858,41.73684210526316,20.0,53.0,53.0,53.0,535.0,19.0,10.09433962264151,0.3584905660377358,0.37735849056603776
6.5,WK,Abishek Porel,DC,PLAYING,3,25.714285714285715,inf,6.0,18.0,18.0,18.0,360.0,0.0,20.0,0.0,0.3333333333333333
8.0,BAT,Mitchell Marsh,LSG,PLAYING,4,27.0,97.0,11.0,15.0,15.0,15.0,351.0,1.0,23.4,0.06666666666666667,0.7333333333333333
8.0,BAT,David Miller,LSG,PLAYING,2,41.30769230769231,inf,26.0,50.0,50.0,50.0,1074.0,0.0,21.48,0.0,0.52
8.5,BAT,Faf du Plessis,DC,PLAYING,1,39.80701754385965,inf,27.0,61.0,61.0,61.0,2269.0,0.0,37.19672131147541,0.0,0.4426229508196721
7.0,BAT,Ayush Badoni,LSG,PLAYING,3,24.384615384615383,18.0,14.0,42.0,42.0,42.0,634.0,2.0,15.095238095238095,0.047619047619047616,0.3333333333333333
7.5,BAT,Jake Fraser-McGurk,DC,PLAYING,2,36.66666666666666,inf,3.0,9.0,9.0,9.0,330.0,0.0,36.666666666666664,0.0,0.3333333333333333
6.5,BAT,Sameer Rizvi,DC,PLAYING,4,12.75,inf,1.0,8.0,8.0,8.0,51.0,0.0,6.375,0.0,0.125
8.0,BAT,Tristan Stubbs,DC,PLAYING,6,36.81818181818182,7.25,7.0,18.0,18.0,18.0,405.0,4.0,22.5,0.2222222222222222,0.3888888888888889
8.5,BOWL,Kuldeep Yadav,DC,PLAYING,9,21.0,24.51063829787234,9.0,39.0,39.0,39.0,126.0,47.0,3.230769230769231,1.205128205128205,0.23076923076923078
7.0,BOWL,Mukesh Kumar,DC,PLAYING,11,10.0,28.916666666666668,6.0,20.0,20.0,20.0,10.0,24.0,0.5,1.2,0.3
8.0,BOWL,Ravi Bishnoi,LSG,PLAYING,11,3.571428571428572,28.62745098039216,18.0,52.0,52.0,52.0,25.0,51.0,0.4807692307692308,0.9807692307692307,0.34615384615384615
