credits,player_type,player_name,team,isplaying,lineuporder,mat_bat,inns_bat,no,runs_bat,bf,100,50,0,4s,6s,hs,ave_bat,sr_bat,mat_bowl,inns_bowl,overs,mdns,runs_bowl,wkts,4,5,best_wickets,bbi,ave_bowl,econ,sr_bowl,mat,inns,dis,ct,st,ct_wk,ct_fi,md,d/i,sr
9.0,ALL,Axar Patel,DC,PLAYING,5,53.0,41.0,14.0,740.0,548.0,0.0,3.0,2.0,54.0,36.0,66.0,27.40740740740741,135.03649635036496,53.0,52.0,180.0,0.0,1302.0,43.0,0.0,0.0,3.0,3/21,30.27906976744186,43.4,25.116279069767444,53.0,53.0,32.0,32.0,0.0,0.0,32.0,0.0,0.6037735849056604,135.03649635036496
8.0,ALL,Aiden Markram,LSG,PLAYING,9,44.0,42.0,9.0,995.0,767.0,0.0,5.0,2.0,73.0,35.0,68.0,30.151515151515152,129.72620599739244,44.0,14.0,20.1,0.0,172.0,2.0,0.0,0.0,1.0,1/8,86.0,51.34328358208955,60.300000000000004,44.0,44.0,25.0,25.0,0.0,0.0,25.0,0.0,0.5681818181818182,129.72620599739244
6.5,ALL,Ajay Mandal,DC,NOT_PLAYING,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/0,inf,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,ALL,Shahbaz Ahmed,LSG,PLAYING,8,53.0,36.0,8.0,535.0,439.0,0.0,1.0,1.0,28.0,25.0,59.0,19.107142857142858,121.86788154897495,53.0,40.0,83.3,0.0,793.0,19.0,0.0,0.0,3.0,3/7,41.73684210526316,57.118847539015604,26.305263157894736,53.0,53.0,20.0,20.0,0.0,0.0,20.0,0.0,0.37735849056603776,121.86788154897495
5.0,ALL,Yuvraj Chaudhary,LSG,NOT_PLAYING,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/0,inf,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,ALL,Donovan Ferreira,DC,X_FACTOR_SUBSTITUTE,14,2.0,2.0,0.0,8.0,11.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,72.72727272727273,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/0,inf,0.0,inf,2.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5,72.72727272727273
6.0,ALL,Arshin Kulkarni,LSG,NOT_PLAYING,0,2.0,2.0,0.0,9.0,8.0,0.0,0.0,1.0,2.0,0.0,9.0,4.5,112.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/0,inf,0.0,inf,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.5
5.5,ALL,Manvanth Kumar L,DC,NOT_PLAYING,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/0,inf,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,ALL,Madhav Tiwari,DC,NOT_PLAYING,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/0,inf,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,WK,Lokesh Rahul,DC,NOT_PLAYING,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/0,inf,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,WK,Nicholas Pooran,LSG,PLAYING,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/0,inf,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,WK,Rishabh Pant,LSG,PLAYING,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0/0,inf,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
