Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,,Team,Start Date,End Date
PBB Rajapaksa,1,1,0,50,50,50.0,32,156.25,0,1,0,5,2,,PBKS,2023-03-01,2023-04-01
S Dhawan,1,1,0,40,40,40.0,29,137.93,0,0,0,6,0,,PBKS,2023-03-01,2023-04-01
SM Curran,1,1,1,26,26,,17,152.94,0,0,0,0,2,,PBKS,2023-03-01,2023-04-01
Prabhsimran Singh,1,1,0,23,23,23.0,12,191.66,0,0,0,2,2,,PBKS,2023-03-01,2023-04-01
JM Sharma,1,1,0,21,21,21.0,11,190.9,0,0,0,1,2,,PBKS,2023-03-01,2023-04-01
Sikandar Raza,1,1,0,16,16,16.0,13,123.07,0,0,0,1,1,,PBKS,2023-03-01,2023-04-01
M Shahrukh Khan,1,1,1,11,11,,7,157.14,0,0,0,2,0,,PBKS,2023-03-01,2023-04-01
Arshdeep Singh,1,,,,,,,,,,,,,,PBKS,2023-03-01,2023-04-01
RD Chahar,1,,,,,,,,,,,,,,PBKS,2023-03-01,2023-04-01
R Dhawan,1,,,,,,,,,,,,,,PBKS,2023-03-01,2023-04-01
NT Ellis,1,,,,,,,,,,,,,,PBKS,2023-03-01,2023-04-01
Harpreet Brar,1,,,,,,,,,,,,,,PBKS,2023-03-01,2023-04-01
KR Mayers,1,1,0,73,73,73.0,38,192.1,0,1,0,2,7,,LSG,2023-03-01,2023-04-01
N Pooran,1,1,0,36,36,36.0,21,171.42,0,0,0,2,3,,LSG,2023-03-01,2023-04-01
A Badoni,1,1,0,18,18,18.0,7,257.14,0,0,0,1,2,,LSG,2023-03-01,2023-04-01
DJ Hooda,1,1,0,17,17,17.0,18,94.44,0,0,0,0,0,,LSG,2023-03-01,2023-04-01
KH Pandya,1,1,1,15,15,,13,115.38,0,0,0,0,1,,LSG,2023-03-01,2023-04-01
MP Stoinis,1,1,0,12,12,12.0,10,120.0,0,0,0,0,1,,LSG,2023-03-01,2023-04-01
KL Rahul,1,1,0,8,8,8.0,12,66.66,0,0,0,0,1,,LSG,2023-03-01,2023-04-01
K Gowtham,1,1,1,6,6,,1,600.0,0,0,0,0,1,,LSG,2023-03-01,2023-04-01
Avesh Khan,1,,,,,,,,,,,,,,LSG,2023-03-01,2023-04-01
Ravi Bishnoi,1,,,,,,,,,,,,,,LSG,2023-03-01,2023-04-01
JD Unadkat,1,,,,,,,,,,,,,,LSG,2023-03-01,2023-04-01
MA Wood,1,,,,,,,,,,,,,,LSG,2023-03-01,2023-04-01
Shubman Gill,1,1,0,63,63,63.0,36,175.0,0,1,0,6,3,,GT,2023-03-01,2023-04-01
V Shankar,1,1,0,27,27,27.0,21,128.57,0,0,0,2,1,,GT,2023-03-01,2023-04-01
WP Saha,1,1,0,25,25,25.0,16,156.25,0,0,0,2,2,,GT,2023-03-01,2023-04-01
B Sai Sudharsan,1,1,0,22,22,22.0,17,129.41,0,0,0,3,0,,GT,2023-03-01,2023-04-01
R Tewatia,1,1,1,15,15,,14,107.14,0,0,0,1,1,,GT,2023-03-01,2023-04-01
Rashid Khan,1,1,1,10,10,,3,333.33,0,0,0,1,1,,GT,2023-03-01,2023-04-01
HH Pandya,1,1,0,8,8,8.0,11,72.72,0,0,0,0,0,,GT,2023-03-01,2023-04-01
AS Joseph,1,,,,,,,,,,,,,,GT,2023-03-01,2023-04-01
JB Little,1,,,,,,,,,,,,,,GT,2023-03-01,2023-04-01
Mohammed Shami,1,,,,,,,,,,,,,,GT,2023-03-01,2023-04-01
KS Williamson,1,,,,,,,,,,,,,,GT,2023-03-01,2023-04-01
Yash Dayal,1,,,,,,,,,,,,,,GT,2023-03-01,2023-04-01
DA Warner,1,1,0,56,56,56.0,48,116.66,0,1,0,7,0,,DC,2023-03-01,2023-04-01
RR Rossouw,1,1,0,30,30,30.0,20,150.0,0,0,0,3,1,,DC,2023-03-01,2023-04-01
