Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,,Team,Start Date,End Date
Arshdeep Singh,1,1,3.0,0,19,3,3/19,6.33,6.33,6.0,0,0,,PBKS,2023-03-01,2023-04-01
RD Chahar,1,1,2.0,0,12,1,1/12,12.0,6.0,12.0,0,0,,PBKS,2023-03-01,2023-04-01
SM Curran,1,1,3.0,0,38,1,1/38,38.0,12.66,18.0,0,0,,PBKS,2023-03-01,2023-04-01
NT Ellis,1,1,3.0,0,27,1,1/27,27.0,9.0,18.0,0,0,,PBKS,2023-03-01,2023-04-01
Sikandar Raza,1,1,3.0,0,25,1,1/25,25.0,8.33,18.0,0,0,,PBKS,2023-03-01,2023-04-01
R Dhawan,1,1,1.0,0,15,0,,,15.0,,0,0,,PBKS,2023-03-01,2023-04-01
Harpreet Brar,1,1,1.0,0,7,0,,,7.0,,0,0,,PBKS,2023-03-01,2023-04-01
S Dhawan,1,,,,,,,,,,,,,PBKS,2023-03-01,2023-04-01
Prabhsimran Singh,1,,,,,,,,,,,,,PBKS,2023-03-01,2023-04-01
PBB Rajapaksa,1,,,,,,,,,,,,,PBKS,2023-03-01,2023-04-01
M Shahrukh Khan,1,,,,,,,,,,,,,PBKS,2023-03-01,2023-04-01
JM Sharma,1,,,,,,,,,,,,,PBKS,2023-03-01,2023-04-01
MA Wood,1,1,4.0,0,14,5,5/14,2.8,3.5,4.8,0,1,,LSG,2023-03-01,2023-04-01
Avesh Khan,1,1,4.0,0,29,2,2/29,14.5,7.25,12.0,0,0,,LSG,2023-03-01,2023-04-01
Ravi Bishnoi,1,1,4.0,0,31,2,2/31,15.5,7.75,12.0,0,0,,LSG,2023-03-01,2023-04-01
K Gowtham,1,1,4.0,0,23,0,,,5.75,,0,0,,LSG,2023-03-01,2023-04-01
KR Mayers,1,1,1.0,0,7,0,,,7.0,,0,0,,LSG,2023-03-01,2023-04-01
JD Unadkat,1,1,3.0,0,39,0,,,13.0,,0,0,,LSG,2023-03-01,2023-04-01
A Badoni,1,,,,,,,,,,,,,LSG,2023-03-01,2023-04-01
DJ Hooda,1,,,,,,,,,,,,,LSG,2023-03-01,2023-04-01
KH Pandya,1,,,,,,,,,,,,,LSG,2023-03-01,2023-04-01
N Pooran,1,,,,,,,,,,,,,LSG,2023-03-01,2023-04-01
KL Rahul,1,,,,,,,,,,,,,LSG,2023-03-01,2023-04-01
MP Stoinis,1,,,,,,,,,,,,,LSG,2023-03-01,2023-04-01
AS Joseph,1,1,4.0,0,33,2,2/33,16.5,8.25,12.0,0,0,,GT,2023-03-01,2023-04-01
Mohammed Shami,1,1,4.0,0,29,2,2/29,14.5,7.25,12.0,0,0,,GT,2023-03-01,2023-04-01
Rashid Khan,1,1,4.0,0,26,2,2/26,13.0,6.5,12.0,0,0,,GT,2023-03-01,2023-04-01
JB Little,1,1,4.0,0,41,1,1/41,41.0,10.25,24.0,0,0,,GT,2023-03-01,2023-04-01
HH Pandya,1,1,3.0,0,28,0,,,9.33,,0,0,,GT,2023-03-01,2023-04-01
Yash Dayal,1,1,1.0,0,14,0,,,14.0,,0,0,,GT,2023-03-01,2023-04-01
WP Saha,1,,,,,,,,,,,,,GT,2023-03-01,2023-04-01
B Sai Sudharsan,1,,,,,,,,,,,,,GT,2023-03-01,2023-04-01
V Shankar,1,,,,,,,,,,,,,GT,2023-03-01,2023-04-01
Shubman Gill,1,,,,,,,,,,,,,GT,2023-03-01,2023-04-01
R Tewatia,1,,,,,,,,,,,,,GT,2023-03-01,2023-04-01
KS Williamson,1,,,,,,,,,,,,,GT,2023-03-01,2023-04-01
KK Ahmed,1,1,4.0,0,30,2,2/30,15.0,7.5,12.0,0,0,,DC,2023-03-01,2023-04-01
C Sakariya,1,1,4.0,0,53,2,2/53,26.5,13.25,12.0,0,0,,DC,2023-03-01,2023-04-01
Kuldeep Yadav,1,1,4.0,0,35,1,1/35,35.0,8.75,24.0,0,0,,DC,2023-03-01,2023-04-01
AR Patel,1,1,4.0,0,38,1,1/38,38.0,9.5,24.0,0,0,,DC,2023-03-01,2023-04-01
Mukesh Kumar,1,1,4.0,0,34,0,,,8.5,,0,0,,DC,2023-03-01,2023-04-01
Aman Hakim Khan,1,,,,,,,,,,,,,DC,2023-03-01,2023-04-01
SN Khan,1,,,,,,,,,,,,,DC,2023-03-01,2023-04-01
MR Marsh,1,,,,,,,,,,,,,DC,2023-03-01,2023-04-01
R Powell,1,,,,,,,,,,,,,DC,2023-03-01,2023-04-01
RR Rossouw,1,,,,,,,,,,,,,DC,2023-03-01,2023-04-01
PP Shaw,1,,,,,,,,,,,,,DC,2023-03-01,2023-04-01
DA Warner,1,,,,,,,,,,,,,DC,2023-03-01,2023-04-01
RS Hangargekar,1,1,4.0,0,36,3,3/36,12.0,9.0,8.0,0,0,,CSK,2023-03-01,2023-04-01
TU Deshpande,1,1,3.2,0,51,1,1/51,51.0,15.3,20.0,0,0,,CSK,2023-03-01,2023-04-01
RA Jadeja,1,1,4.0,0,28,1,1/28,28.0,7.0,24.0,0,0,,CSK,2023-03-01,2023-04-01
DL Chahar,1,1,4.0,0,29,0,,,7.25,,0,0,,CSK,2023-03-01,2023-04-01
MJ Santner,1,1,4.0,0,32,0,,,8.0,,0,0,,CSK,2023-03-01,2023-04-01
MM Ali,1,,,,,,,,,,,,,CSK,2023-03-01,2023-04-01
DP Conway,1,,,,,,,,,,,,,CSK,2023-03-01,2023-04-01
MS Dhoni,1,,,,,,,,,,,,,CSK,2023-03-01,2023-04-01
S Dube,1,,,,,,,,,,,,,CSK,2023-03-01,2023-04-01
RD Gaikwad,1,,,,,,,,,,,,,CSK,2023-03-01,2023-04-01
AT Rayudu,1,,,,,,,,,,,,,CSK,2023-03-01,2023-04-01
BA Stokes,1,,,,,,,,,,,,,CSK,2023-03-01,2023-04-01
TG Southee,1,1,4.0,0,54,2,2/54,27.0,13.5,12.0,0,0,,KKR,2023-03-01,2023-04-01
SP Narine,1,1,4.0,0,40,1,1/40,40.0,10.0,24.0,0,0,,KKR,2023-03-01,2023-04-01
CV Varun,1,1,4.0,0,26,1,1/26,26.0,6.5,24.0,0,0,,KKR,2023-03-01,2023-04-01
UT Yadav,1,1,4.0,0,27,1,1/27,27.0,6.75,24.0,0,0,,KKR,2023-03-01,2023-04-01
