Player,Mat,Inns,Dis,Ct,St,Ct Wk,Ct Fi,MD,D/I,,Team,Start Date,End Date
Sikandar Raza,1,1,3,3,0,0,3,3 (3ct 0st),3.0,,PBKS,2023-03-01,2023-04-01
RD Chahar,1,1,2,2,0,0,2,2 (2ct 0st),2.0,,PBKS,2023-03-01,2023-04-01
SM Curran,1,1,1,1,0,0,1,1 (1ct 0st),1.0,,PBKS,2023-03-01,2023-04-01
Arshdeep Singh,1,1,0,0,0,0,0,0,0.0,,PBKS,2023-03-01,2023-04-01
R Dhawan,1,1,0,0,0,0,0,0,0.0,,PBKS,2023-03-01,2023-04-01
S Dhawan,1,1,0,0,0,0,0,0,0.0,,PBKS,2023-03-01,2023-04-01
NT Ellis,1,1,0,0,0,0,0,0,0.0,,PBKS,2023-03-01,2023-04-01
Harpreet Brar,1,1,0,0,0,0,0,0,0.0,,PBKS,2023-03-01,2023-04-01
Prabhsimran Singh,1,1,0,0,0,0,0,0,0.0,,PBKS,2023-03-01,2023-04-01
PBB Rajapaksa,1,1,0,0,0,0,0,0,0.0,,PBKS,2023-03-01,2023-04-01
M Shahrukh Khan,1,1,0,0,0,0,0,0,0.0,,PBKS,2023-03-01,2023-04-01
JM Sharma,1,1,0,0,0,0,0,0,0.0,,PBKS,2023-03-01,2023-04-01
K Gowtham,1,1,2,2,0,0,2,2 (2ct 0st),2.0,,LSG,2023-03-01,2023-04-01
KR Mayers,1,1,1,1,0,0,1,1 (1ct 0st),1.0,,LSG,2023-03-01,2023-04-01
KH Pandya,1,1,1,1,0,0,1,1 (1ct 0st),1.0,,LSG,2023-03-01,2023-04-01
N Pooran,1,1,1,1,0,1,0,1 (1ct 0st),1.0,,LSG,2023-03-01,2023-04-01
Avesh Khan,1,1,0,0,0,0,0,0,0.0,,LSG,2023-03-01,2023-04-01
A Badoni,1,1,0,0,0,0,0,0,0.0,,LSG,2023-03-01,2023-04-01
DJ Hooda,1,1,0,0,0,0,0,0,0.0,,LSG,2023-03-01,2023-04-01
KL Rahul,1,1,0,0,0,0,0,0,0.0,,LSG,2023-03-01,2023-04-01
Ravi Bishnoi,1,1,0,0,0,0,0,0,0.0,,LSG,2023-03-01,2023-04-01
MP Stoinis,1,1,0,0,0,0,0,0,0.0,,LSG,2023-03-01,2023-04-01
JD Unadkat,1,1,0,0,0,0,0,0,0.0,,LSG,2023-03-01,2023-04-01
MA Wood,1,1,0,0,0,0,0,0,0.0,,LSG,2023-03-01,2023-04-01
WP Saha,1,1,2,2,0,2,0,2 (2ct 0st),2.0,,GT,2023-03-01,2023-04-01
Rashid Khan,1,1,1,1,0,0,1,1 (1ct 0st),1.0,,GT,2023-03-01,2023-04-01
V Shankar,1,1,1,1,0,0,1,1 (1ct 0st),1.0,,GT,2023-03-01,2023-04-01
Shubman Gill,1,1,1,1,0,0,1,1 (1ct 0st),1.0,,GT,2023-03-01,2023-04-01
AS Joseph,1,1,0,0,0,0,0,0,0.0,,GT,2023-03-01,2023-04-01
JB Little,1,1,0,0,0,0,0,0,0.0,,GT,2023-03-01,2023-04-01
Mohammed Shami,1,1,0,0,0,0,0,0,0.0,,GT,2023-03-01,2023-04-01
HH Pandya,1,1,0,0,0,0,0,0,0.0,,GT,2023-03-01,2023-04-01
B Sai Sudharsan,1,1,0,0,0,0,0,0,0.0,,GT,2023-03-01,2023-04-01
R Tewatia,1,1,0,0,0,0,0,0,0.0,,GT,2023-03-01,2023-04-01
KS Williamson,1,1,0,0,0,0,0,0,0.0,,GT,2023-03-01,2023-04-01
Yash Dayal,1,1,0,0,0,0,0,0,0.0,,GT,2023-03-01,2023-04-01
SN Khan,1,1,2,2,0,2,0,2 (2ct 0st),2.0,,DC,2023-03-01,2023-04-01
AR Patel,1,1,1,1,0,0,1,1 (1ct 0st),1.0,,DC,2023-03-01,2023-04-01
PP Shaw,1,1,1,1,0,0,1,1 (1ct 0st),1.0,,DC,2023-03-01,2023-04-01
DA Warner,1,1,1,1,0,0,1,1 (1ct 0st),1.0,,DC,2023-03-01,2023-04-01
KK Ahmed,1,1,0,0,0,0,0,0,0.0,,DC,2023-03-01,2023-04-01
Aman Hakim Khan,1,1,0,0,0,0,0,0,0.0,,DC,2023-03-01,2023-04-01
Kuldeep Yadav,1,1,0,0,0,0,0,0,0.0,,DC,2023-03-01,2023-04-01
MR Marsh,1,1,0,0,0,0,0,0,0.0,,DC,2023-03-01,2023-04-01
Mukesh Kumar,1,1,0,0,0,0,0,0,0.0,,DC,2023-03-01,2023-04-01
R Powell,1,1,0,0,0,0,0,0,0.0,,DC,2023-03-01,2023-04-01
RR Rossouw,1,1,0,0,0,0,0,0,0.0,,DC,2023-03-01,2023-04-01
C Sakariya,1,1,0,0,0,0,0,0,0.0,,DC,2023-03-01,2023-04-01
MS Dhoni,1,1,1,1,0,1,0,1 (1ct 0st),1.0,,CSK,2023-03-01,2023-04-01
S Dube,1,1,1,1,0,0,1,1 (1ct 0st),1.0,,CSK,2023-03-01,2023-04-01
RD Gaikwad,1,1,1,1,0,0,1,1 (1ct 0st),1.0,,CSK,2023-03-01,2023-04-01
MJ Santner,1,1,1,1,0,0,1,1 (1ct 0st),1.0,,CSK,2023-03-01,2023-04-01
MM Ali,1,1,0,0,0,0,0,0,0.0,,CSK,2023-03-01,2023-04-01
DL Chahar,1,1,0,0,0,0,0,0,0.0,,CSK,2023-03-01,2023-04-01
DP Conway,1,1,0,0,0,0,0,0,0.0,,CSK,2023-03-01,2023-04-01
TU Deshpande,1,1,0,0,0,0,0,0,0.0,,CSK,2023-03-01,2023-04-01
